Country,Species,Production_system,Herd_type,Variable,Unit,Value
Afghanistan,Cattle,Grassland systems,Whole herd,HERD: total number of animals,heads/year,2771103.8993594167
Afghanistan,Cattle,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,5739831678.214166
Afghanistan,Cattle,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,5537788569.986585
Afghanistan,Cattle,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,0
Afghanistan,Cattle,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,202043108.22758123
Afghanistan,Cattle,Grassland systems,Dairy,HERD: total number of animals,heads/year,2771103.8993594167
Afghanistan,Cattle,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,5739831678.214166
Afghanistan,Cattle,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,5537788569.986585
Afghanistan,Cattle,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,0
Afghanistan,Cattle,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,202043108.22758123
Afghanistan,Cattle,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,0
Afghanistan,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,0
Afghanistan,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Afghanistan,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,0
Afghanistan,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Afghanistan,Buffalo,Grassland systems,Whole herd,HERD: total number of animals,heads/year,106127.85341019789
Afghanistan,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,343807377.1104503
Afghanistan,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,336622160.59722215
Afghanistan,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,0
Afghanistan,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,7185216.513228176
Afghanistan,Buffalo,Grassland systems,Dairy,HERD: total number of animals,heads/year,0
Afghanistan,Buffalo,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,0
Afghanistan,Buffalo,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Afghanistan,Buffalo,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,0
Afghanistan,Buffalo,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Afghanistan,Buffalo,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,106127.85341019789
Afghanistan,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,343807377.1104503
Afghanistan,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,336622160.59722215
Afghanistan,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,0
Afghanistan,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,7185216.513228176
Afghanistan,Sheep,Grassland systems,Whole herd,HERD: total number of animals,heads/year,5311457.482065393
Afghanistan,Sheep,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,1492425141.6399672
Afghanistan,Sheep,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,1288710923.9336305
Afghanistan,Sheep,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,0
Afghanistan,Sheep,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,203714217.70633668
Afghanistan,Sheep,Grassland systems,Dairy,HERD: total number of animals,heads/year,5232130.178739628
Afghanistan,Sheep,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,1469544908.8101382
Afghanistan,Sheep,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,1266687021.025422
Afghanistan,Sheep,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,0
Afghanistan,Sheep,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,202857887.78471616
Afghanistan,Sheep,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,79327.3033257646
Afghanistan,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,22880232.829828963
Afghanistan,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,22023902.908208437
Afghanistan,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,0
Afghanistan,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,856329.9216205244
Afghanistan,Goats,Grassland systems,Whole herd,HERD: total number of animals,heads/year,3761443.5046860445
Afghanistan,Goats,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,1018557350.9252
Afghanistan,Goats,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,893981488.2442853
Afghanistan,Goats,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,0
Afghanistan,Goats,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,124575862.68091458
Afghanistan,Goats,Grassland systems,Dairy,HERD: total number of animals,heads/year,3068817.4072454893
Afghanistan,Goats,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,831340803.7553103
Afghanistan,Goats,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,715941882.5258199
Afghanistan,Goats,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,0
Afghanistan,Goats,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,115398921.22949034
Afghanistan,Goats,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,692626.097440555
Afghanistan,Goats,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,187216547.16988966
Afghanistan,Goats,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,178039605.71846542
Afghanistan,Goats,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,0
Afghanistan,Goats,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,9176941.451424243
Albania,Cattle,Grassland systems,Whole herd,HERD: total number of animals,heads/year,126314.66708316415
Albania,Cattle,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,349234203.04990166
Albania,Cattle,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,294436264.7944571
Albania,Cattle,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,23580775.643968105
Albania,Cattle,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,31217162.611476477
Albania,Cattle,Grassland systems,Dairy,HERD: total number of animals,heads/year,126314.66708316415
Albania,Cattle,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,349234203.04990166
Albania,Cattle,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,294436264.7944571
Albania,Cattle,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,23580775.643968105
Albania,Cattle,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,31217162.611476477
Albania,Cattle,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,0
Albania,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,0
Albania,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Albania,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,0
Albania,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Albania,Buffalo,Grassland systems,Whole herd,HERD: total number of animals,heads/year,0
Albania,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,0
Albania,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,0
Albania,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,0
Albania,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Albania,Buffalo,Grassland systems,Dairy,HERD: total number of animals,heads/year,0
Albania,Buffalo,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,0
Albania,Buffalo,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Albania,Buffalo,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,0
Albania,Buffalo,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Albania,Buffalo,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,0
Albania,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,0
Albania,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Albania,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,0
Albania,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Albania,Sheep,Grassland systems,Whole herd,HERD: total number of animals,heads/year,516994.64201120916
Albania,Sheep,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,144693489.63098934
Albania,Sheep,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,103504603.89834125
Albania,Sheep,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,7148255.00023129
Albania,Sheep,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,34040630.7324168
Albania,Sheep,Grassland systems,Dairy,HERD: total number of animals,heads/year,516994.64201120916
Albania,Sheep,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,144693489.63098934
Albania,Sheep,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,103504603.89834125
Albania,Sheep,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,7148255.00023129
Albania,Sheep,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,34040630.7324168
Albania,Sheep,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,0
Albania,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,0
Albania,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Albania,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,0
Albania,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Albania,Goats,Grassland systems,Whole herd,HERD: total number of animals,heads/year,254190.5429778117
Albania,Goats,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,73609972.60970202
Albania,Goats,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,50069446.5458826
Albania,Goats,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,4181058.4070177525
Albania,Goats,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,19359467.65680167
Albania,Goats,Grassland systems,Dairy,HERD: total number of animals,heads/year,254190.5429778117
Albania,Goats,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,73609972.60970202
Albania,Goats,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,50069446.5458826
Albania,Goats,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,4181058.4070177525
Albania,Goats,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,19359467.65680167
Albania,Goats,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,0
Albania,Goats,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,0
Albania,Goats,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Albania,Goats,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,0
Albania,Goats,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Algeria,Cattle,Grassland systems,Whole herd,HERD: total number of animals,heads/year,929722.7437920487
Algeria,Cattle,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,2082016035.7214942
Algeria,Cattle,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,1958967676.6593313
Algeria,Cattle,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,0
Algeria,Cattle,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,123048359.0621628
Algeria,Cattle,Grassland systems,Dairy,HERD: total number of animals,heads/year,929722.7437920487
