iso3c,animal,system,meters_sq_animal
ARM,cows,mixed,5.1096649998
AFG,cows,mixed,5.961275833099999
ALB,cows,mixed,5.1096649998
DZA,cows,mixed,5.961275833099999
AND,cows,mixed,5.1096649998
AGO,cows,mixed,4.2580541665
ATG,cows,mixed,5.1096649998
ARG,cows,mixed,5.961275833099999
AUS,cows,mixed,7.6644974997
AUT,cows,mixed,7.6644974997
BHS,cows,mixed,5.1096649998
BHR,cows,mixed,5.961275833099999
BRB,cows,mixed,5.1096649998
BGD,cows,mixed,4.2580541665
BTN,cows,mixed,4.2580541665
BOL,cows,mixed,5.961275833099999
BWA,cows,mixed,4.2580541665
BRA,cows,mixed,5.961275833099999
BLZ,cows,mixed,5.961275833099999
SLB,cows,mixed,5.1096649998
BRN,cows,mixed,5.53547041645
BGR,cows,mixed,5.1096649998
MMR,cows,mixed,5.53547041645
BDI,cows,mixed,4.2580541665
CMR,cows,mixed,4.2580541665
CAN,cows,mixed,8.516108333
CPV,cows,mixed,4.2580541665
CAF,cows,mixed,4.2580541665
LKA,cows,mixed,4.2580541665
TCD,cows,mixed,4.2580541665
CHL,cows,mixed,5.961275833099999
CHN,cows,mixed,5.53547041645
COL,cows,mixed,5.961275833099999
COM,cows,mixed,4.2580541665
COG,cows,mixed,4.2580541665
COK,cows,mixed,5.1096649998
CRI,cows,mixed,5.961275833099999
CUB,cows,mixed,5.1096649998
CYP,cows,mixed,5.961275833099999
AZE,cows,mixed,5.1096649998
BEN,cows,mixed,4.2580541665
DNK,cows,mixed,7.6644974997
DMA,cows,mixed,5.1096649998
DOM,cows,mixed,5.1096649998
BLR,cows,mixed,5.1096649998
ECU,cows,mixed,5.961275833099999
EGY,cows,mixed,5.961275833099999
SLV,cows,mixed,5.961275833099999
GNQ,cows,mixed,4.2580541665
EST,cows,mixed,5.1096649998
FRO,cows,mixed,5.1096649998
FJI,cows,mixed,5.1096649998
FIN,cows,mixed,7.6644974997
FRA,cows,mixed,7.6644974997
DJI,cows,mixed,4.2580541665
GEO,cows,mixed,5.1096649998
GAB,cows,mixed,4.2580541665
GMB,cows,mixed,4.2580541665
DEU,cows,mixed,7.6644974997
BIH,cows,mixed,5.1096649998
GHA,cows,mixed,4.2580541665
KIR,cows,mixed,5.1096649998
GRC,cows,mixed,7.6644974997
GRD,cows,mixed,5.1096649998
GTM,cows,mixed,5.961275833099999
GIN,cows,mixed,4.2580541665
GUY,cows,mixed,5.961275833099999
HTI,cows,mixed,5.1096649998
HND,cows,mixed,5.961275833099999
HUN,cows,mixed,5.1096649998
HRV,cows,mixed,5.1096649998
ISL,cows,mixed,7.6644974997
IND,cows,mixed,4.2580541665
IDN,cows,mixed,5.53547041645
IRN,cows,mixed,5.961275833099999
IRQ,cows,mixed,5.961275833099999
IRL,cows,mixed,7.6644974997
ISR,cows,mixed,5.1096649998
ITA,cows,mixed,7.6644974997
CIV,cows,mixed,4.2580541665
KAZ,cows,mixed,5.1096649998
JAM,cows,mixed,5.1096649998
JPN,cows,mixed,7.6644974997
JOR,cows,mixed,5.961275833099999
KGZ,cows,mixed,5.1096649998
KEN,cows,mixed,4.2580541665
KHM,cows,mixed,5.53547041645
PRK,cows,mixed,5.53547041645
KOR,cows,mixed,5.53547041645
KWT,cows,mixed,5.961275833099999
LVA,cows,mixed,5.1096649998
LAO,cows,mixed,5.53547041645
LBN,cows,mixed,5.961275833099999
LSO,cows,mixed,4.2580541665
LBR,cows,mixed,4.2580541665
LBY,cows,mixed,5.961275833099999
LTU,cows,mixed,5.1096649998
MHL,cows,mixed,5.1096649998
MDG,cows,mixed,4.2580541665
MWI,cows,mixed,4.2580541665
MYS,cows,mixed,5.53547041645
MDV,cows,mixed,4.2580541665
MLI,cows,mixed,4.2580541665
MLT,cows,mixed,5.1096649998
MRT,cows,mixed,4.2580541665
MUS,cows,mixed,4.2580541665
MEX,cows,mixed,5.961275833099999
MCO,cows,mixed,5.1096649998
MNG,cows,mixed,5.53547041645
MAR,cows,mixed,5.961275833099999
MOZ,cows,mixed,4.2580541665
FSM,cows,mixed,5.1096649998
MDA,cows,mixed,5.1096649998
NAM,cows,mixed,4.2580541665
NRU,cows,mixed,5.1096649998
NPL,cows,mixed,4.2580541665
NLD,cows,mixed,7.6644974997
MKD,cows,mixed,5.1096649998
VUT,cows,mixed,5.1096649998
NZL,cows,mixed,7.6644974997
NIC,cows,mixed,5.961275833099999
NER,cows,mixed,4.2580541665
NGA,cows,mixed,4.2580541665
NIU,cows,mixed,5.1096649998
NOR,cows,mixed,7.6644974997
PAK,cows,mixed,4.2580541665
PAN,cows,mixed,5.961275833099999
CZE,cows,mixed,5.1096649998
PNG,cows,mixed,5.1096649998
PRY,cows,mixed,5.961275833099999
PER,cows,mixed,5.961275833099999
PHL,cows,mixed,5.53547041645
POL,cows,mixed,5.1096649998
PRT,cows,mixed,7.6644974997
GNB,cows,mixed,4.2580541665
TLS,cows,mixed,5.53547041645
ERI,cows,mixed,4.2580541665
QAT,cows,mixed,5.961275833099999
PLW,cows,mixed,5.1096649998
ZWE,cows,mixed,4.2580541665
ROU,cows,mixed,5.1096649998
RWA,cows,mixed,4.2580541665
RUS,cows,mixed,5.1096649998
KNA,cows,mixed,5.1096649998
LCA,cows,mixed,5.1096649998
VCT,cows,mixed,5.1096649998
SMR,cows,mixed,5.1096649998
STP,cows,mixed,4.2580541665
SAU,cows,mixed,5.961275833099999
SEN,cows,mixed,4.2580541665
SYC,cows,mixed,4.2580541665
SLE,cows,mixed,4.2580541665
SVN,cows,mixed,5.1096649998
SVK,cows,mixed,5.1096649998
SGP,cows,mixed,5.53547041645
SOM,cows,mixed,4.2580541665
ZAF,cows,mixed,5.961275833099999
ESP,cows,mixed,7.6644974997
SUR,cows,mixed,5.961275833099999
TJK,cows,mixed,5.1096649998
SWZ,cows,mixed,4.2580541665
SWE,cows,mixed,7.6644974997
CHE,cows,mixed,7.6644974997
SYR,cows,mixed,5.961275833099999
TKM,cows,mixed,5.1096649998
TZA,cows,mixed,4.2580541665
THA,cows,mixed,5.53547041645
TGO,cows,mixed,4.2580541665
TKL,cows,mixed,5.1096649998
