iso3c,animal,system,product,headcount,kg_dm,kg_dm_per_head
AFG,cows,grassland,milk,2771103.8993594167,5537788569.986585,1998.4052461066976
AFG,cows,grassland,meat,0,0,1741.4628099767604
AFG,buffaloes,grassland,milk,0,0,2843.405209494458
AFG,buffaloes,grassland,meat,106127.85341019789,336622160.59722215,3171.854982274389
AFG,sheep,grassland,milk,5232130.178739628,1266687021.025422,242.0977647254479
AFG,sheep,grassland,meat,79327.3033257646,22023902.908208437,277.6333240242055
AFG,goats,grassland,milk,3068817.4072454893,715941882.5258199,233.2956926128868
AFG,goats,grassland,meat,692626.097440555,178039605.71846542,257.05009726946616
ALB,cows,grassland,milk,126314.66708316415,294436264.7944571,2330.974475043374
ALB,cows,grassland,meat,0,0,2213.784689455979
ALB,buffaloes,grassland,milk,0,0,1625.849168917518
ALB,buffaloes,grassland,meat,0,0,1969.2300419101177
ALB,sheep,grassland,milk,516994.64201120916,103504603.89834125,200.2044034647793
ALB,sheep,grassland,meat,0,0,260.6676518001507
ALB,goats,grassland,milk,254190.5429778117,50069446.5458826,196.9760399396651
ALB,goats,grassland,meat,0,0,257.8608604654041
DZA,cows,grassland,milk,929722.7437920487,1958967676.6593313,2107.045019324056
DZA,cows,grassland,meat,0,0,1570.3281152732202
DZA,buffaloes,grassland,milk,0,0,3301.837936933596
DZA,buffaloes,grassland,meat,0,0,2553.6630536843745
DZA,sheep,grassland,milk,18224037.445263736,4035850444.793726,221.45753688860023
DZA,sheep,grassland,meat,0,0,232.47395344238993
DZA,goats,grassland,milk,3317998.7022639713,714732345.529705,215.41067663529267
DZA,goats,grassland,meat,0,0,167.79539065294836
ASM,cows,grassland,milk,0,0,2110.426304224341
ASM,cows,grassland,meat,0,0,1953.2660651258843
ASM,buffaloes,grassland,milk,0,0,2736.120699098977
ASM,buffaloes,grassland,meat,0,0,2553.6630536843745
ASM,sheep,grassland,milk,0,0,253.68687400051996
ASM,sheep,grassland,meat,0,0,280.5140120029873
ASM,goats,grassland,milk,0,0,199.8261874269004
ASM,goats,grassland,meat,0,0,228.33099458144392
AND,cows,grassland,milk,0,0,2332.0061274728405
AND,cows,grassland,meat,0,0,2213.784689455979
AND,buffaloes,grassland,milk,0,0,1625.849168917518
AND,buffaloes,grassland,meat,0,0,1969.2300419101177
AND,sheep,grassland,milk,0,0,206.92052844029536
AND,sheep,grassland,meat,0,0,260.6676518001507
AND,goats,grassland,milk,0,0,226.20697028893227
AND,goats,grassland,meat,0,0,257.8608604654041
AGO,cows,grassland,milk,665574.6787384916,1452939965.4789577,2182.9856391664603
AGO,cows,grassland,meat,2359567.2071037767,4475158280.797056,1896.6013204981082
AGO,buffaloes,grassland,milk,0,0,3301.837936933596
AGO,buffaloes,grassland,meat,0,0,2553.6630536843745
AGO,sheep,grassland,milk,0,0,233.68649660757313
AGO,sheep,grassland,meat,722046.9435568253,183569089.993405,254.2342871630175
AGO,goats,grassland,milk,0,0,204.55103010183515
AGO,goats,grassland,meat,3020052.4573005233,598754432.475876,198.25961334826388
AIA,cows,grassland,milk,0,0,2179.0810195813524
AIA,cows,grassland,meat,0,0,1972.9170556150248
AIA,buffaloes,grassland,milk,0,0,3358.572676103807
AIA,buffaloes,grassland,meat,0,0,3170.871731986684
AIA,sheep,grassland,milk,0,0,313.1057762532239
AIA,sheep,grassland,meat,0,0,231.1404424858868
AIA,goats,grassland,milk,0,0,235.85346910577044
AIA,goats,grassland,meat,0,0,170.44684947185294
ATG,cows,grassland,milk,22922.60376735305,42717030.28573184,1863.533075006536
ATG,cows,grassland,meat,0,0,1972.9170556150248
ATG,buffaloes,grassland,milk,0,0,3358.572676103807
ATG,buffaloes,grassland,meat,0,0,3170.871731986684
ATG,sheep,grassland,milk,0,0,313.1057762532239
ATG,sheep,grassland,meat,20763.387553489818,4660280.591044757,224.44702623977548
ATG,goats,grassland,milk,0,0,235.85346910577044
ATG,goats,grassland,meat,31789.43839976468,5019788.126004361,157.9074176422544
ARG,cows,grassland,milk,1999681.908295088,7855024663.637247,3928.1370857299876
ARG,cows,grassland,meat,16203913.584056184,48994217636.81502,3023.603982004866
ARG,buffaloes,grassland,milk,0,0,3358.572676103807
ARG,buffaloes,grassland,meat,13593.443591576048,45108529.28486295,3318.40338917631
ARG,sheep,grassland,milk,0,0,313.1057762532239
ARG,sheep,grassland,meat,12480462.465647964,4157202936.8659787,333.0968662666575
ARG,goats,grassland,milk,0,0,250.47471263951374
ARG,goats,grassland,meat,3942237.4908810547,1035802596.8303636,262.7448496510724
ARM,cows,grassland,milk,137747.69527491918,523293622.31272745,3798.928332472853
ARM,cows,grassland,meat,0,0,1762.682751282521
ARM,buffaloes,grassland,milk,0,0,3132.5417012168887
ARM,buffaloes,grassland,meat,0,0,2713.012736171676
ARM,sheep,grassland,milk,179152.439287498,62107275.22080619,346.67278585662154
ARM,sheep,grassland,meat,0,0,275.37943961335424
ARM,goats,grassland,milk,10656.431407862354,3273178.1752309296,307.155186380308
ARM,goats,grassland,meat,0,0,251.99787171932917
ABW,cows,grassland,milk,0,0,2179.0810195813524
ABW,cows,grassland,meat,0,0,1972.9170556150248
ABW,buffaloes,grassland,milk,0,0,3358.572676103807
ABW,buffaloes,grassland,meat,0,0,3170.871731986684
ABW,sheep,grassland,milk,0,0,313.1057762532239
ABW,sheep,grassland,meat,0,0,231.1404424858868
ABW,goats,grassland,milk,0,0,235.85346910577044
ABW,goats,grassland,meat,0,0,170.44684947185294
AUS,cows,grassland,milk,2083320.6026650292,5518075066.659594,2648.6922174151937
AUS,cows,grassland,meat,12332232.032348718,26782519579.609753,2171.7495672605282
AUS,buffaloes,grassland,milk,0,0,2736.120699098977
AUS,buffaloes,grassland,meat,0,0,2553.6630536843745
AUS,sheep,grassland,milk,0,0,253.68687400051996
AUS,sheep,grassland,meat,25484755.514615007,7359541403.424253,288.78210737410063
AUS,goats,grassland,milk,103901.82052950312,20762304.66312466,199.8261874269004
