iso3c,country,production_system,species,kg_live_wt
ABW,Aruba,broilers,chickens,2.45
AGO,Angola,broilers,chickens,1.5
AIA,Anguilla,broilers,chickens,2.45
ALB,Albania,broilers,chickens,2.6
AND,Andorra,broilers,chickens,2.6
ARE,United Arab Emirates,broilers,chickens,2.1
ARG,Argentina,broilers,chickens,2.45
ARM,Armenia,broilers,chickens,2.1
ASM,American Samoa,broilers,chickens,2.28
ATG,Antigua and Barbuda,broilers,chickens,2.45
AUS,Australia,broilers,chickens,2.28
AUT,Austria,broilers,chickens,2.167
AZE,Azerbaijan,broilers,chickens,2.1
BDI,Burundi,broilers,chickens,1.5
BEL,Belgium,broilers,chickens,2.3
BEN,Benin,broilers,chickens,1.5
BFA,Burkina Faso,broilers,chickens,1.5
BGD,Bangladesh,broilers,chickens,2
BGR,Bulgaria,broilers,chickens,2.185
BHR,Bahrain,broilers,chickens,2.1
BHS,Bahamas,broilers,chickens,2.45
BIH,Bosnia and Herzegovina,broilers,chickens,2.6
BLR,Belarus,broilers,chickens,2.185
BLZ,Belize,broilers,chickens,2.45
BMU,Bermuda,broilers,chickens,2.67
BOL,Bolivia,broilers,chickens,2.45
BRA,Brazil,broilers,chickens,2.5
BRB,Barbados,broilers,chickens,2.45
BRN,Brunei,broilers,chickens,2.2
BTN,Bhutan,broilers,chickens,2
BWA,Botswana,broilers,chickens,1.5
CAF,Central African Republic,broilers,chickens,1.5
CAN,Canada,broilers,chickens,2.67
CHE,Switzerland,broilers,chickens,2.167
CHL,Chile,broilers,chickens,2.45
CHN,China,broilers,chickens,2.1
CIV,Côte d'Ivoire,broilers,chickens,1.5
CMR,Cameroon,broilers,chickens,1.5
COD,Democratic Republic of the Congo,broilers,chickens,1.5
COG,Republic of Congo,broilers,chickens,1.5
COK,Cook Islands,broilers,chickens,2.28
COL,Colombia,broilers,chickens,2.45
COM,Comoros,broilers,chickens,1.5
CPV,Cape Verde,broilers,chickens,1.5
CRI,Costa Rica,broilers,chickens,2.45
CUB,Cuba,broilers,chickens,2.45
CYM,Cayman Islands,broilers,chickens,2.45
CYP,Cyprus,broilers,chickens,2.1
CZE,Czech Republic,broilers,chickens,2.185
DEU,Germany,broilers,chickens,2
DJI,Djibouti,broilers,chickens,1.5
DMA,Dominica,broilers,chickens,2.45
DNK,Denmark,broilers,chickens,2.2
DOM,Dominican Republic,broilers,chickens,2.45
DZA,Algeria,broilers,chickens,1.5
ECU,Ecuador,broilers,chickens,2.45
EGY,Egypt,broilers,chickens,1.5
ERI,Eritrea,broilers,chickens,1.5
ESH,Western Sahara,broilers,chickens,1.5
ESP,Spain,broilers,chickens,2.6
EST,Estonia,broilers,chickens,2.2
ETH,Ethiopia,broilers,chickens,1.5
FIN,Finland,broilers,chickens,2.1
FJI,Fiji,broilers,chickens,2.28
FLK,Falkland Islands,broilers,chickens,2.45
FRA,France,broilers,chickens,2.167
FRO,Faroe Islands,broilers,chickens,2.2
FSM,Micronesia,broilers,chickens,2.28
GAB,Gabon,broilers,chickens,1.5
GBR,United Kingdom,broilers,chickens,2.2
GEO,Georgia,broilers,chickens,2.1
GGY,Guernsey,broilers,chickens,2.2
GHA,Ghana,broilers,chickens,1.5
GIN,Guinea,broilers,chickens,1.5
GLP,Guadeloupe,broilers,chickens,2.45
GMB,Gambia,broilers,chickens,1.5
GNB,Guinea-Bissau,broilers,chickens,1.5
GNQ,Equatorial Guinea,broilers,chickens,1.5
GRC,Greece,broilers,chickens,2.6
GRD,Grenada,broilers,chickens,2.45
GRL,Greenland,broilers,chickens,2.67
GTM,Guatemala,broilers,chickens,2.45
GUF,French Guiana,broilers,chickens,2.45
GUM,Guam,broilers,chickens,2.28
GUY,Guyana,broilers,chickens,2.45
HKG,Hong Kong,broilers,chickens,2.1
HND,Honduras,broilers,chickens,2.45
HRV,Croatia,broilers,chickens,2.6
HTI,Haiti,broilers,chickens,2.45
HUN,Hungary,broilers,chickens,2.17
IDN,Indonesia,broilers,chickens,1.25
IMN,Isle of Man,broilers,chickens,2.2
IND,India,broilers,chickens,2
IRL,Ireland,broilers,chickens,2.2
IRN,Iran,broilers,chickens,2
IRQ,Iraq,broilers,chickens,2.1
ISL,Iceland,broilers,chickens,2.2
ISR,Israel,broilers,chickens,2.1
ITA,Italy,broilers,chickens,2.6
JAM,Jamaica,broilers,chickens,2.45
JEY,Jersey,broilers,chickens,2.2
JOR,Jordan,broilers,chickens,2.1
JPN,Japan,broilers,chickens,2.1
KAZ,Kazakhstan,broilers,chickens,2.1
KEN,Kenya,broilers,chickens,1.5
KGZ,Kyrgyzstan,broilers,chickens,2.1
KHM,Cambodia,broilers,chickens,2.2
KIR,Kiribati,broilers,chickens,2.28
KNA,Saint Kitts and Nevis,broilers,chickens,2.45
KOR,South Korea,broilers,chickens,2.1
KWT,Kuwait,broilers,chickens,2.1
LAO,Laos,broilers,chickens,2.2
LBN,Lebanon,broilers,chickens,2.1
LBR,Liberia,broilers,chickens,1.5
LBY,Libya,broilers,chickens,1.5
LCA,Saint Lucia,broilers,chickens,2.45
LIE,Liechtenstein,broilers,chickens,2.167
LKA,Sri Lanka,broilers,chickens,2
LSO,Lesotho,broilers,chickens,1.5
LTU,Lithuania,broilers,chickens,2.2
LUX,Luxembourg,broilers,chickens,2.167
LVA,Latvia,broilers,chickens,2.2
MAC,Macao,broilers,chickens,2.1
MAR,Morocco,broilers,chickens,1.5
MCO,Monaco,broilers,chickens,2.34828947368421
MDA,Moldova,broilers,chickens,2.185
MDG,Madagascar,broilers,chickens,1.5
MDV,Maldives,broilers,chickens,2
MEX,Mexico,broilers,chickens,2.45
