iso3c,animal,lsu_value,ref_value,adjust_multiplier
ARM,cows,0.6,1,0.6
AFG,cows,0.7,1,0.7
ALB,cows,0.6,1,0.6
DZA,cows,0.7,1,0.7
AND,cows,0.6,1,0.6
AGO,cows,0.5,1,0.5
ATG,cows,0.6,1,0.6
ARG,cows,0.7,1,0.7
AUS,cows,0.9,1,0.9
AUT,cows,0.9,1,0.9
BHS,cows,0.6,1,0.6
BHR,cows,0.7,1,0.7
BRB,cows,0.6,1,0.6
BGD,cows,0.5,1,0.5
BTN,cows,0.5,1,0.5
BOL,cows,0.7,1,0.7
BWA,cows,0.5,1,0.5
BRA,cows,0.7,1,0.7
BLZ,cows,0.7,1,0.7
SLB,cows,0.6,1,0.6
BRN,cows,0.65,1,0.65
BGR,cows,0.6,1,0.6
MMR,cows,0.65,1,0.65
BDI,cows,0.5,1,0.5
CMR,cows,0.5,1,0.5
CAN,cows,1,1,1
CPV,cows,0.5,1,0.5
CAF,cows,0.5,1,0.5
LKA,cows,0.5,1,0.5
TCD,cows,0.5,1,0.5
CHL,cows,0.7,1,0.7
CHN,cows,0.65,1,0.65
COL,cows,0.7,1,0.7
COM,cows,0.5,1,0.5
COG,cows,0.5,1,0.5
COK,cows,0.6,1,0.6
CRI,cows,0.7,1,0.7
CUB,cows,0.6,1,0.6
CYP,cows,0.7,1,0.7
AZE,cows,0.6,1,0.6
BEN,cows,0.5,1,0.5
DNK,cows,0.9,1,0.9
DMA,cows,0.6,1,0.6
DOM,cows,0.6,1,0.6
BLR,cows,0.6,1,0.6
ECU,cows,0.7,1,0.7
EGY,cows,0.7,1,0.7
SLV,cows,0.7,1,0.7
GNQ,cows,0.5,1,0.5
EST,cows,0.6,1,0.6
FRO,cows,0.6,1,0.6
FJI,cows,0.6,1,0.6
FIN,cows,0.9,1,0.9
FRA,cows,0.9,1,0.9
DJI,cows,0.5,1,0.5
GEO,cows,0.6,1,0.6
GAB,cows,0.5,1,0.5
GMB,cows,0.5,1,0.5
DEU,cows,0.9,1,0.9
BIH,cows,0.6,1,0.6
GHA,cows,0.5,1,0.5
KIR,cows,0.6,1,0.6
GRC,cows,0.9,1,0.9
GRD,cows,0.6,1,0.6
GTM,cows,0.7,1,0.7
GIN,cows,0.5,1,0.5
GUY,cows,0.7,1,0.7
HTI,cows,0.6,1,0.6
HND,cows,0.7,1,0.7
HUN,cows,0.6,1,0.6
HRV,cows,0.6,1,0.6
ISL,cows,0.9,1,0.9
IND,cows,0.5,1,0.5
IDN,cows,0.65,1,0.65
IRN,cows,0.7,1,0.7
IRQ,cows,0.7,1,0.7
IRL,cows,0.9,1,0.9
ISR,cows,0.6,1,0.6
ITA,cows,0.9,1,0.9
CIV,cows,0.5,1,0.5
KAZ,cows,0.6,1,0.6
JAM,cows,0.6,1,0.6
JPN,cows,0.9,1,0.9
JOR,cows,0.7,1,0.7
KGZ,cows,0.6,1,0.6
KEN,cows,0.5,1,0.5
KHM,cows,0.65,1,0.65
PRK,cows,0.65,1,0.65
KOR,cows,0.65,1,0.65
KWT,cows,0.7,1,0.7
LVA,cows,0.6,1,0.6
LAO,cows,0.65,1,0.65
LBN,cows,0.7,1,0.7
LSO,cows,0.5,1,0.5
LBR,cows,0.5,1,0.5
LBY,cows,0.7,1,0.7
LTU,cows,0.6,1,0.6
MHL,cows,0.6,1,0.6
MDG,cows,0.5,1,0.5
MWI,cows,0.5,1,0.5
MYS,cows,0.65,1,0.65
MDV,cows,0.5,1,0.5
MLI,cows,0.5,1,0.5
MLT,cows,0.6,1,0.6
MRT,cows,0.5,1,0.5
MUS,cows,0.5,1,0.5
MEX,cows,0.7,1,0.7
MCO,cows,0.6,1,0.6
MNG,cows,0.65,1,0.65
MAR,cows,0.7,1,0.7
MOZ,cows,0.5,1,0.5
FSM,cows,0.6,1,0.6
MDA,cows,0.6,1,0.6
NAM,cows,0.5,1,0.5
NRU,cows,0.6,1,0.6
NPL,cows,0.5,1,0.5
NLD,cows,0.9,1,0.9
MKD,cows,0.6,1,0.6
VUT,cows,0.6,1,0.6
NZL,cows,0.9,1,0.9
NIC,cows,0.7,1,0.7
NER,cows,0.5,1,0.5
NGA,cows,0.5,1,0.5
NIU,cows,0.6,1,0.6
NOR,cows,0.9,1,0.9
PAK,cows,0.5,1,0.5
PAN,cows,0.7,1,0.7
CZE,cows,0.6,1,0.6
PNG,cows,0.6,1,0.6
PRY,cows,0.7,1,0.7
PER,cows,0.7,1,0.7
PHL,cows,0.65,1,0.65
POL,cows,0.6,1,0.6
PRT,cows,0.9,1,0.9
GNB,cows,0.5,1,0.5
TLS,cows,0.65,1,0.65
ERI,cows,0.5,1,0.5
QAT,cows,0.7,1,0.7
PLW,cows,0.6,1,0.6
ZWE,cows,0.5,1,0.5
ROU,cows,0.6,1,0.6
RWA,cows,0.5,1,0.5
RUS,cows,0.6,1,0.6
KNA,cows,0.6,1,0.6
LCA,cows,0.6,1,0.6
VCT,cows,0.6,1,0.6
SMR,cows,0.6,1,0.6
STP,cows,0.5,1,0.5
SAU,cows,0.7,1,0.7
SEN,cows,0.5,1,0.5
SYC,cows,0.5,1,0.5
SLE,cows,0.5,1,0.5
SVN,cows,0.6,1,0.6
SVK,cows,0.6,1,0.6
SGP,cows,0.65,1,0.65
SOM,cows,0.5,1,0.5
ZAF,cows,0.7,1,0.7
ESP,cows,0.9,1,0.9
SUR,cows,0.7,1,0.7
TJK,cows,0.6,1,0.6
SWZ,cows,0.5,1,0.5
SWE,cows,0.9,1,0.9
CHE,cows,0.9,1,0.9
SYR,cows,0.7,1,0.7
TKM,cows,0.6,1,0.6
TZA,cows,0.5,1,0.5
THA,cows,0.65,1,0.65
TGO,cows,0.5,1,0.5
TKL,cows,0.6,1,0.6
TON,cows,0.6,1,0.6
TTO,cows,0.6,1,0.6
OMN,cows,0.7,1,0.7
TUN,cows,0.7,1,0.7
TUR,cows,0.7,1,0.7
ARE,cows,0.7,1,0.7
UGA,cows,0.5,1,0.5
TUV,cows,0.6,1,0.6
GBR,cows,0.9,1,0.9
UKR,cows,0.6,1,0.6
USA,cows,1,1,1
BFA,cows,0.5,1,0.5
URY,cows,0.7,1,0.7
UZB,cows,0.6,1,0.6
VEN,cows,0.7,1,0.7
VNM,cows,0.65,1,0.65
ETH,cows,0.5,1,0.5
WSM,cows,0.6,1,0.6
YEM,cows,0.7,1,0.7
COD,cows,0.5,1,0.5
ZMB,cows,0.5,1,0.5
BEL,cows,0.9,1,0.9
LUX,cows,0.9,1,0.9
SRB,cows,0.6,1,0.6
MNE,cows,0.6,1,0.6
SDN,cows,0.5,1,0.5
SSD,cows,0.5,1,0.5
ARM,buffaloes,0.7,1,0.7
AFG,buffaloes,0.7,1,0.7
ALB,buffaloes,0.7,1,0.7
DZA,buffaloes,0.7,1,0.7
AND,buffaloes,0.6,1,0.6
AGO,buffaloes,0,1,0
ATG,buffaloes,0.6,1,0.6
ARG,buffaloes,0,1,0
AUS,buffaloes,0.7,1,0.7
AUT,buffaloes,0.7,1,0.7
BHS,buffaloes,0.6,1,0.6
BHR,buffaloes,0.7,1,0.7
BRB,buffaloes,0.6,1,0.6
BGD,buffaloes,0.5,1,0.5
BTN,buffaloes,0.5,1,0.5
BOL,buffaloes,0,1,0
BWA,buffaloes,0,1,0
BRA,buffaloes,0,1,0
BLZ,buffaloes,0,1,0
SLB,buffaloes,0.6,1,0.6
BRN,buffaloes,0.7,1,0.7
BGR,buffaloes,0.7,1,0.7
MMR,buffaloes,0.7,1,0.7
BDI,buffaloes,0,1,0
CMR,buffaloes,0,1,0
CAN,buffaloes,0,1,0
CPV,buffaloes,0,1,0
CAF,buffaloes,0,1,0
LKA,buffaloes,0.5,1,0.5
TCD,buffaloes,0,1,0
CHL,buffaloes,0,1,0
CHN,buffaloes,0.7,1,0.7
COL,buffaloes,0,1,0
COM,buffaloes,0,1,0
COG,buffaloes,0,1,0
COK,buffaloes,0.6,1,0.6
CRI,buffaloes,0,1,0
CUB,buffaloes,0.6,1,0.6
CYP,buffaloes,0.7,1,0.7
AZE,buffaloes,0.7,1,0.7
BEN,buffaloes,0,1,0
DNK,buffaloes,0.7,1,0.7
DMA,buffaloes,0.6,1,0.6
DOM,buffaloes,0.6,1,0.6
BLR,buffaloes,0.7,1,0.7
ECU,buffaloes,0,1,0
EGY,buffaloes,0.7,1,0.7
SLV,buffaloes,0,1,0
GNQ,buffaloes,0,1,0
EST,buffaloes,0.7,1,0.7
FRO,buffaloes,0.6,1,0.6
FJI,buffaloes,0.6,1,0.6
FIN,buffaloes,0.7,1,0.7
FRA,buffaloes,0.7,1,0.7
DJI,buffaloes,0,1,0
GEO,buffaloes,0.7,1,0.7
GAB,buffaloes,0,1,0
GMB,buffaloes,0,1,0
DEU,buffaloes,0.7,1,0.7
BIH,buffaloes,0.7,1,0.7
GHA,buffaloes,0,1,0
KIR,buffaloes,0.6,1,0.6
GRC,buffaloes,0.7,1,0.7
GRD,buffaloes,0.6,1,0.6
GTM,buffaloes,0,1,0
GIN,buffaloes,0,1,0
GUY,buffaloes,0,1,0
HTI,buffaloes,0.6,1,0.6
HND,buffaloes,0,1,0
HUN,buffaloes,0.7,1,0.7
HRV,buffaloes,0.7,1,0.7
ISL,buffaloes,0.7,1,0.7
IND,buffaloes,0.5,1,0.5
IDN,buffaloes,0.7,1,0.7
IRN,buffaloes,0.7,1,0.7
IRQ,buffaloes,0.7,1,0.7
IRL,buffaloes,0.7,1,0.7
ISR,buffaloes,0.6,1,0.6
ITA,buffaloes,0.7,1,0.7
CIV,buffaloes,0,1,0
KAZ,buffaloes,0.7,1,0.7
JAM,buffaloes,0.6,1,0.6
JPN,buffaloes,0.7,1,0.7
JOR,buffaloes,0.7,1,0.7
KGZ,buffaloes,0.7,1,0.7
KEN,buffaloes,0,1,0
KHM,buffaloes,0.7,1,0.7
PRK,buffaloes,0.7,1,0.7
KOR,buffaloes,0.7,1,0.7
KWT,buffaloes,0.7,1,0.7
LVA,buffaloes,0.7,1,0.7
LAO,buffaloes,0.7,1,0.7
LBN,buffaloes,0.7,1,0.7
LSO,buffaloes,0,1,0
LBR,buffaloes,0,1,0
LBY,buffaloes,0.7,1,0.7
LTU,buffaloes,0.7,1,0.7
MHL,buffaloes,0.6,1,0.6
MDG,buffaloes,0,1,0
MWI,buffaloes,0,1,0
MYS,buffaloes,0.7,1,0.7
MDV,buffaloes,0.5,1,0.5
MLI,buffaloes,0,1,0
MLT,buffaloes,0.6,1,0.6
MRT,buffaloes,0,1,0
MUS,buffaloes,0,1,0
MEX,buffaloes,0,1,0
MCO,buffaloes,0.6,1,0.6
MNG,buffaloes,0.7,1,0.7
MAR,buffaloes,0.7,1,0.7
MOZ,buffaloes,0,1,0
FSM,buffaloes,0.6,1,0.6
MDA,buffaloes,0.7,1,0.7
NAM,buffaloes,0,1,0
NRU,buffaloes,0.6,1,0.6
NPL,buffaloes,0.5,1,0.5
NLD,buffaloes,0.7,1,0.7
MKD,buffaloes,0.7,1,0.7
VUT,buffaloes,0.6,1,0.6
NZL,buffaloes,0.7,1,0.7
NIC,buffaloes,0,1,0
NER,buffaloes,0,1,0
NGA,buffaloes,0,1,0
NIU,buffaloes,0.6,1,0.6
NOR,buffaloes,0.7,1,0.7
PAK,buffaloes,0.5,1,0.5
PAN,buffaloes,0,1,0
CZE,buffaloes,0.7,1,0.7
PNG,buffaloes,0.6,1,0.6
PRY,buffaloes,0,1,0
PER,buffaloes,0,1,0
PHL,buffaloes,0.7,1,0.7
POL,buffaloes,0.7,1,0.7
PRT,buffaloes,0.7,1,0.7
GNB,buffaloes,0,1,0
TLS,buffaloes,0.7,1,0.7
ERI,buffaloes,0,1,0
QAT,buffaloes,0.7,1,0.7
PLW,buffaloes,0.6,1,0.6
ZWE,buffaloes,0,1,0
ROU,buffaloes,0.7,1,0.7
RWA,buffaloes,0,1,0
RUS,buffaloes,0.7,1,0.7
KNA,buffaloes,0.6,1,0.6
LCA,buffaloes,0.6,1,0.6
VCT,buffaloes,0.6,1,0.6
SMR,buffaloes,0.6,1,0.6
STP,buffaloes,0,1,0
SAU,buffaloes,0.7,1,0.7
SEN,buffaloes,0,1,0
SYC,buffaloes,0,1,0
SLE,buffaloes,0,1,0
SVN,buffaloes,0.7,1,0.7
SVK,buffaloes,0.7,1,0.7
SGP,buffaloes,0.7,1,0.7
SOM,buffaloes,0,1,0
ZAF,buffaloes,0,1,0
ESP,buffaloes,0.7,1,0.7
SUR,buffaloes,0,1,0
TJK,buffaloes,0.7,1,0.7
SWZ,buffaloes,0,1,0
SWE,buffaloes,0.7,1,0.7
CHE,buffaloes,0.7,1,0.7
SYR,buffaloes,0.7,1,0.7
TKM,buffaloes,0.7,1,0.7
TZA,buffaloes,0,1,0
THA,buffaloes,0.7,1,0.7
TGO,buffaloes,0,1,0
TKL,buffaloes,0.6,1,0.6
