iso3c,IMAGE_region,region,NUE,system_n_recovery
SWZ,subsaharan_africa,Eswatini,123.01388888888889,55.56944444444444
SWE,industrialized,Sweden,57.486111111111114,49.56944444444444
CHE,western_europe,Switzerland,63.13888888888889,54.875
SYR,middle_east,Syrian Arab Republic,61.263888888888886,48.958333333333336
TWN,east_asia,Taiwan,44.08333333333333,40.388888888888886
TJK,transition_countries,Tajikistan,77.44444444444444,51.875
TZA,subsaharan_africa,United Republic of Tanzania,123.01388888888889,55.56944444444444
THA,southeast_asia,Thailand,85.83333333333333,58.916666666666664
TLS,southeast_asia,Timor-Leste,85.83333333333333,58.916666666666664
TGO,subsaharan_africa,Togo,123.01388888888889,55.56944444444444
TKL,developing,Tokelau,55.56944444444444,43.95833333333333
TON,developing,Tonga,55.56944444444444,43.95833333333333
TTO,latin_america,Trinidad and Tobago,60.09722222222223,46.916666666666664
TUN,north_africa,Tunisia,61.263888888888886,48.958333333333336
TUR,middle_east,Turkey,61.263888888888886,48.958333333333336
TKM,transition_countries,Turkmenistan,77.44444444444444,51.875
TCA,latin_america,Turks and Caicos Islands,60.09722222222223,46.916666666666664
TUV,developing,Tuvalu,55.56944444444444,43.95833333333333
UGA,subsaharan_africa,Uganda,123.01388888888889,55.56944444444444
UKR,transition_countries,Ukraine,77.44444444444444,51.875
ARE,middle_east,United Arab Emirates,61.263888888888886,48.958333333333336
GBR,industrialized,United Kingdom of Great Britain and Northern Ireland,57.486111111111114,49.56944444444444
USA,north_america,United States of America,57.791666666666664,48.22222222222222
URY,latin_america,Uruguay,60.09722222222223,46.916666666666664
UZB,transition_countries,Uzbekistan,77.44444444444444,51.875
VUT,developing,Vanuatu,55.56944444444444,43.95833333333333
VEN,latin_america,Venezuela (Bolivarian Republic of),60.09722222222223,46.916666666666664
VNM,southeast_asia,Viet Nam,85.83333333333333,58.916666666666664
VIR,latin_america,United States Virgin Islands,60.09722222222223,46.916666666666664
WLF,developing,Wallis and Futuna Islands,55.56944444444444,43.95833333333333
ESH,north_africa,Western Sahara,61.263888888888886,48.958333333333336
YEM,middle_east,Yemen,61.263888888888886,48.958333333333336
ZMB,subsaharan_africa,Zambia,123.01388888888889,55.56944444444444
ZWE,subsaharan_africa,Zimbabwe,123.01388888888889,55.56944444444444
