fubc_2017_crop,split_rest_names
oth_cereals,barl
oth_cereals,ocer
oth_cereals,pmil
oth_cereals,smil
oth_cereals,sorg
fiber_crops,ofib
fiber_crops,cott
roots_tubers,pota
roots_tubers,cass
roots_tubers,swpo
roots_tubers,yams
roots_tubers,orts
fruits,temf
fruits,trof
fruits,bana
fruits,plnt
fruits,cnut
vegetables,vege
sugar_crops,sugb
sugar_crops,sugc
oth_oilseeds,sesa
oth_oilseeds,rape
oth_oilseeds,grou
oth_oilseeds,ooil
oth_oilseeds,sunf
soybeans,soyb
oil_palm,oilp
rice,rice
maize,maiz
wheat,whea
