Year/Scenario,North America,Central and South America,Europe,Africa,North Asia,South Asia,Oceania
1970,0.31,0.64,0.42,0.64,0.49,0.56,0.41
2000,0.61,0.55,0.69,0.62,0.81,0.4,0.37
2030-GO,0.62,0.57,0.68,0.55,0.78,0.34,0.38
2050-GO,0.63,0.56,0.69,0.49,0.8,0.35,0.37
2030-OS,0.62,0.59,0.68,0.59,0.87,0.34,0.38
2050-OS,0.63,0.59,0.7,0.53,0.88,0.35,0.37
2030-TG,0.7,0.58,0.74,0.56,0.81,0.39,0.4
2050-TG,0.74,0.53,0.77,0.5,0.83,0.41,0.37
2030-AM,0.71,0.64,0.8,0.63,1.07,0.4,0.42
2050-AM,0.74,0.64,0.83,0.57,1.06,0.4,0.41
