SPAM_super,fubc_2002_crop
acof,coffee
bean,"beans, bean, dry_bean, dry_beans"
chic,"chickpeas, chickpea"
coco,cocoa
cowp,cowpea
fodd,"fodder, fodder_beet, fodder_crops, fodder_roots, forage_products_nes, clover, meadows, pasture_fodder, alfalfa, green_fodder, maize_silage, lucerne"
lent,"lentil, lentils"
opul,"pulses, pulses_other, azuhi_bean, pea"
othr,"rubber, hop"
pige,gram
rcof,coffee
spis,"pepper, pepper_chili"
teas,tea
tnut,"peanut, hazelnut, almond, pistachio"
toba,tobacco
