nutrient,rate,split_rest_names,iso3c
K2O,46,ofib,CHN
K2O,46,ofib,MAC
K2O,46,ofib,HKG
K2O,46,cott,CHN
K2O,46,cott,MAC
K2O,46,cott,HKG
K2O,16,ofib,IND
K2O,16,cott,IND
K2O,32,ofib,USA
K2O,32,cott,USA
K2O,46,ofib,AUT
K2O,46,ofib,BEL
K2O,46,ofib,BGR
K2O,46,ofib,HRV
K2O,46,ofib,CYP
K2O,46,ofib,CZE
K2O,46,ofib,DNK
K2O,46,ofib,EST
K2O,46,ofib,FIN
K2O,46,ofib,FRA
K2O,46,ofib,DEU
K2O,46,ofib,GRC
K2O,46,ofib,HUN
K2O,46,ofib,IRL
K2O,46,ofib,ITA
K2O,46,ofib,LVA
K2O,46,ofib,LTU
K2O,46,ofib,LUX
K2O,46,ofib,MLT
K2O,46,ofib,NLD
K2O,46,ofib,POL
K2O,46,ofib,PRT
K2O,46,ofib,SVK
K2O,46,ofib,SVN
K2O,46,ofib,ESP
K2O,46,ofib,SWE
K2O,46,ofib,ROU
K2O,46,ofib,GBR
K2O,46,ofib,GGY
K2O,46,ofib,FRO
K2O,46,ofib,GIB
K2O,46,ofib,ALA
K2O,46,ofib,SJM
K2O,46,cott,AUT
K2O,46,cott,BEL
K2O,46,cott,BGR
K2O,46,cott,HRV
K2O,46,cott,CYP
K2O,46,cott,CZE
K2O,46,cott,DNK
K2O,46,cott,EST
K2O,46,cott,FIN
K2O,46,cott,FRA
K2O,46,cott,DEU
K2O,46,cott,GRC
K2O,46,cott,HUN
K2O,46,cott,IRL
K2O,46,cott,ITA
K2O,46,cott,LVA
K2O,46,cott,LTU
K2O,46,cott,LUX
K2O,46,cott,MLT
K2O,46,cott,NLD
K2O,46,cott,POL
K2O,46,cott,PRT
K2O,46,cott,SVK
K2O,46,cott,SVN
K2O,46,cott,ESP
K2O,46,cott,SWE
K2O,46,cott,ROU
K2O,46,cott,GBR
K2O,46,cott,GGY
K2O,46,cott,FRO
K2O,46,cott,GIB
K2O,46,cott,ALA
K2O,46,cott,SJM
K2O,105,ofib,BRA
K2O,105,cott,BRA
K2O,5,ofib,IDN
K2O,5,cott,IDN
K2O,1,ofib,PAK
K2O,1,cott,PAK
K2O,0,ofib,CAN
K2O,0,cott,CAN
K2O,6,ofib,RUS
K2O,6,cott,RUS
K2O,28,ofib,VNM
K2O,28,cott,VNM
K2O,0,ofib,MYS
K2O,0,cott,MYS
K2O,26,ofib,AUS
K2O,26,cott,AUS
K2O,6,ofib,TUR
K2O,6,cott,TUR
K2O,47,ofib,THA
K2O,47,cott,THA
K2O,16,ofib,BGD
K2O,16,cott,BGD
K2O,16,ofib,MEX
K2O,16,cott,MEX
K2O,12,ofib,IRN
K2O,12,cott,IRN
K2O,119,ofib,BLR
K2O,119,cott,BLR
K2O,0,ofib,ARG
K2O,0,cott,ARG
K2O,12,ofib,EGY
K2O,12,cott,EGY
K2O,0,ofib,JPN
K2O,0,cott,JPN
K2O,0,ofib,UKR
K2O,0,cott,UKR
K2O,18,ofib,ZAF
K2O,18,cott,ZAF
K2O,11,ofib,UZB
K2O,11,cott,UZB
K2O,0,ofib,PHL
K2O,0,cott,PHL
K2O,42,ofib,NZL
K2O,42,cott,NZL
K2O,11,ofib,CHL
K2O,11,cott,CHL
K2O,0,ofib,MAR
K2O,0,cott,MAR
K2O,9,ofib,AFG
K2O,9,ofib,ALB
K2O,9,ofib,DZA
K2O,9,ofib,ASM
K2O,9,ofib,AND
K2O,9,ofib,AGO
K2O,9,ofib,AIA
K2O,9,ofib,ATG
K2O,9,ofib,ARM
K2O,9,ofib,ABW
K2O,9,ofib,AZE
K2O,9,ofib,BHS
K2O,9,ofib,BHR
K2O,9,ofib,BRB
K2O,9,ofib,BLZ
K2O,9,ofib,BEN
K2O,9,ofib,BMU
K2O,9,ofib,BTN
K2O,9,ofib,BOL
K2O,9,ofib,BES
K2O,9,ofib,BIH
K2O,9,ofib,BWA
K2O,9,ofib,IOT
K2O,9,ofib,VGB
K2O,9,ofib,BRN
K2O,9,ofib,BFA
K2O,9,ofib,BDI
K2O,9,ofib,KHM
K2O,9,ofib,CMR
K2O,9,ofib,CPV
K2O,9,ofib,CYM
K2O,9,ofib,CAF
K2O,9,ofib,TCD
K2O,9,ofib,CXR
K2O,9,ofib,CCK
K2O,9,ofib,COL
K2O,9,ofib,COM
K2O,9,ofib,COK
K2O,9,ofib,CRI
K2O,9,ofib,CIV
K2O,9,ofib,CUB
K2O,9,ofib,CUW
K2O,9,ofib,COD
K2O,9,ofib,DJI
K2O,9,ofib,DOM
K2O,9,ofib,DMA
K2O,9,ofib,ECU
K2O,9,ofib,SLV
K2O,9,ofib,GNQ
K2O,9,ofib,ERI
K2O,9,ofib,ETH
K2O,9,ofib,FLK
K2O,9,ofib,FJI
K2O,9,ofib,GUF
K2O,9,ofib,PYF
K2O,9,ofib,GAB
K2O,9,ofib,GMB
K2O,9,ofib,GEO
K2O,9,ofib,GHA
K2O,9,ofib,GRL
K2O,9,ofib,GRD
K2O,9,ofib,GLP
K2O,9,ofib,GUM
K2O,9,ofib,GTM
K2O,9,ofib,GNB
K2O,9,ofib,GIN
K2O,9,ofib,GUY
K2O,9,ofib,HTI
K2O,9,ofib,HND
K2O,9,ofib,ISL
K2O,9,ofib,IRQ
K2O,9,ofib,IMN
K2O,9,ofib,ISR
K2O,9,ofib,JAM
K2O,9,ofib,JEY
K2O,9,ofib,JOR
K2O,9,ofib,KAZ
K2O,9,ofib,KEN
K2O,9,ofib,KIR
K2O,9,ofib,XKO
K2O,9,ofib,KWT
K2O,9,ofib,KGZ
K2O,9,ofib,LAO
K2O,9,ofib,LBN
K2O,9,ofib,LSO
K2O,9,ofib,LBR
K2O,9,ofib,LBY
K2O,9,ofib,LIE
K2O,9,ofib,MKD
K2O,9,ofib,MDG
K2O,9,ofib,MWI
K2O,9,ofib,MDV
K2O,9,ofib,MLI
K2O,9,ofib,MHL
K2O,9,ofib,MTQ
K2O,9,ofib,MRT
K2O,9,ofib,MUS
K2O,9,ofib,MYT
K2O,9,ofib,FSM
K2O,9,ofib,MDA
K2O,9,ofib,MCO
K2O,9,ofib,MNG
K2O,9,ofib,MNE
K2O,9,ofib,MSR
K2O,9,ofib,MOZ
K2O,9,ofib,MMR
K2O,9,ofib,"NAM"
K2O,9,ofib,NRU
K2O,9,ofib,NPL
K2O,9,ofib,NCL
K2O,9,ofib,NIC
K2O,9,ofib,NER
K2O,9,ofib,NGA
K2O,9,ofib,NIU
K2O,9,ofib,NFK
K2O,9,ofib,PRK
K2O,9,ofib,MNP
K2O,9,ofib,NOR
K2O,9,ofib,OMN
K2O,9,ofib,PLW
K2O,9,ofib,PSE
K2O,9,ofib,PAN
K2O,9,ofib,PNG
K2O,9,ofib,PRY
K2O,9,ofib,PER
K2O,9,ofib,PCN
K2O,9,ofib,XMI
K2O,9,ofib,PRI
K2O,9,ofib,QAT
K2O,9,ofib,COG
K2O,9,ofib,REU
K2O,9,ofib,RWA
K2O,9,ofib,BLM
K2O,9,ofib,MAF
K2O,9,ofib,SHN
K2O,9,ofib,KNA
K2O,9,ofib,LCA
K2O,9,ofib,SPM
K2O,9,ofib,VCT
K2O,9,ofib,WSM
K2O,9,ofib,SMR
K2O,9,ofib,STP
K2O,9,ofib,SAU
K2O,9,ofib,SEN
K2O,9,ofib,SRB
K2O,9,ofib,SYC
K2O,9,ofib,SLE
K2O,9,ofib,SGP
K2O,9,ofib,SXM
K2O,9,ofib,SLB
K2O,9,ofib,SOM
K2O,9,ofib,KOR
K2O,9,ofib,SSD
K2O,9,ofib,LKA
K2O,9,ofib,SDN
K2O,9,ofib,SUR
K2O,9,ofib,SWZ
K2O,9,ofib,CHE
K2O,9,ofib,SYR
K2O,9,ofib,TWN
K2O,9,ofib,TJK
K2O,9,ofib,TZA
K2O,9,ofib,TLS
K2O,9,ofib,TGO
K2O,9,ofib,TKL
K2O,9,ofib,TON
K2O,9,ofib,TTO
K2O,9,ofib,TUN
K2O,9,ofib,TKM
K2O,9,ofib,TCA
K2O,9,ofib,TUV
K2O,9,ofib,UGA
K2O,9,ofib,ARE
K2O,9,ofib,URY
K2O,9,ofib,VUT
K2O,9,ofib,VEN
K2O,9,ofib,VIR
K2O,9,ofib,WLF
K2O,9,ofib,ESH
K2O,9,ofib,YEM
K2O,9,ofib,ZMB
K2O,9,ofib,ZWE
K2O,9,cott,AFG
K2O,9,cott,ALB
K2O,9,cott,DZA
K2O,9,cott,ASM
K2O,9,cott,AND
K2O,9,cott,AGO
K2O,9,cott,AIA
K2O,9,cott,ATG
K2O,9,cott,ARM
