nutrient,grassland,iso3c
N,0.02,CHN
N,0.02,MAC
N,0.02,HKG
P2O5,0.04,CHN
P2O5,0.04,MAC
P2O5,0.04,HKG
K2O,0.03,CHN
K2O,0.03,MAC
K2O,0.03,HKG
N,0,IND
P2O5,0,IND
K2O,0,IND
N,0.113,USA
P2O5,0.04,USA
K2O,0.068,USA
N,0.17300000000000001,AUT
N,0.17300000000000001,BEL
N,0.17300000000000001,BGR
N,0.17300000000000001,HRV
N,0.17300000000000001,CYP
N,0.17300000000000001,CZE
N,0.17300000000000001,DNK
N,0.17300000000000001,EST
N,0.17300000000000001,FIN
N,0.17300000000000001,FRA
N,0.17300000000000001,DEU
N,0.17300000000000001,GRC
N,0.17300000000000001,HUN
N,0.17300000000000001,IRL
N,0.17300000000000001,ITA
N,0.17300000000000001,LVA
N,0.17300000000000001,LTU
N,0.17300000000000001,LUX
N,0.17300000000000001,MLT
N,0.17300000000000001,NLD
N,0.17300000000000001,POL
N,0.17300000000000001,PRT
N,0.17300000000000001,SVK
N,0.17300000000000001,SVN
N,0.17300000000000001,ESP
N,0.17300000000000001,SWE
N,0.17300000000000001,ROU
N,0.17300000000000001,GBR
N,0.17300000000000001,GGY
N,0.17300000000000001,FRO
N,0.17300000000000001,GIB
N,0.17300000000000001,ALA
N,0.17300000000000001,SJM
P2O5,0.10099999999999999,AUT
P2O5,0.10099999999999999,BEL
P2O5,0.10099999999999999,BGR
P2O5,0.10099999999999999,HRV
P2O5,0.10099999999999999,CYP
P2O5,0.10099999999999999,CZE
P2O5,0.10099999999999999,DNK
P2O5,0.10099999999999999,EST
P2O5,0.10099999999999999,FIN
P2O5,0.10099999999999999,FRA
P2O5,0.10099999999999999,DEU
P2O5,0.10099999999999999,GRC
P2O5,0.10099999999999999,HUN
P2O5,0.10099999999999999,IRL
P2O5,0.10099999999999999,ITA
P2O5,0.10099999999999999,LVA
P2O5,0.10099999999999999,LTU
P2O5,0.10099999999999999,LUX
P2O5,0.10099999999999999,MLT
P2O5,0.10099999999999999,NLD
P2O5,0.10099999999999999,POL
P2O5,0.10099999999999999,PRT
P2O5,0.10099999999999999,SVK
