iso3c,nutrient,country_application
ABW,K2O,0
ABW,N,0
ABW,P2O5,0
AIA,K2O,0
AIA,N,0
AIA,P2O5,0
ALA,K2O,42.42526674068434
ALA,N,102.45635819267349
ALA,P2O5,19.785338677811527
AND,K2O,0
AND,N,0
AND,P2O5,0
ASM,K2O,0
ASM,N,0
ASM,P2O5,0
BES,K2O,0
BES,N,0
BES,P2O5,0
BLM,K2O,0
BLM,N,0
BLM,P2O5,0
CCK,K2O,0
CCK,N,0
CCK,P2O5,0
COM,K2O,0
COM,N,0
COM,P2O5,0
CPV,K2O,0
CPV,N,0
CPV,P2O5,0
CUW,K2O,0
CUW,N,0
CUW,P2O5,0
CXR,K2O,0
CXR,N,0
CXR,P2O5,0
CYM,K2O,0
CYM,N,0
CYM,P2O5,0
DJI,K2O,0
DJI,N,0
DJI,P2O5,0
ESH,K2O,0
ESH,N,0
ESH,P2O5,0
FLK,K2O,0
FLK,N,0
FLK,P2O5,0
FRO,K2O,0
FRO,N,0
FRO,P2O5,0
FSM,K2O,0
FSM,N,0
FSM,P2O5,0
GIB,K2O,0
GIB,N,0
GIB,P2O5,0
GLP,K2O,0
GLP,N,0
GLP,P2O5,0
GNB,K2O,0
GNB,N,0
GNB,P2O5,0
GNQ,K2O,0
GNQ,N,0
GNQ,P2O5,0
GRD,K2O,0
GRD,N,0
GRD,P2O5,0
GRL,K2O,0
GRL,N,0
GRL,P2O5,0
GUF,K2O,0
GUF,N,0
GUF,P2O5,0
GUM,K2O,0
GUM,N,0
GUM,P2O5,0
HTI,K2O,0
HTI,N,0
HTI,P2O5,0
IMN,K2O,0
IMN,N,0
IMN,P2O5,0
IOT,K2O,0
IOT,N,0
IOT,P2O5,0
JEY,K2O,0
JEY,N,0
JEY,P2O5,0
KIR,K2O,0
KIR,N,0
KIR,P2O5,0
LAO,K2O,0
LAO,N,0
LAO,P2O5,0
LBR,K2O,0
LBR,N,0
LBR,P2O5,0
LIE,K2O,0
LIE,N,0
LIE,P2O5,0
LSO,K2O,0
LSO,N,0
LSO,P2O5,0
MAF,K2O,0
MAF,N,0
MAF,P2O5,0
MCO,K2O,0
MCO,N,0
MCO,P2O5,0
MHL,K2O,0
MHL,N,0
MHL,P2O5,0
MNP,K2O,0
MNP,N,0
MNP,P2O5,0
MRT,K2O,0
MRT,N,0
MRT,P2O5,0
MSR,K2O,0
MSR,N,0
MSR,P2O5,0
MTQ,K2O,0
MTQ,N,0
MTQ,P2O5,0
MYT,K2O,0
MYT,N,0
MYT,P2O5,0
NFK,K2O,0
NFK,N,0
NFK,P2O5,0
NIU,K2O,0
NIU,N,0
NIU,P2O5,0
PCN,K2O,0
PCN,N,0
PCN,P2O5,0
PLW,K2O,0
PLW,N,0
PLW,P2O5,0
PRI,K2O,0
PRI,N,0
PRI,P2O5,0
PRK,K2O,0
PRK,N,0
PRK,P2O5,0
PSE,K2O,0
PSE,N,0
PSE,P2O5,0
REU,K2O,0
REU,N,0
REU,P2O5,0
SHN,K2O,0
SHN,N,0
SHN,P2O5,0
SJM,K2O,0
SJM,N,0
SJM,P2O5,0
SLB,K2O,0
SLB,N,0
SLB,P2O5,0
SLE,K2O,0
SLE,N,0
SLE,P2O5,0
SMR,K2O,0
SMR,N,0
SMR,P2O5,0
SOM,K2O,0
SOM,N,0
SOM,P2O5,0
SPM,K2O,0
SPM,N,0
SPM,P2O5,0
SSD,K2O,0
