,,,,,,,,,,,,,,,,,
kg/ha,,,CEREALS,,,,OILSEEDS,,,,,,,,,,
,,Total,Wheat,Rice,Maize,Oth Cereals,Soybeans,Oil Palm,Oth Oilseeds,Fiber Crops,Sugar Crops,Roots/Tubers,Fruits,Vegetables,Grassland,Residual,
China,N,126,141,128,125,63,30,107,52,169,251,102,255,187,24,174,
,P2O5,77,84,58,49,38,34,50,39,124,176,55,217,126,29,93,
,K2O,41,40,38,22,13,11,156,7,46,73,18,123,95,12,32,
,N+P+K,244,265,223,196,114,74,312,98,339,499,175,595,408,65,299,
India,N,80,130,112,90,59,25,,72,118,169,58,36,50,0,41,
,P2O5,29,42,38,32,23,25,,24,35,71,28,19,26,0,15,
,K2O,12,9,20,14,8,4,,9,16,43,25,16,17,0,5,
,N+P+K,121,180,171,135,90,53,,105,170,283,111,70,93,0,61,
USA,N,33,83,169,166,102,5,#DIV/0!,70,63,118,234,85,120,5,840,
,P2O5,12,30,41,61,33,22,#DIV/0!,13,24,71,145,23,65,1,85,
,K2O,13,9,37,61,10,35,#DIV/0!,2,32,42,155,94,56,1,193,
,N+P+K,58,122,247,287,145,63,#DIV/0!,86,119,231,534,202,241,7,"1,118",
EU-27,N,84,124,104,98,87,2,#DIV/0!,108,76,119,113,55,114,61,46,
,P2O5,19,22,36,26,18,18,#DIV/0!,23,35,53,58,21,53,8,16,
,K2O,22,19,68,26,19,25,#DIV/0!,28,46,89,108,19,66,13,18,
,N+P+K,125,165,207,151,123,45,#DIV/0!,160,157,261,279,94,232,82,81,
Brazil,N,14,63,78,69,40,9,94,12,127,77,21,53,126,0,119,
,P2O5,17,43,36,37,27,89,35,21,134,28,29,26,181,0,73,
,K2O,20,29,31,40,26,87,137,13,105,80,23,53,157,0,97,
,N+P+K,51,135,145,146,94,185,266,46,366,185,74,132,464,1,288,
Indonesia,N,56,#DIV/0!,86,117,#DIV/0!,24,100,4,18,107,68,142,138,0,18,
,P2O5,25,#DIV/0!,29,35,#DIV/0!,32,68,5,16,36,25,63,62,0,10,
,K2O,33,#DIV/0!,13,18,#DIV/0!,14,167,2,5,80,20,84,66,0,7,
,N+P+K,115,#DIV/0!,128,170,#DIV/0!,71,335,12,39,223,114,290,266,0,35,
Pakistan,N,124,148,172,131,23,0,#DIV/0!,58,201,174,177,162,146,0,138,
,P2O5,36,49,40,34,7,0,#DIV/0!,17,59,38,52,48,43,0,40,
,K2O,1,1,2,1,0,0,#DIV/0!,0,1,2,9,6,2,0,2,
,N+P+K,161,198,214,166,30,0,#DIV/0!,75,262,214,237,216,191,0,180,
Canada,N,73,82,#DIV/0!,164,100,7,#DIV/0!,110,0,130,180,242,136,9,54,
,P2O5,27,26,#DIV/0!,48,32,39,#DIV/0!,35,0,40,52,70,39,0,44,
,K2O,11,11,#DIV/0!,74,12,13,#DIV/0!,6,0,41,52,70,40,0,23,
,N+P+K,112,118,#DIV/0!,286,144,59,#DIV/0!,151,0,212,284,382,215,9,121,
Russia,N,10,25,76,63,14,16,#DIV/0!,12,5,90,7,3,7,1,91,
,P2O5,4,9,31,24,5,9,#DIV/0!,8,11,78,8,3,8,0,38,
,K2O,2,3,9,15,3,5,#DIV/0!,3,6,84,11,2,9,0,22,
