Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
"RFN","Fertilizers by Nutrient","2","Afghanistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","140775.85"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2017","2017","tonnes","16656.69"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2017","2017","tonnes","31.48"
"RFN","Fertilizers by Nutrient","3","Albania","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","39184.92"
"RFN","Fertilizers by Nutrient","3","Albania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2017","2017","tonnes","21263.69"
"RFN","Fertilizers by Nutrient","3","Albania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2017","2017","tonnes","634.25"
"RFN","Fertilizers by Nutrient","4","Algeria","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","70200"
"RFN","Fertilizers by Nutrient","4","Algeria","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2017","2017","tonnes","58800"
"RFN","Fertilizers by Nutrient","4","Algeria","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2017","2017","tonnes","26700"
"RFN","Fertilizers by Nutrient","7","Angola","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","26714.79"
"RFN","Fertilizers by Nutrient","7","Angola","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2017","2017","tonnes","11948.84"
"RFN","Fertilizers by Nutrient","7","Angola","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2017","2017","tonnes","13642.31"
"RFN","Fertilizers by Nutrient","8","Antigua and Barbuda","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","8.98"
"RFN","Fertilizers by Nutrient","8","Antigua and Barbuda","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2017","2017","tonnes","6.51"
"RFN","Fertilizers by Nutrient","8","Antigua and Barbuda","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2017","2017","tonnes","5.56"
"RFN","Fertilizers by Nutrient","9","Argentina","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","975843.08"
"RFN","Fertilizers by Nutrient","9","Argentina","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2017","2017","tonnes","640480.16"
"RFN","Fertilizers by Nutrient","9","Argentina","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2017","2017","tonnes","42132"
"RFN","Fertilizers by Nutrient","1","Armenia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","90106.3"
"RFN","Fertilizers by Nutrient","1","Armenia","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2017","2017","tonnes","23"
