iso3c,split_rest_names,nutrient,prod_system,weighting,t_per_ha,harvested_area,total_nutrient,prop_nutrient,country_application,reported_by_fao,allocated_nutrient
AFG,acof,N,H,1,0.0707142857142857,0,0,0,140775.85,Yes,0
AFG,acof,N,I,2,0.0707142857142857,0,0,0,140775.85,Yes,0
AFG,bean,N,H,1,0.1375,0,0,0,140775.85,Yes,0
AFG,bean,N,I,2,0.1375,6.499999910593033,1.7874999754130843,1.809604971723088e-5,140775.85,Yes,2.547486780585437
AFG,chic,N,H,1,0,0,0,0,140775.85,Yes,0
AFG,chic,N,I,2,0,7.100000023841858,0,0,140775.85,Yes,0
AFG,coco,N,H,1,0.1,0,0,0,140775.85,Yes,0
AFG,coco,N,I,2,0.1,0,0,0,140775.85,Yes,0
AFG,cowp,N,H,1,5e-4,0,0,0,140775.85,Yes,0
AFG,cowp,N,I,2,5e-4,0,0,0,140775.85,Yes,0
AFG,fodd,N,H,1,0.037399999999999996,12.420775822698976,0.4645370157689417,4.7028168103365566e-6,140775.85,Yes,0.6620430338694175
AFG,fodd,N,I,2,0.037399999999999996,17.936840828042477,1.3416756939375771,1.3582674347329067e-5,140775.85,Yes,1.9121125265184447
AFG,lent,N,H,1,0.0357,0,0,0,140775.85,Yes,0
AFG,lent,N,I,2,0.0357,17.800000190734863,1.2709200136184693,1.2866367591277126e-5,140775.85,Yes,1.81127383407449
AFG,opul,N,H,1,0.005,11.699999928474426,0.05849999964237213,5.922343589077321e-7,140775.85,Yes,0.08337229527444107
AFG,opul,N,I,2,0.005,48132.09998266399,481.3209998266399,0.004872732230833907,140775.85,Yes,685.9630216180395
AFG,othr,N,H,1,0.0126,0,0,0,140775.85,Yes,0
AFG,othr,N,I,2,0.0126,0,0,0,140775.85,Yes,0
AFG,pige,N,H,1,0.0145,0,0,0,140775.85,Yes,0
AFG,pige,N,I,2,0.0145,0,0,0,140775.85,Yes,0
AFG,rcof,N,H,1,0.0707142857142857,0,0,0,140775.85,Yes,0
AFG,rcof,N,I,2,0.0707142857142857,0,0,0,140775.85,Yes,0
AFG,spis,N,H,1,0.109,0,0,0,140775.85,Yes,0
AFG,spis,N,I,2,0.109,11693.416469566524,2549.164790365502,0.025806888625667334,140775.85,Yes,3632.986682133651
AFG,teas,N,H,1,0.21059999999999998,0,0,0,140775.85,Yes,0
AFG,teas,N,I,2,0.21059999999999998,0,0,0,140775.85,Yes,0
AFG,tnut,N,H,1,0.10625,0,0,0,140775.85,Yes,0
AFG,tnut,N,I,2,0.10625,23455.083625912663,4984.205270506441,0.050458421044243744,140775.85,Yes,7103.327112161301
AFG,toba,N,H,1,0.0448,0,0,0,140775.85,Yes,0
AFG,toba,N,I,2,0.0448,2.800000049173832,0.25088000440597535,2.539824948383829e-6,140775.85,Yes,0.3575460159599396
AFG,acof,P2O5,H,1,0.05642857142857143,0,0,0,16656.69,Yes,0
AFG,acof,P2O5,I,2,0.05642857142857143,0,0,0,16656.69,Yes,0
AFG,bean,P2O5,H,1,0.0915,0,0,0,16656.69,Yes,0
AFG,bean,P2O5,I,2,0.0915,6.499999910593033,1.189499983638525,3.8769672204981607e-5,16656.69,Yes,0.645774411319995
AFG,chic,P2O5,H,1,0.06,0,0,0,16656.69,Yes,0
AFG,chic,P2O5,I,2,0.06,7.100000023841858,0.852000002861023,2.7769450427838943e-5,16656.69,Yes,0.4625471272468806
AFG,coco,P2O5,H,1,0.055,0,0,0,16656.69,Yes,0
AFG,coco,P2O5,I,2,0.055,0,0,0,16656.69,Yes,0
AFG,cowp,P2O5,H,1,6e-4,0,0,0,16656.69,Yes,0
AFG,cowp,P2O5,I,2,6e-4,0,0,0,16656.69,Yes,0
AFG,fodd,P2O5,H,1,0.0087,12.420775822698976,0.10806074965748108,3.5220511980420958e-6,16656.69,Yes,0.058665714969915794
AFG,fodd,P2O5,I,2,0.0087,17.936840828042477,0.3121010304079391,1.0172387398224512e-5,16656.69,Yes,0.16943830345213223
AFG,lent,P2O5,H,1,0.0714,0,0,0,16656.69,Yes,0
AFG,lent,P2O5,I,2,0.0714,17.800000190734863,2.5418400272369386,8.284683144932661e-5,16656.69,Yes,1.379953988933684
AFG,opul,P2O5,H,1,0.002,11.699999928474426,0.023399999856948853,7.626820819917003e-7,16656.69,Yes,0.012703759008290332
AFG,opul,P2O5,I,2,0.002,48132.09998266399,192.52839993065595,0.006275126572619976,16656.69,Yes,104.52283803089342
