fubc_2002_crop,split_rest_names
cocoa,coco
coffee,rcof
coffee,acof
tea,teas
tobacco,toba
fodder,fodd
fodder_beet,fodd
fodder_crops,fodd
fodder_roots,fodd
forage_products_nes,fodd
clover,fodd
meadows,fodd
pasture_fodder,fodd
alfalfa,fodd
green_fodder,fodd
maize_silage,fodd
lucerne,fodd
beans,bean
bean,bean
dry_bean,bean
dry_beans,bean
pulses,opul
pulses_other,opul
azuhi_bean,opul
pea,opul
chickpeas,chic
chickpea,chic
gram,pige
lentil,lent
lentils,lent
peanut,tnut
hazelnut,tnut
almond,tnut
pistachio,tnut
rubber,othr
hop,othr
cowpea,cowp
pepper,spis
pepper_chili,spis
