iso3c,nutrient,country_application,reported_by_fao
ALA,N,NA,No
ALA,P2O5,NA,No
ALA,K2O,NA,No
ASM,N,NA,No
ASM,P2O5,NA,No
ASM,K2O,NA,No
AND,N,NA,No
AND,P2O5,NA,No
AND,K2O,NA,No
AIA,N,NA,No
AIA,P2O5,NA,No
AIA,K2O,NA,No
ABW,N,NA,No
ABW,P2O5,NA,No
ABW,K2O,NA,No
BES,N,NA,No
BES,P2O5,NA,No
BES,K2O,NA,No
IOT,N,NA,No
IOT,P2O5,NA,No
IOT,K2O,NA,No
VGB,N,NA,No
VGB,P2O5,NA,No
VGB,K2O,NA,No
CPV,N,NA,No
CPV,P2O5,NA,No
CPV,K2O,NA,No
CYM,N,NA,No
CYM,P2O5,NA,No
CYM,K2O,NA,No
TCD,N,NA,No
TCD,P2O5,NA,No
TCD,K2O,NA,No
CXR,N,NA,No
CXR,P2O5,NA,No
CXR,K2O,NA,No
CCK,N,NA,No
CCK,P2O5,NA,No
CCK,K2O,NA,No
COM,N,NA,No
COM,P2O5,NA,No
COM,K2O,NA,No
CUW,N,NA,No
CUW,P2O5,NA,No
CUW,K2O,NA,No
DJI,N,NA,No
DJI,P2O5,NA,No
DJI,K2O,NA,No
GNQ,N,NA,No
GNQ,P2O5,NA,No
GNQ,K2O,NA,No
FLK,N,NA,No
FLK,P2O5,NA,No
FLK,K2O,NA,No
FRO,N,NA,No
FRO,P2O5,NA,No
FRO,K2O,NA,No
GUF,N,NA,No
GUF,P2O5,NA,No
GUF,K2O,NA,No
GIB,N,NA,No
GIB,P2O5,NA,No
GIB,K2O,NA,No
GRL,N,NA,No
GRL,P2O5,NA,No
GRL,K2O,NA,No
GRD,N,NA,No
GRD,P2O5,NA,No
GRD,K2O,NA,No
GLP,N,NA,No
GLP,P2O5,NA,No
GLP,K2O,NA,No
GUM,N,NA,No
GUM,P2O5,NA,No
GUM,K2O,NA,No
GNB,N,NA,No
GNB,P2O5,NA,No
GNB,K2O,NA,No
HTI,N,NA,No
HTI,P2O5,NA,No
HTI,K2O,NA,No
IMN,N,NA,No
IMN,P2O5,NA,No
IMN,K2O,NA,No
JEY,N,NA,No
JEY,P2O5,NA,No
JEY,K2O,NA,No
KIR,N,NA,No
KIR,P2O5,NA,No
KIR,K2O,NA,No
LAO,N,NA,No
LAO,P2O5,NA,No
LAO,K2O,NA,No
LSO,N,NA,No
LSO,P2O5,NA,No
LSO,K2O,NA,No
LBR,N,NA,No
LBR,P2O5,NA,No
LBR,K2O,NA,No
LIE,N,NA,No
LIE,P2O5,NA,No
LIE,K2O,NA,No
MHL,N,NA,No
MHL,P2O5,NA,No
MHL,K2O,NA,No
MTQ,N,NA,No
MTQ,P2O5,NA,No
MTQ,K2O,NA,No
MRT,N,NA,No
MRT,P2O5,NA,No
MRT,K2O,NA,No
MYT,N,NA,No
MYT,P2O5,NA,No
MYT,K2O,NA,No
FSM,N,NA,No
FSM,P2O5,NA,No
FSM,K2O,NA,No
MCO,N,NA,No
MCO,P2O5,NA,No
MCO,K2O,NA,No
MSR,N,NA,No
MSR,P2O5,NA,No
MSR,K2O,NA,No
NIU,N,NA,No
NIU,P2O5,NA,No
NIU,K2O,NA,No
NFK,N,NA,No
NFK,P2O5,NA,No
NFK,K2O,NA,No
PRK,N,NA,No
PRK,P2O5,NA,No
PRK,K2O,NA,No
MNP,N,NA,No
