iso3c,nutrient,prod_system,split_rest_names,allocated_nutrient
AFG,N,H,acof,0
AFG,N,I,acof,0
AFG,N,H,bean,0
AFG,N,I,bean,2.547486780585437
AFG,N,H,chic,0
AFG,N,I,chic,0
AFG,N,H,coco,0
AFG,N,I,coco,0
AFG,N,H,cowp,0
AFG,N,I,cowp,0
AFG,N,H,fodd,0.6620430338694175
AFG,N,I,fodd,1.9121125265184447
AFG,N,H,lent,0
AFG,N,I,lent,1.81127383407449
AFG,N,H,opul,0.08337229527444107
AFG,N,I,opul,685.9630216180395
AFG,N,H,othr,0
AFG,N,I,othr,0
AFG,N,H,pige,0
AFG,N,I,pige,0
AFG,N,H,rcof,0
AFG,N,I,rcof,0
AFG,N,H,spis,0
AFG,N,I,spis,3632.986682133651
AFG,N,H,teas,0
AFG,N,I,teas,0
AFG,N,H,tnut,0
AFG,N,I,tnut,7103.327112161301
AFG,N,H,toba,0
AFG,N,I,toba,0.3575460159599396
AFG,P2O5,H,acof,0
AFG,P2O5,I,acof,0
AFG,P2O5,H,bean,0
AFG,P2O5,I,bean,0.645774411319995
AFG,P2O5,H,chic,0
AFG,P2O5,I,chic,0.4625471272468806
AFG,P2O5,H,coco,0
AFG,P2O5,I,coco,0
AFG,P2O5,H,cowp,0
AFG,P2O5,I,cowp,0
AFG,P2O5,H,fodd,0.058665714969915794
AFG,P2O5,I,fodd,0.16943830345213223
AFG,P2O5,H,lent,0
AFG,P2O5,I,lent,1.379953988933684
AFG,P2O5,H,opul,0.012703759008290332
AFG,P2O5,I,opul,104.52283803089342
AFG,P2O5,H,othr,0
AFG,P2O5,I,othr,0
AFG,P2O5,H,pige,0
AFG,P2O5,I,pige,0
AFG,P2O5,H,rcof,0
AFG,P2O5,I,rcof,0
AFG,P2O5,H,spis,0
AFG,P2O5,I,spis,1096.9871684018115
AFG,P2O5,H,teas,0
AFG,P2O5,I,teas,0
AFG,P2O5,H,tnut,0
AFG,P2O5,I,tnut,247.03307672882266
AFG,P2O5,H,toba,0
AFG,P2O5,I,toba,0.22680010636544903
AFG,K2O,H,acof,0
AFG,K2O,I,acof,0
AFG,K2O,H,bean,0
AFG,K2O,I,bean,0.0021048314297125222
AFG,K2O,H,chic,0
AFG,K2O,I,chic,0
AFG,K2O,H,coco,0
AFG,K2O,I,coco,0
AFG,K2O,H,cowp,0
AFG,K2O,I,cowp,0
AFG,K2O,H,fodd,1.84346177319854e-5
AFG,K2O,I,fodd,5.324285836962814e-5
AFG,K2O,H,lent,0
AFG,K2O,I,lent,0.002742703360103672
AFG,K2O,H,opul,8.467736906440715e-4
AFG,K2O,I,opul,6.967007895714436
AFG,K2O,H,othr,0
AFG,K2O,I,othr,0
AFG,K2O,H,pige,0
AFG,K2O,I,pige,0
AFG,K2O,H,rcof,0
AFG,K2O,I,rcof,0
AFG,K2O,H,spis,0
AFG,K2O,I,spis,2.612729674252428
AFG,K2O,H,teas,0
AFG,K2O,I,teas,0
AFG,K2O,H,tnut,0
AFG,K2O,I,tnut,3.2532903732117235
AFG,K2O,H,toba,0
AFG,K2O,I,toba,5.636630805219185e-4
CYP,N,H,acof,0
CYP,N,I,acof,0
CYP,N,H,bean,0
CYP,N,I,bean,41.67143041781698
CYP,N,H,chic,0
CYP,N,I,chic,0
CYP,N,H,coco,0
CYP,N,I,coco,0
CYP,N,H,cowp,0
CYP,N,I,cowp,0.15614060431398213
CYP,N,H,fodd,530.4655840944596
CYP,N,I,fodd,956.3092720446896
CYP,N,H,lent,0
CYP,N,I,lent,1.1091662804943767
CYP,N,H,opul,0
CYP,N,I,opul,25.397806989512617
CYP,N,H,othr,0
CYP,N,I,othr,0
CYP,N,H,pige,0
CYP,N,I,pige,0
CYP,N,H,rcof,0
CYP,N,I,rcof,0
CYP,N,H,spis,0
CYP,N,I,spis,0
CYP,N,H,teas,0
CYP,N,I,teas,0
CYP,N,H,tnut,0
CYP,N,I,tnut,854.4103324846728
CYP,N,H,toba,0
CYP,N,I,toba,1.3627849165401633
CYP,P2O5,H,acof,0
CYP,P2O5,I,acof,0
CYP,P2O5,H,bean,0
CYP,P2O5,I,bean,34.744933393517016
CYP,P2O5,H,chic,0
CYP,P2O5,I,chic,9.44212718463699
CYP,P2O5,H,coco,0
CYP,P2O5,I,coco,0
CYP,P2O5,H,cowp,0
CYP,P2O5,I,cowp,0.23476415166789144
CYP,P2O5,H,fodd,801.6787546345815
CYP,P2O5,I,fodd,1445.245175645123
CYP,P2O5,H,lent,0
CYP,P2O5,I,lent,1.621355044331728
CYP,P2O5,H,opul,0
CYP,P2O5,I,opul,95.29688349244448
CYP,P2O5,H,othr,0
CYP,P2O5,I,othr,0
CYP,P2O5,H,pige,0
CYP,P2O5,I,pige,0
CYP,P2O5,H,rcof,0
CYP,P2O5,I,rcof,0
CYP,P2O5,H,spis,0
CYP,P2O5,I,spis,0
CYP,P2O5,H,teas,0
CYP,P2O5,I,teas,0
CYP,P2O5,H,tnut,0
CYP,P2O5,I,tnut,97.73361580369271
CYP,P2O5,H,toba,0
CYP,P2O5,I,toba,1.2134852206946074
CYP,K2O,H,acof,0
CYP,K2O,I,acof,0
CYP,K2O,H,bean,0
CYP,K2O,I,bean,31.86954851049638
CYP,K2O,H,chic,0
CYP,K2O,I,chic,0
CYP,K2O,H,coco,0
CYP,K2O,I,coco,0
CYP,K2O,H,cowp,0
CYP,K2O,I,cowp,14.987221123380879
CYP,K2O,H,fodd,212.68338284048139
CYP,K2O,I,fodd,383.41995620203164
CYP,K2O,H,lent,0
CYP,K2O,I,lent,0.6479841066369427
CYP,K2O,H,opul,0
CYP,K2O,I,opul,30.968887945987294
CYP,K2O,H,othr,0
CYP,K2O,I,othr,0
CYP,K2O,H,pige,0
CYP,K2O,I,pige,0
CYP,K2O,H,rcof,0
CYP,K2O,I,rcof,0
CYP,K2O,H,spis,0
CYP,K2O,I,spis,0
CYP,K2O,H,teas,0
CYP,K2O,I,teas,0
CYP,K2O,H,tnut,0
CYP,K2O,I,tnut,362.20932478953796
CYP,K2O,H,toba,0
CYP,K2O,I,toba,1.5219174500144377
ALA,N,H,acof,0
ALA,N,I,acof,0
ALA,N,H,bean,0
ALA,N,I,bean,0
ALA,N,H,chic,0
ALA,N,I,chic,0
ALA,N,H,coco,0
ALA,N,I,coco,0
ALA,N,H,cowp,0
ALA,N,I,cowp,0
ALA,N,H,fodd,34.5883004070953
ALA,N,I,fodd,1.5182839007524307
ALA,N,H,lent,0
ALA,N,I,lent,0
ALA,N,H,opul,0.41400000158697364
