species,n
[Oplegnathus fasciatus],1
Amberjacks nei,2
Atlantic halibut,1
Barramundi(=Giant seaperch),8
Bastard halibut,2
Blackhead seabream,1
Cobia,4
European seabass,12
Flathead grey mullet,2
Fourfinger threadfin,1
Gilthead seabream,15
Groupers nei,5
"Jacks, crevalles nei",1
Japanese amberjack,1
Japanese jack mackerel,1
Japanese seabass,3
Japanese seabream,1
John's snapper,1
Korean rockfish,1
Large yellow croaker,1
Largemouth black bass,1
Lefteye flounders nei,1
Mangrove red snapper,1
Marine fishes nei,11
Meagre,5
Milkfish,4
Mullets nei,2
Pompano,1
"Porgies, seabreams nei",1
Red drum,3
Red porgy,1
Righteye flounders nei,2
Senegalese sole,1
Silver seabream,1
Snubnose pompano,1
Spotted rose snapper,1
Tiger pufferfish,2
Turbot,3
White trevally,1
