ISSCAAP_group;Species;Order;Continent;Geographic_region;Country;Economic_class;1995;2000;2005;2010;2050
Carps, barbels and other cyprinids;Bighead carp;Other;;;;;2;2;2;2;1.6
Carps, barbels and other cyprinids;Catla;Other;;;;;2;2;2;2;1.6
Carps, barbels and other cyprinids;Roho labeo;Other;;;;;2;2;2;2;1.6
Carps, barbels and other cyprinids;Silver carp;Other;;;;;2;2;2;2;1.6
Carps, barbels and other cyprinids;Other;Other;;;;;2;2;2;2;1.6
Miscellaneous freshwater fishes;Other;SILURIFORMES;;;;;2;1.8;1.6;1.5;0.9
Miscellaneous freshwater fishes;Grass-eaters nei;Other;;;;;2;1.8;1.6;1.5;0.9
Miscellaneous diadromous fishes;Milkfish;Other;;;;;2;2;2;1.9;1.7
Miscellaneous coastal fishes;Other;ACANTHUROIDEI;;;;;2;2;2;2;2
Miscellaneous coastal fishes;Other;MUGILIFORMES;;;;;2;2;2;2;2
Tilapias and other cichlids;Other;Other;;;;;2;1.93;1.8;1.7;1.24
Carps, barbels and other cyprinids;Black carp;Other;;;;;2;2;1.9;1.8;1.4
Miscellaneous freshwater fishes;Other;Other;;;;;2;2;2;2;2
Miscellaneous diadromous fishes;Other;Other;;;;;2;2;1.9;1.8;1.4
Miscellaneous coastal fishes;Other;Other;;;;;2;2;1.9;1.8;1.4
Sturgeons, paddlefishes;Other;Other;;;;;2;2;1.9;1.8;1.4
River eels;Other;Other;;;;;2;1.8;1.6;1.4;1
Salmons, trouts, smelts;Other;Other;;;;;1.5;1.3;1.3;1.25;1.15
Shads;Other;Other;;;;;2;2;2;2;2
Flounders, halibuts, soles;Other;Other;;;;;2;2;1.9;1.8;1.4
Cods, hakes, haddocks;Other;Other;;;;;2;2;1.9;1.8;1.4
Miscellaneous demersal fishes;Other;Other;;;;;2;2;1.9;1.8;1.4
Tunas, bonitos, billfishes;Other;Other;;;;;3;3;3;3;3
Miscellaneous pelagic fishes;Other;Other;;;;;3;3;3;3;3
Marine fishes not identified;Other;Other;;;;;2;2;1.9;1.8;1.4
Salmons, trouts, smelts;Atlantic salmon;Other;;;;;1.5;1.23333;1.15;1.1;1
Salmons, trouts, smelts;Rainbow trout;Other;;;;;1.5;1.23333;1.15;1.1;1
