ISSCAAP_group;Species;Order;Continent;Geographic_region;Country;Economic_class;1975;1985;1995;2000;2005;2010;2020;2030;2040;2050
Carps, barbels and other cyprinids;Bighead carp;Other;;;;;0.2;0.2;0.2;0.37;0.45;0.5;0.525;0.55;0.575;0.6
Carps, barbels and other cyprinids;Catla;Other;;;;;0.2;0.2;0.2;0.37;0.45;0.5;0.525;0.55;0.575;0.6
Carps, barbels and other cyprinids;Roho labeo;Other;;;;;0.2;0.2;0.2;0.37;0.45;0.5;0.525;0.55;0.575;0.6
Carps, barbels and other cyprinids;Silver carp;Other;;;;;0.2;0.2;0.2;0.37;0.45;0.5;0.525;0.55;0.575;0.6
Carps, barbels and other cyprinids;Other;Other;;;;;0.2;0.2;0.2;0.37;0.45;0.5;0.525;0.55;0.575;0.6
Miscellaneous coastal fishes;Other;ACANTHUROIDEI;;;;;0.4525;0.4725;0.5125;0.5675;0.5925;0.622125;0.65323125;0.6843375;0.71544375;0.74655
Miscellaneous coastal fishes;Other;MUGILIFORMES;;;;;0.4525;0.4725;0.5125;0.5675;0.5925;0.622125;0.65323125;0.6843375;0.71544375;0.74655
Miscellaneous diadromous fishes;Milkfish;Other;;;;;0.2325;0.255;0.3;0.34;0.39;0.44;0.462;0.484;0.506;0.528
Miscellaneous freshwater fishes;Other;SILURIFORMES;;;;;0.85;0.85;0.85;0.81;0.73;0.73;0.7665;0.803;0.8395;0.876
Miscellaneous freshwater fishes;Grass-eaters nei;Other;;;;;0.94;0.91;0.85;0.81;0.73;0.73;0.7665;0.803;0.8395;0.876
Tilapias and other cichlids;Other;Other;;;;;0.625;0.65;0.7;0.75;0.8;0.85;0.8875;0.925;0.9625;1
Carps, barbels and other cyprinids;Black carp;Other;Europe;;;;1;1;1;1;1;1;1;1;1;1
Cods, hakes, haddocks;Other;Other;Europe;;;;1;1;1;1;1;1;1;1;1;1
Flounders, halibuts, soles;Other;Other;Europe;;;;1;1;1;1;1;1;1;1;1;1
Marine fishes not identified;Other;Other;Europe;;;;1;1;1;1;1;1;1;1;1;1
Miscellaneous coastal fishes;Other;Other;Europe;;;;1;1;1;1;1;1;1;1;1;1
Miscellaneous demersal fishes;Other;Other;Europe;;;;1;1;1;1;1;1;1;1;1;1
Miscellaneous diadromous fishes;Other;Other;Europe;;;;1;1;1;1;1;1;1;1;1;1
Miscellaneous freshwater fishes;Other;Other;Europe;;;;1;1;1;1;1;1;1;1;1;1
Miscellaneous pelagic fishes;Other;Other;Europe;;;;1;1;1;1;1;1;1;1;1;1
River eels;Other;Other;Europe;;;;1;1;1;1;1;1;1;1;1;1
Salmons, trouts, smelts;Other;Other;Europe;;;;1;1;1;1;1;1;1;1;1;1
Shads;Other;Other;Europe;;;;1;1;1;1;1;1;1;1;1;1
Sturgeons, paddlefishes;Other;Other;Europe;;;;1;1;1;1;1;1;1;1;1;1
Tunas, bonitos, billfishes;Other;Other;Europe;;;;1;1;1;1;1;1;1;1;1;1
Carps, barbels and other cyprinids;Black carp;Other;Other;;;;0.85;0.85;0.85;0.81;0.73;0.73;0.7665;0.803;0.8395;0.876
Cods, hakes, haddocks;Other;Other;Other;;;;0.35;0.4;0.5;0.6;0.7;0.73;0.7665;0.803;0.8395;0.876
Flounders, halibuts, soles;Other;Other;Other;;;;0.35;0.4;0.5;0.6;0.7;0.73;0.7665;0.803;0.8395;0.876
Marine fishes not identified;Other;Other;Other;;;;0.35;0.4;0.5;0.6;0.7;0.73;0.7665;0.803;0.8395;0.876
Miscellaneous coastal fishes;Other;Other;Other;;;;0.35;0.4;0.5;0.6;0.7;0.73;0.7665;0.803;0.8395;0.876
Miscellaneous demersal fishes;Other;Other;Other;;;;0.35;0.4;0.5;0.6;0.7;0.73;0.7665;0.803;0.8395;0.876
Miscellaneous diadromous fishes;Other;Other;Other;;;;0.35;0.4;0.5;0.6;0.7;0.73;0.7665;0.803;0.8395;0.876
Miscellaneous freshwater fishes;Other;Other;Other;;;;0.05;0.05;0.05;0.1;0.15;0.16;0.168;0.176;0.184;0.192
Miscellaneous pelagic fishes;Other;Other;Other;;;;0.35;0.4;0.5;0.6;0.7;0.73;0.7665;0.803;0.8395;0.876
River eels;Other;Other;Other;;;;0.87;0.88;0.9;0.92;0.94;0.95;0.9625;0.975;0.9875;1
Salmons, trouts, smelts;Other;Other;Other;;;;1;1;1;1;1;1;1;1;1;1
Shads;Other;Other;Other;;;;0.35;0.4;0.5;0.6;0.7;0.73;0.7665;0.803;0.8395;0.876
Sturgeons, paddlefishes;Other;Other;Other;;;;0.35;0.4;0.5;0.6;0.7;0.73;0.7665;0.803;0.8395;0.876
Tunas, bonitos, billfishes;Other;Other;Other;;;;0.35;0.4;0.5;0.6;0.7;0.73;0.7665;0.803;0.8395;0.876
Carps, barbels and other cyprinids;Black carp;Other;Asia;;;;0.6375;0.6375;0.6375;0.6075;0.5475;0.5475;0.574875;0.60225;0.629625;0.657
Cods, hakes, haddocks;Other;Other;Asia;;;;0.2625;0.3;0.375;0.45;0.525;0.5475;0.574875;0.60225;0.629625;0.657
Flounders, halibuts, soles;Other;Other;Asia;;;;0.2625;0.3;0.375;0.45;0.525;0.5475;0.574875;0.60225;0.629625;0.657
Marine fishes not identified;Other;Other;Asia;;;;0.2625;0.3;0.375;0.45;0.525;0.5475;0.574875;0.60225;0.629625;0.657
Miscellaneous coastal fishes;Other;Other;Asia;;;;0.2625;0.3;0.375;0.45;0.525;0.5475;0.574875;0.60225;0.629625;0.657
Miscellaneous demersal fishes;Other;Other;Asia;;;;0.2625;0.3;0.375;0.45;0.525;0.5475;0.574875;0.60225;0.629625;0.657
Miscellaneous diadromous fishes;Other;Other;Asia;;;;0.2625;0.3;0.375;0.45;0.525;0.5475;0.574875;0.60225;0.629625;0.657
Miscellaneous freshwater fishes;Other;Other;Asia;;;;0.0375;0.0375;0.0375;0.075;0.1125;0.12;0.126;0.132;0.138;0.144
Miscellaneous pelagic fishes;Other;Other;Asia;;;;0.2625;0.3;0.375;0.45;0.525;0.5475;0.574875;0.60225;0.629625;0.657
River eels;Other;Other;Asia;;;;0.6525;0.66;0.675;0.69;0.705;0.7125;0.721875;0.73125;0.740625;0.75
Salmons, trouts, smelts;Other;Other;Asia;;;;1;1;1;1;1;1;1;1;1;1
Shads;Other;Other;Asia;;;;0.2625;0.3;0.375;0.45;0.525;0.5475;0.574875;0.60225;0.629625;0.657
Sturgeons, paddlefishes;Other;Other;Asia;;;;0.2625;0.3;0.375;0.45;0.525;0.5475;0.574875;0.60225;0.629625;0.657
Tunas, bonitos, billfishes;Other;Other;Asia;;;;0.2625;0.3;0.375;0.45;0.525;0.5475;0.574875;0.60225;0.629625;0.657
Carps, barbels and other cyprinids;Black carp;Other;Other;Northern America;;;1;1;1;1;1;1;1;1;1;1
Cods, hakes, haddocks;Other;Other;Other;Northern America;;;1;1;1;1;1;1;1;1;1;1
Flounders, halibuts, soles;Other;Other;Other;Northern America;;;1;1;1;1;1;1;1;1;1;1
Marine fishes not identified;Other;Other;Other;Northern America;;;1;1;1;1;1;1;1;1;1;1
Miscellaneous coastal fishes;Other;Other;Other;Northern America;;;1;1;1;1;1;1;1;1;1;1
Miscellaneous demersal fishes;Other;Other;Other;Northern America;;;1;1;1;1;1;1;1;1;1;1
Miscellaneous diadromous fishes;Other;Other;Other;Northern America;;;1;1;1;1;1;1;1;1;1;1
Miscellaneous freshwater fishes;Other;Other;Other;Northern America;;;1;1;1;1;1;1;1;1;1;1
Miscellaneous pelagic fishes;Other;Other;Other;Northern America;;;1;1;1;1;1;1;1;1;1;1
River eels;Other;Other;Other;Northern America;;;1;1;1;1;1;1;1;1;1;1
Salmons, trouts, smelts;Other;Other;Other;Northern America;;;1;1;1;1;1;1;1;1;1;1
Shads;Other;Other;Other;Northern America;;;1;1;1;1;1;1;1;1;1;1
Sturgeons, paddlefishes;Other;Other;Other;Northern America;;;1;1;1;1;1;1;1;1;1;1
Tunas, bonitos, billfishes;Other;Other;Other;Northern America;;;1;1;1;1;1;1;1;1;1;1
Carps, barbels and other cyprinids;Black carp;Other;Other;Other;Chile;;1;1;1;1;1;1;1;1;1;1
Cods, hakes, haddocks;Other;Other;Other;Other;Chile;;1;1;1;1;1;1;1;1;1;1
Flounders, halibuts, soles;Other;Other;Other;Other;Chile;;1;1;1;1;1;1;1;1;1;1
Marine fishes not identified;Other;Other;Other;Other;Chile;;1;1;1;1;1;1;1;1;1;1
Miscellaneous coastal fishes;Other;Other;Other;Other;Chile;;1;1;1;1;1;1;1;1;1;1
Miscellaneous demersal fishes;Other;Other;Other;Other;Chile;;1;1;1;1;1;1;1;1;1;1
Miscellaneous diadromous fishes;Other;Other;Other;Other;Chile;;1;1;1;1;1;1;1;1;1;1
Miscellaneous freshwater fishes;Other;Other;Other;Other;Chile;;1;1;1;1;1;1;1;1;1;1
Miscellaneous pelagic fishes;Other;Other;Other;Other;Chile;;1;1;1;1;1;1;1;1;1;1
River eels;Other;Other;Other;Other;Chile;;1;1;1;1;1;1;1;1;1;1
Salmons, trouts, smelts;Other;Other;Other;Other;Chile;;1;1;1;1;1;1;1;1;1;1
Shads;Other;Other;Other;Other;Chile;;1;1;1;1;1;1;1;1;1;1
Sturgeons, paddlefishes;Other;Other;Other;Other;Chile;;1;1;1;1;1;1;1;1;1;1
Tunas, bonitos, billfishes;Other;Other;Other;Other;Chile;;1;1;1;1;1;1;1;1;1;1
Carps, barbels and other cyprinids;Black carp;Other;Other;Australia and New Zealand;;;1;1;1;1;1;1;1;1;1;1
Cods, hakes, haddocks;Other;Other;Other;Australia and New Zealand;;;1;1;1;1;1;1;1;1;1;1
Flounders, halibuts, soles;Other;Other;Other;Australia and New Zealand;;;1;1;1;1;1;1;1;1;1;1
Marine fishes not identified;Other;Other;Other;Australia and New Zealand;;;1;1;1;1;1;1;1;1;1;1
Miscellaneous coastal fishes;Other;Other;Other;Australia and New Zealand;;;1;1;1;1;1;1;1;1;1;1
Miscellaneous demersal fishes;Other;Other;Other;Australia and New Zealand;;;1;1;1;1;1;1;1;1;1;1
Miscellaneous diadromous fishes;Other;Other;Other;Australia and New Zealand;;;1;1;1;1;1;1;1;1;1;1
Miscellaneous freshwater fishes;Other;Other;Other;Australia and New Zealand;;;1;1;1;1;1;1;1;1;1;1
Miscellaneous pelagic fishes;Other;Other;Other;Australia and New Zealand;;;1;1;1;1;1;1;1;1;1;1
River eels;Other;Other;Other;Australia and New Zealand;;;1;1;1;1;1;1;1;1;1;1
Salmons, trouts, smelts;Other;Other;Other;Australia and New Zealand;;;1;1;1;1;1;1;1;1;1;1
Shads;Other;Other;Other;Australia and New Zealand;;;1;1;1;1;1;1;1;1;1;1
Sturgeons, paddlefishes;Other;Other;Other;Australia and New Zealand;;;1;1;1;1;1;1;1;1;1;1
Tunas, bonitos, billfishes;Other;Other;Other;Australia and New Zealand;;;1;1;1;1;1;1;1;1;1;1
Carps, barbels and other cyprinids;Black carp;Other;Other;Other;Japan;;1;1;1;1;1;1;1;1;1;1
Cods, hakes, haddocks;Other;Other;Other;Other;Japan;;1;1;1;1;1;1;1;1;1;1
Flounders, halibuts, soles;Other;Other;Other;Other;Japan;;1;1;1;1;1;1;1;1;1;1
Marine fishes not identified;Other;Other;Other;Other;Japan;;1;1;1;1;1;1;1;1;1;1
Miscellaneous coastal fishes;Other;Other;Other;Other;Japan;;1;1;1;1;1;1;1;1;1;1
Miscellaneous demersal fishes;Other;Other;Other;Other;Japan;;1;1;1;1;1;1;1;1;1;1
