ISSCAAP_group;Species;Order;Continent;Geographic_region;Country;Economic_class;1980;2000;2010;2050
Carps, barbels and other cyprinids;Bighead carp;Other;;;;;0.01;0.01;0.01;0.01
Carps, barbels and other cyprinids;Catla;Other;;;;;0.01;0.01;0.01;0.01
Carps, barbels and other cyprinids;Roho labeo;Other;;;;;0.01;0.01;0.01;0.01
Carps, barbels and other cyprinids;Silver carp;Other;;;;;0.01;0.01;0.01;0.01
Carps, barbels and other cyprinids;Other;Other;;;;;0.01;0.01;0.01;0.01
Miscellaneous freshwater fishes;Other;SILURIFORMES;;;;;0.01;0.01;0.01;0.01
Miscellaneous freshwater fishes;Grass-eaters nei;Other;;;;;0.01;0.01;0.01;0.01
Miscellaneous diadromous fishes;Milkfish;Other;;;;;0.01;0.01;0.01;0.01
Miscellaneous coastal fishes;Other;ACANTHUROIDEI;;;;;0.01;0.01;0.01;0.01
Miscellaneous coastal fishes;Other;MUGILIFORMES;;;;;0.01;0.01;0.01;0.01
Tilapias and other cichlids;Other;Other;;;;;0.01;0.01;0.01;0.01
Carps, barbels and other cyprinids;Black carp;Other;;;;;0.011;0.011;0.011;0.011
Miscellaneous freshwater fishes;Other;Other;;;;;0.011;0.011;0.011;0.011
Miscellaneous diadromous fishes;Other;Other;;;;;0.011;0.011;0.011;0.011
Miscellaneous coastal fishes;Other;Other;;;;;0.011;0.011;0.011;0.011
Sturgeons, paddlefishes;Other;Other;;;;;0.011;0.011;0.011;0.011
River eels;Other;Other;;;;;0.011;0.011;0.011;0.011
Salmons, trouts, smelts;Other;Other;;;;;0.025;0.011;0.011;0.011
Shads;Other;Other;;;;;0.011;0.011;0.011;0.011
Flounders, halibuts, soles;Other;Other;;;;;0.011;0.011;0.011;0.011
Cods, hakes, haddocks;Other;Other;;;;;0.011;0.011;0.011;0.011
Miscellaneous demersal fishes;Other;Other;;;;;0.011;0.011;0.011;0.011
Tunas, bonitos, billfishes;Other;Other;;;;;0.011;0.011;0.011;0.011
Miscellaneous pelagic fishes;Other;Other;;;;;0.011;0.011;0.011;0.011
Marine fishes not identified;Other;Other;;;;;0.011;0.011;0.011;0.011
Salmons, trouts, smelts;Atlantic salmon;Other;;;;;0.025;0.011;0.011;0.011
Salmons, trouts, smelts;Rainbow trout;Other;;;;;0.025;0.011;0.011;0.011
