ISSCAAP_group;Species;Order;Continent;Geographic_region;Country;Economic_class;2005;2006;2010;2020;2030;2040;2050
Carps, barbels and other cyprinids;Bighead carp;Other;;;;;;;;;;;
Carps, barbels and other cyprinids;Catla;Other;;;;;;;;;;;
Carps, barbels and other cyprinids;Roho labeo;Other;;;;;;;;;;;
Carps, barbels and other cyprinids;Silver carp;Other;;;;;;;;;;;
Carps, barbels and other cyprinids;Other;Other;;;;;;;;;;;
Miscellaneous freshwater fishes;Other;SILURIFORMES;;;;;;;;;;;
Miscellaneous freshwater fishes;Grass-eaters nei;Other;;;;;;;;;;;
Miscellaneous diadromous fishes;Milkfish;Other;;;;;;;;;;;
Miscellaneous coastal fishes;Other;ACANTHUROIDEI;;;;;;;;;;;
Miscellaneous coastal fishes;Other;MUGILIFORMES;;;;;;;;;;;
Tilapias and other cichlids;Other;Other;;;;;;;;;;;
Carps, barbels and other cyprinids;Black carp;Other;;;;;6;6;6;6;6;6;6
Cods, hakes, haddocks;Other;Other;;;;;6;6;6;6;6;6;6
Flounders, halibuts, soles;Other;Other;;;;;6;6;6;6;6;6;6
Marine fishes not identified;Other;Other;;;;;6;6;6;6;6;6;6
Miscellaneous coastal fishes;Other;Other;;;;;6;6;6;6;6;6;6
Miscellaneous demersal fishes;Other;Other;;;;;6;6;6;6;6;6;6
Miscellaneous diadromous fishes;Other;Other;;;;;6;6;6;6;6;6;6
Miscellaneous freshwater fishes;Other;Other;;;;;6;6;6;6;6;6;6
Miscellaneous pelagic fishes;Other;Other;;;;;6;6;6;6;6;6;6
River eels;Other;Other;;;;;6;6;6;6;6;6;6
Salmons, trouts, smelts;;Other;;;;;;;;;;;
Shads;Other;Other;;;;;6;6;6;6;6;6;6
Sturgeons, paddlefishes;Other;Other;;;;;6;6;6;6;6;6;6
Tunas, bonitos, billfishes;Other;Other;;;;;10;10;10;10;10;10;10
