ISSCAAP_group;Species;Order;Continent;Geographic_region;Country;Economic_class;1980;2000;2010;2050
Carps, barbels and other cyprinids;Bighead carp;Other;;;;;0.6;0.6;0.6;0.6
Carps, barbels and other cyprinids;Catla;Other;;;;;0.6;0.6;0.6;0.6
Carps, barbels and other cyprinids;Roho labeo;Other;;;;;0.6;0.6;0.6;0.6
Carps, barbels and other cyprinids;Silver carp;Other;;;;;0.6;0.6;0.6;0.6
Carps, barbels and other cyprinids;Other;Other;;;;;0.6;0.6;0.6;0.6
Miscellaneous freshwater fishes;Other;SILURIFORMES;;;;;0.6;0.6;0.6;0.6
Miscellaneous freshwater fishes;Grass-eaters nei;Other;;;;;0.6;0.6;0.6;0.6
Miscellaneous diadromous fishes;Milkfish;Other;;;;;0.6;0.6;0.6;0.6
Miscellaneous coastal fishes;Other;ACANTHUROIDEI;;;;;0.6;0.6;0.6;0.6
Miscellaneous coastal fishes;Other;MUGILIFORMES;;;;;0.6;0.6;0.6;0.6
Tilapias and other cichlids;Other;Other;;;;;0.6;0.6;0.6;0.6
Carps, barbels and other cyprinids;Black carp;Other;;;;;0.7;0.7;0.7;0.7
Miscellaneous freshwater fishes;Other;Other;;;;;0.7;0.7;0.7;0.7
Miscellaneous diadromous fishes;Other;Other;;;;;0.7;0.7;0.7;0.7
Miscellaneous coastal fishes;Other;Other;;;;;0.7;0.7;0.7;0.7
Sturgeons, paddlefishes;Other;Other;;;;;0.7;0.7;0.7;0.7
River eels;Other;Other;;;;;0.7;0.7;0.7;0.7
Salmons, trouts, smelts;Other;Other;;;;;0.7;0.7;0.7;0.7
Shads;Other;Other;;;;;0.7;0.7;0.7;0.7
Flounders, halibuts, soles;Other;Other;;;;;0.7;0.7;0.7;0.7
Cods, hakes, haddocks;Other;Other;;;;;0.7;0.7;0.7;0.7
Miscellaneous demersal fishes;Other;Other;;;;;0.7;0.7;0.7;0.7
Tunas, bonitos, billfishes;Other;Other;;;;;0.7;0.7;0.7;0.7
Miscellaneous pelagic fishes;Other;Other;;;;;0.7;0.7;0.7;0.7
Marine fishes not identified;Other;Other;;;;;0.7;0.7;0.7;0.7
Salmons, trouts, smelts;Atlantic salmon;Other;;;;;0.7;0.7;0.7;0.7
Salmons, trouts, smelts;Rainbow trout;Other;;;;;0.7;0.7;0.7;0.7
