wf_type,split_rest_names,global_average
blue,bana,97
blue,barl,79
blue,bean,125
blue,cass,0
blue,chic,224
blue,cnut,2
blue,coco,4
blue,cott,1306
blue,cowp,10
blue,grou,150
blue,lent,489
blue,maiz,81
blue,ocer,73.25
blue,ofib,247.75
blue,oilp,0
blue,ooil,439.85714285714283
blue,opul,114.83333333333333
blue,orts,13.333333333333334
blue,othr,315
blue,pige,72
blue,plnt,27
blue,pmil,57
blue,pota,33
blue,rape,116
blue,rice,341
blue,sesa,509
blue,smil,57
blue,sorg,103
blue,soyb,70
blue,spis,4554.4
blue,sugb,26
blue,sugc,57
blue,sunf,148
blue,swpo,5
blue,temf,231.66666666666666
blue,tnut,1590.5555555555557
blue,trof,283.8
blue,vege,76.18181818181819
blue,whea,342
blue,yams,0
green,bana,660
green,barl,1213
green,bean,3945
green,cass,550
green,chic,2972
green,cnut,2669
green,coco,19745
green,cott,2282
green,cowp,6841
green,grou,2469
green,lent,4324
green,maiz,947
green,ocer,2822.3333333333335
green,ofib,5748.777777777777
green,oilp,1057
green,ooil,4365
green,opul,1921.6666666666667
green,orts,594.6666666666666
green,othr,7673
green,pige,4739
green,plnt,1570
green,pmil,4306
green,pota,191
green,rape,2083
green,rice,1146
green,sesa,8460
green,smil,4306
green,sorg,2857
green,soyb,2037
green,spis,21400.6
green,sugb,82
green,sugc,139
green,sunf,3017
green,swpo,324
green,temf,610.0555555555555
green,tnut,7222.3
green,trof,893.5333333333333
green,vege,506.54545454545456
green,whea,1277
green,yams,341
