animal_pro,Tonnes,Percent,Percent Sum,included
cow-milk,708443103,0.5051248799396951,0.5051248799396951,included
pig-meat,175381364,0.12504813732961131,0.6301730172693064,included
chicken-meat,124689487,0.08890447501557112,0.7190774922848776,included
buffalo-milk,123964863,0.08838781304306913,0.8074653053279467,included
hen-eggs,101975800,0.0727094575607074,0.880174762888654,included
cattle-meat,71141147,0.0507241346340656,0.9308988975227197,included
goat-milk,19071697,0.013598253150572693,0.9444971506732924,included
sheep-milk,12047656,0.008590062864307042,0.9530872135375994,included
sheep-meat,11935410,0.008510030682423113,0.9615972442200226,included
other bird-eggs,10751762,0.007666081392269799,0.9692633256122923,not included
goat-meat,8192772,0.005841503651244236,0.9751048292635366,included
duck-meat,7351015,0.005241325031729327,0.980346154295266,not included
turkey-meat,5879153,0.004191877146797629,0.9845380314420635,not included
goose and guinea-meat,5314024,0.0037889362231488316,0.9883269676652123,not included
buffalo-meat,4772370,0.0034027331384406225,0.991729700803653,not included
camel-milk,2929952,0.0020890762376849195,0.9938187770413379,not included
rabbit-meat,2252483,0.0016060361094957325,0.9954248131508336,not included
nes-meat,2098127,0.0014959792035313707,0.996920792354365,not included
game-meat,2087733,0.0014885682089435764,0.9984093605633085,not included
horse-meat,979213,6.98185707456014e-4,0.9991075462707646,not included
camel-meat,580155,4.136545665847408e-4,0.9995212008373493,not included
ass-meat,405454,2.890915335385362e-4,0.9998102923708879,not included
mule-meat,107022,7.630743340147396e-5,0.9998865998042894,not included
bee-beeswax,68974,4.917894368852446e-5,0.9999357787479779,not included
other camelids-meat,32381,2.3087879136748782e-5,0.9999588666271146,not included
bird nes-meat,19638,1.4002031144420265e-5,0.9999728686582591,not included
snails-meat,19251,1.3726097441757537e-5,0.9999865947557008,not included
other rodents-meat,18801,1.340524429912646e-5,0.9999999999999999,not included
