Country,Element,Item,combo,product,animal,Unit,Value
Afghanistan,Laying,"Eggs, hen, in shell",hen-eggs,eggs,hen,1000 Head,10688
Afghanistan,Production,"Eggs, hen, in shell",hen-eggs,eggs,hen,tonnes,20000
Afghanistan,Production,"Meat, camel",camel-meat,meat,camel,tonnes,3556
Afghanistan,Production,"Meat, cattle",cattle-meat,meat,cattle,tonnes,128357
Afghanistan,Producing Animals/Slaughtered,"Meat, chicken",chicken-meat,meat,chicken,1000 Head,34397
Afghanistan,Production,"Meat, chicken",chicken-meat,meat,chicken,tonnes,27518
Afghanistan,Production,"Meat, game",game-meat,meat,game,tonnes,8004
Afghanistan,Production,"Meat, goat",goat-meat,meat,goat,tonnes,46659
Afghanistan,Production,"Meat, sheep",sheep-meat,meat,sheep,tonnes,111598
Afghanistan,Production,"Milk, whole fresh camel",camel-milk,milk,camel,tonnes,6846
Afghanistan,Production,"Milk, whole fresh cow",cow-milk,milk,cow,tonnes,1781535
Afghanistan,Production,"Milk, whole fresh goat",goat-milk,milk,goat,tonnes,114579
Afghanistan,Production,"Milk, whole fresh sheep",sheep-milk,milk,sheep,tonnes,206763
Albania,Laying,"Eggs, hen, in shell",hen-eggs,eggs,hen,1000 Head,4820
Albania,Production,"Eggs, hen, in shell",hen-eggs,eggs,hen,tonnes,51099
Albania,Production,"Eggs, other bird, in shell",other bird-eggs,eggs,other bird,tonnes,200
Albania,Production,Meat nes,nes-meat,meat,nes,tonnes,149
Albania,Production,"Meat, cattle",cattle-meat,meat,cattle,tonnes,39017
Albania,Producing Animals/Slaughtered,"Meat, chicken",chicken-meat,meat,chicken,1000 Head,11826
Albania,Production,"Meat, chicken",chicken-meat,meat,chicken,tonnes,12912
Albania,Production,"Meat, goat",goat-meat,meat,goat,tonnes,9723
Albania,Production,"Meat, pig",pig-meat,meat,pig,tonnes,11561
Albania,Production,"Meat, sheep",sheep-meat,meat,sheep,tonnes,16512
Albania,Producing Animals/Slaughtered,"Meat, turkey",turkey-meat,meat,turkey,1000 Head,205
Albania,Production,"Milk, whole fresh buffalo",buffalo-milk,milk,buffalo,tonnes,12
Albania,Production,"Milk, whole fresh cow",cow-milk,milk,cow,tonnes,982510
Albania,Production,"Milk, whole fresh goat",goat-milk,milk,goat,tonnes,86849
Albania,Production,"Milk, whole fresh sheep",sheep-milk,milk,sheep,tonnes,86927
Algeria,Laying,"Eggs, hen, in shell",hen-eggs,eggs,hen,1000 Head,23000
