iso3c,total_dm_kg_year
ARG,5579369927.043613
AUS,3275668138.8750687
BRA,5417478950.371668
CAN,20231392980.995678
CHN,11313282346.69792
ESP,919591728.5530447
IDN,1009486289.1017683
JPN,3056311181.721837
MEX,4440735155.165939
URY,447369620.9271763
USA,103542287134.32166
ZAF,1668624554.8044333
