iso3c,Country,SPAM_super,pressure,pressure_value,global_total,rescaled_pressure,tonnes_producing_crop,ghg_pressure_rate
AFG,Afghanistan,bana,ghg,2.819188117980957,6489884492.153084,4.343972718450746e-10,495,8.775702461516658e-7
AFG,Afghanistan,barl,ghg,40854.83014939306,6489884492.153084,6.29515520635084e-6,90011.4663454555,6.993725868425062e-5
AFG,Afghanistan,cass,ghg,0,6489884492.153084,0,0,0
AFG,Afghanistan,cnut,ghg,0,6489884492.153084,0,0,0
AFG,Afghanistan,coco,ghg,0,6489884492.153084,0,0,0
AFG,Afghanistan,maiz,ghg,104956.60190610029,6489884492.153084,1.6172337432662057e-5,175762.236185804,9.201258349697913e-5
AFG,Afghanistan,ocer,ghg,10.110187888145447,6489884492.153084,1.5578378783735935e-9,1107.1307176351547,1.407094802410645e-6
AFG,Afghanistan,ofib,ghg,0,6489884492.153084,0,2.787539482116699,0
AFG,Afghanistan,oilp,ghg,0,6489884492.153084,0,0,0
AFG,Afghanistan,orts,ghg,0,6489884492.153084,0,0,0
AFG,Afghanistan,plnt,ghg,0,6489884492.153084,0,0,0
AFG,Afghanistan,pota,ghg,107762.58234922588,6489884492.153084,1.6604699587415087e-5,553471.1248102784,3.000102235343701e-5
AFG,Afghanistan,rice,ghg,528858.5001401231,6489884492.153084,8.148966299470593e-5,335203.8731095195,2.4310477751574556e-4
AFG,Afghanistan,sorg,ghg,0.7312197387218475,6489884492.153084,1.1267068614333044e-10,2.3789474442601204,4.736157009907056e-5
AFG,Afghanistan,soyb,ghg,0.3676504045724869,6489884492.153084,5.664976087278792e-11,0.5409091040492058,1.047306478088684e-4
AFG,Afghanistan,spis,ghg,6638.576380621176,6489884492.153084,1.0229113304940752e-6,18848.652510156855,5.426973254151008e-5
AFG,Afghanistan,sugb,ghg,2023.853743314743,6489884492.153084,3.118474212848909e-7,3096.4730839310214,1.0071052220773567e-4
