iso3c,Country,SPAM_super,pressure,pressure_value,global_total,rescaled_pressure,tonnes_producing_crop,nutrient_pressure_rate
AFG,Afghanistan,bana,nutrient,0.018620703369379044,143550799.05924112,1.2971507989791528e-10,495,2.6205066646043496e-7
AFG,Afghanistan,barl,nutrient,583.5193346480082,143550799.05924112,4.0648978512979165e-6,90011.4663454555,4.5159778152010356e-5
AFG,Afghanistan,cass,nutrient,0,143550799.05924112,0,0,0
AFG,Afghanistan,cnut,nutrient,0,143550799.05924112,0,0,0
AFG,Afghanistan,coco,nutrient,0,143550799.05924112,0,0,0
AFG,Afghanistan,maiz,nutrient,3457.526760642184,143550799.05924112,2.4085736779600357e-5,175762.236185804,1.370359031739818e-4
AFG,Afghanistan,ocer,nutrient,0.10883757844567299,143550799.05924112,7.581816274025577e-10,1107.1307176351547,6.848167206687602e-7
AFG,Afghanistan,ofib,nutrient,0,143550799.05924112,0,2.787539482116699,0
AFG,Afghanistan,oilp,nutrient,0,143550799.05924112,0,0,0
AFG,Afghanistan,orts,nutrient,0,143550799.05924112,0,0,0
AFG,Afghanistan,plnt,nutrient,0,143550799.05924112,0,0,0
AFG,Afghanistan,pota,nutrient,119.81474191916641,143550799.05924112,8.346504701079426e-7,553471.1248102784,1.5080289335673082e-6
AFG,Afghanistan,rice,nutrient,6521.089812359773,143550799.05924112,4.5427053385252305e-5,335203.8731095195,1.3552066974599112e-4
AFG,Afghanistan,sorg,nutrient,0.010942907771095634,143550799.05924112,7.623021148478366e-11,2.3789474442601204,3.204367194773911e-5
AFG,Afghanistan,soyb,nutrient,6.387700559571385e-4,143550799.05924112,4.449784049572085e-12,0.5409091040492058,8.226491320374031e-6
AFG,Afghanistan,spis,nutrient,1.5247480148873365,143550799.05924112,1.062166163392861e-8,18848.652510156855,5.635236592220575e-7
AFG,Afghanistan,sugb,nutrient,125.60290202591568,143550799.05924112,8.749718068380892e-7,3096.4730839310214,2.825704545531843e-4
AFG,Afghanistan,sugc,nutrient,214.56762834638357,143550799.05924112,1.4947156668757723e-6,37391.717828691006,3.997451183504769e-5
AFG,Afghanistan,swpo,nutrient,0,143550799.05924112,0,37.90928649902344,0
AFG,Afghanistan,tnut,nutrient,2.922228874731445,143550799.05924112,2.035675798311292e-8,37794.861744526774,5.386117859277753e-7
AFG,Afghanistan,vege,nutrient,5357.629171779379,143550799.05924112,3.732218285715269e-5,623731.3476734459,5.983695223330781e-5
AFG,Afghanistan,whea,nutrient,33780.051715648035,143550799.05924112,2.353177546696034e-4,4091611.5045543313,5.751224289199343e-5
AFG,Afghanistan,xfru,nutrient,1216.0569725073874,143550799.05924112,8.471265785191067e-6,2614667.123425588,3.239902207548507e-6
AFG,Afghanistan,xmil,nutrient,0.10173947410658002,143550799.05924112,7.087349897968437e-10,12992.710319280624,5.45486640108578e-8
AFG,Afghanistan,xoil,nutrient,2168.3594006264466,143550799.05924112,1.5105171234411585e-5,98996.81992758064,1.5258238845915965e-4
AFG,Afghanistan,xpul,nutrient,0.28660588162108525,143550799.05924112,1.9965467520860514e-9,40007.89913851023,4.9903813873701864e-8
AFG,Afghanistan,yams,nutrient,0,143550799.05924112,0,0,0
ALA,Åland,bana,nutrient,0,143550799.05924112,0,0,0
ALA,Åland,barl,nutrient,19.132282108068466,143550799.05924112,1.3327882696196543e-7,2910.299997329712,4.579556302932783e-5
ALA,Åland,cass,nutrient,0,143550799.05924112,0,0,0
ALA,Åland,cnut,nutrient,0,143550799.05924112,0,0,0
ALA,Åland,coco,nutrient,0,143550799.05924112,0,0,0
ALA,Åland,maiz,nutrient,0,143550799.05924112,0,0,0
ALA,Åland,ocer,nutrient,11.793088093400002,143550799.05924112,8.215271646473513e-8,23905.399940490723,3.4365756970911705e-6
ALA,Åland,ofib,nutrient,0,143550799.05924112,0,0,0
ALA,Åland,oilp,nutrient,0,143550799.05924112,0,0,0
ALA,Åland,orts,nutrient,0,143550799.05924112,0,0,0
ALA,Åland,plnt,nutrient,0,143550799.05924112,0,0,0
ALA,Åland,pota,nutrient,65.41173959663138,143550799.05924112,4.55669630718231e-7,23594.399706721302,1.9312618095065375e-5
ALA,Åland,rice,nutrient,0,143550799.05924112,0,0,0
ALA,Åland,sorg,nutrient,0,143550799.05924112,0,0,0
ALA,Åland,soyb,nutrient,0,143550799.05924112,0,0,0
ALA,Åland,spis,nutrient,0,143550799.05924112,0,0,0
ALA,Åland,sugb,nutrient,6.828804166987538,143550799.05924112,4.757064545610366e-8,7391.4999442100525,6.435858190510702e-6
ALA,Åland,sugc,nutrient,0,143550799.05924112,0,0,0
ALA,Åland,swpo,nutrient,0,143550799.05924112,0,0,0
ALA,Åland,tnut,nutrient,0,143550799.05924112,0,0,0
ALA,Åland,vege,nutrient,5.805009059607983,143550799.05924112,4.043870948577826e-8,4836.1001052856445,8.361842932403433e-6
ALA,Åland,whea,nutrient,61.992747604846954,143550799.05924112,4.3185233388539717e-7,6144.50001335144,7.028274602441554e-5
ALA,Åland,xfru,nutrient,2.683668401092291,143550799.05924112,1.8694903955113367e-8,6385.799894690514,2.9275743467403797e-6
ALA,Åland,xmil,nutrient,0,143550799.05924112,0,0,0
ALA,Åland,xoil,nutrient,11.024625234305859,143550799.05924112,7.679946964110017e-8,467.3999984264374,1.6431208793251075e-4
