country,iso3c,exported_disturbance_stress,imported_ds_disturbance_stress,produced_ds_disturbance_stress,prop_ds_produced_disturbance,prop_ds_imported_disturbance,prop_exported_disturbance
United States of America,USA,19734.3802212123,2870.722298815857,36248.64294964451,0.9266163374435418,0.0733836625564583,0.33531222293033885
Brazil,BRA,10959.919254669388,1292.3139519282845,24818.280427020065,0.9505061457746741,0.04949385422532594,0.2956505907360907
Canada,CAN,8745.417781499782,392.86333145842644,6006.294652868722,0.9386070272963053,0.061392972703694676,0.5774620508838176
Australia,AUS,8005.3587731240705,143.12107106239588,4740.81414615053,0.9706955426931176,0.02930445730688246,0.6210859011459919
Ukraine,UKR,6603.396247528849,65.00512480071465,6473.017093632333,0.9900573716899521,0.00994262831004791,0.5024873277289331
Russian Federation,RUS,6241.129922885765,880.6052786040443,16625.407137897204,0.9496969808056355,0.050303019194364425,0.2628160405024493
Argentina,ARG,5726.180105741503,292.23236374646626,13477.788129277542,0.9787776377025355,0.021222362297464503,0.29370748811971503
Thailand,THA,4399.78199899585,989.9597172709133,5393.637145981963,0.8449213290755234,0.1550786709244765,0.40801515510124026
India,IND,3706.41637768693,3916.5862598614003,90281.60195637819,0.9584218514811499,0.04157814851885005,0.037857426553733885
Indonesia,IDN,3562.8724176133856,1712.357580758605,16761.259096311027,0.9073079402538394,0.09269205974616049,0.16168058361315996
France,FRA,3022.0625093969907,1272.1662626374866,5489.056867421821,0.8118437687728954,0.18815623122710454,0.3089005698871673
Kazakhstan,KAZ,2655.127627660761,87.64514756179241,3705.04922137081,0.9768910597490462,0.023108940250953794,0.41178674427792344
Netherlands,NLD,1924.0044815126369,1942.203131506944,256.9498248350736,0.11684036078257767,0.8831596392174222,0.46663376563028536
Turkey,TUR,1897.7335353923224,1591.9170175239697,8430.81578673562,0.8411693648215967,0.15883063517840326,0.15919960522683188
Germany,DEU,1886.0888947224876,2941.585551615405,4504.874728398628,0.6049686104536823,0.39503138954631767,0.2020979326664771
Romania,ROU,1783.4000812257732,281.75989736600656,2633.6268674388143,0.9033541961679071,0.09664580383209286,0.37954479308469596
Spain,ESP,1731.3954317284406,2488.3851518403094,6162.535727964335,0.7123560385751092,0.2876439614248908,0.16676388772755252
