iso3c,Country,SPAM_super,cumulative_pressure,tonnes_producing_crop,cumulative_pressure_rate
ABW,Aruba,bana,0,0,0
ABW,Aruba,barl,0,0,0
ABW,Aruba,cass,0,0,0
ABW,Aruba,cnut,0,0,0
ABW,Aruba,coco,0,0,0
ABW,Aruba,maiz,0,0,0
ABW,Aruba,ocer,0,0,0
ABW,Aruba,ofib,0,0,0
ABW,Aruba,oilp,0,0,0
ABW,Aruba,orts,0,0,0
ABW,Aruba,plnt,0,0,0
ABW,Aruba,pota,0,0,0
ABW,Aruba,rice,0,0,0
ABW,Aruba,sorg,0,0,0
ABW,Aruba,soyb,0,0,0
ABW,Aruba,spis,0,0,0
ABW,Aruba,sugb,0,0,0
ABW,Aruba,sugc,0,0,0
ABW,Aruba,swpo,0,0,0
ABW,Aruba,tnut,0,0,0
ABW,Aruba,vege,0,0,0
ABW,Aruba,whea,0,0,0
ABW,Aruba,xfru,0,0,0
ABW,Aruba,xmil,0,0,0
ABW,Aruba,xoil,0,0,0
ABW,Aruba,xpul,0,0,0
ABW,Aruba,yams,0,0,0
AFG,Afghanistan,bana,2.940383402953858e-7,495,5.940168490815875e-4
AFG,Afghanistan,barl,2.7293578479627845e-4,90011.4663454555,0.003032233512881311
AFG,Afghanistan,cass,0,0,0
AFG,Afghanistan,cnut,0,0,0
AFG,Afghanistan,coco,0,0,0
AFG,Afghanistan,maiz,6.027806489766432e-4,175762.236185804,0.00342952309925907
AFG,Afghanistan,ocer,3.468192602680405e-8,1107.1307176351547,3.132595408506511e-5
AFG,Afghanistan,ofib,0,2.787539482116699,0
AFG,Afghanistan,oilp,0,0,0
AFG,Afghanistan,orts,0,0,0
AFG,Afghanistan,plnt,0,0,0
AFG,Afghanistan,pota,9.086313994872085e-5,553471.1248102784,1.6416961224466293e-4
AFG,Afghanistan,rice,7.143066225314702e-4,335203.8731095195,0.0021309617216090115
AFG,Afghanistan,sorg,1.8486780913180133e-9,2.3789474442601204,7.770991729045839e-4
AFG,Afghanistan,soyb,1.9836571470615386e-8,0.5409091040492058,0.036672652248076934
AFG,Afghanistan,spis,1.1819881681374575e-4,18848.652510156855,0.006270942538202808
AFG,Afghanistan,sugb,1.991341408707188e-6,3096.4730839310214,6.430998606256731e-4
AFG,Afghanistan,sugc,6.090164219898982e-6,37391.717828691006,1.6287468384846294e-4
AFG,Afghanistan,swpo,0,37.90928649902344,0
AFG,Afghanistan,tnut,2.114961264889641e-4,37794.861744526774,0.0055958962866054585
AFG,Afghanistan,vege,3.620507835037484e-4,623731.3476734459,5.804594956694397e-4
AFG,Afghanistan,whea,0.0031058413795965107,4091611.5045543313,7.590753364876969e-4
AFG,Afghanistan,xfru,0.0017232218746325466,2614667.123425588,6.590597553293436e-4
AFG,Afghanistan,xmil,4.487095895758572e-6,12992.710319280624,3.4535487865837466e-4
AFG,Afghanistan,xoil,3.653316013401407e-4,98996.81992758064,0.0036903367361435704
AFG,Afghanistan,xpul,1.340203835596474e-4,40007.89913851023,0.0033498480661446174
AFG,Afghanistan,yams,0,0,0
AGO,Angola,bana,6.5876494881752e-4,4413917.988792151,1.492472108657796e-4
AGO,Angola,barl,0,0,0
AGO,Angola,cass,5.683773649608983e-4,8271133.837355651,6.871819222582102e-5
AGO,Angola,cnut,0,0,0
AGO,Angola,coco,1.4632831982685197e-6,484.9333431571722,0.003017493473931434
AGO,Angola,maiz,9.208025729099418e-4,2750837.002587199,3.347354176361284e-4
AGO,Angola,ocer,0,0,0
AGO,Angola,ofib,1.9824293632000715e-6,1389.536324083805,0.0014266840879508438
AGO,Angola,oilp,1.4004159359880847e-5,280448.19191503525,4.9934924751176696e-5
AGO,Angola,orts,5.391437204713773e-8,2306.213709831238,2.337787335896248e-5
AGO,Angola,plnt,2.0078606352498208e-8,54.5,3.684147954586827e-4
AGO,Angola,pota,8.05215838582027e-5,802822.968552351,1.0029805699679852e-4
AGO,Angola,rice,8.225817362555779e-5,65360.9423841238,0.0012585218423279395
AGO,Angola,sorg,1.0386459198205674e-4,79830.60310285166,0.0013010623488368279
AGO,Angola,soyb,8.977454310763853e-6,15075.83331477642,5.954864400075779e-4
AGO,Angola,spis,0,0,0
AGO,Angola,sugb,0,0,0
AGO,Angola,sugc,4.297849520194704e-5,567045.8270800114,7.579368923895226e-5
AGO,Angola,swpo,1.5889295797245315e-4,1319699.32926023,1.2040087802539242e-4
AGO,Angola,tnut,5.09422531623894e-6,2343.9931594356894,0.0021733106582381674
AGO,Angola,vege,2.2068652650946203e-4,814274.673896119,2.7102221594775533e-4
AGO,Angola,whea,2.941603615159935e-6,2824.03163780272,0.0010416326700393107
AGO,Angola,xfru,2.1239386606401235e-4,943128.8340935112,2.2520132816017106e-4
AGO,Angola,xmil,9.679103602561392e-5,74644.6336132288,0.0012966911530055425
AGO,Angola,xoil,1.958848728300329e-4,201338.0381256938,9.729153748272021e-4
AGO,Angola,xpul,0.00037536034302165637,320769.16196912527,0.0011701883707193326
