country,iso3c,SPAM_super,produced,export_prop
Armenia,ARM,bana,0,0
Armenia,ARM,barl,93000,0
Armenia,ARM,cass,0,0
Armenia,ARM,cnut,0,0
Armenia,ARM,coco,0,0
Armenia,ARM,maiz,10000,0
Armenia,ARM,ocer,18000,0
Armenia,ARM,oilp,0,0
Armenia,ARM,orts,0,0
Armenia,ARM,plnt,0,0
Armenia,ARM,pota,547000,0
Armenia,ARM,rice,0,0
Armenia,ARM,sorg,0,0
Armenia,ARM,soyb,0,0
Armenia,ARM,spis,0,0
Armenia,ARM,sugb,54000,0
Armenia,ARM,swpo,0,0
Armenia,ARM,tnut,6000,0.125
Armenia,ARM,vege,1029000,0.039159503342884434
Armenia,ARM,whea,176000,0.001949317738791423
Armenia,ARM,xfru,569000,0.050488599348534204
Armenia,ARM,xmil,0,0
Armenia,ARM,xoil,1000,0
Armenia,ARM,xpul,5000,0
Afghanistan,AFG,bana,0,0
Afghanistan,AFG,barl,95000,0
Afghanistan,AFG,cass,0,0
Afghanistan,AFG,cnut,0,1
Afghanistan,AFG,coco,0,0
Afghanistan,AFG,maiz,174000,0
Afghanistan,AFG,ocer,0,0
Afghanistan,AFG,oilp,0,0
Afghanistan,AFG,orts,0,0
Afghanistan,AFG,plnt,0,0
Afghanistan,AFG,pota,513000,0.005580357142857143
Afghanistan,AFG,rice,338000,0
Afghanistan,AFG,sorg,0,0
Afghanistan,AFG,soyb,0,0
Afghanistan,AFG,spis,19000,0.45
Afghanistan,AFG,sugb,2000,0
Afghanistan,AFG,sugc,34000,0
Afghanistan,AFG,swpo,0,0
Afghanistan,AFG,tnut,38000,0.3958333333333333
Afghanistan,AFG,vege,1919000,0.054241435562805876
Afghanistan,AFG,whea,4281000,2.717022143730471e-4
Afghanistan,AFG,xfru,1446000,0.22946859903381642
Afghanistan,AFG,xmil,12000,0
Afghanistan,AFG,xoil,92000,0.0859375
Afghanistan,AFG,xpul,36000,0.3503184713375796
Afghanistan,AFG,yams,0,0
Albania,ALB,bana,0,0
Albania,ALB,barl,9000,0
Albania,ALB,cass,0,0
Albania,ALB,cnut,0,0
Albania,ALB,coco,0,0
Albania,ALB,maiz,381000,0
Albania,ALB,ocer,37000,0
Albania,ALB,oilp,0,0
Albania,ALB,orts,0,0
Albania,ALB,plnt,0,0
Albania,ALB,pota,250000,0
Albania,ALB,rice,0,0
Albania,ALB,sorg,0,0
Albania,ALB,soyb,1000,0
Albania,ALB,spis,0,0
Albania,ALB,sugb,32000,0
Albania,ALB,swpo,0,0
Albania,ALB,tnut,14000,0.1875
Albania,ALB,vege,1153000,0.09702127659574468
Albania,ALB,whea,275000,0.0017605633802816902
Albania,ALB,xfru,511000,0.023131672597864767
Albania,ALB,xmil,0,0
Albania,ALB,xoil,125000,0.029411764705882353
Albania,ALB,xpul,24000,0
Algeria,DZA,bana,0,0
Algeria,DZA,barl,970000,0
Algeria,DZA,cass,0,0
Algeria,DZA,cnut,0,0
Algeria,DZA,coco,0,0
Algeria,DZA,maiz,3000,0
Algeria,DZA,ocer,64000,0
Algeria,DZA,oilp,0,0
Algeria,DZA,orts,0,0
Algeria,DZA,plnt,0,0
Algeria,DZA,pota,4606000,2.1034917963819942e-4
Algeria,DZA,rice,0,0
Algeria,DZA,sorg,5000,0
Algeria,DZA,soyb,0,0.11693548387096774
Algeria,DZA,spis,15000,0
Algeria,DZA,sugb,0,0
Algeria,DZA,swpo,0,0
Algeria,DZA,tnut,62000,0
Algeria,DZA,vege,8421000,0.001518336837187573
Algeria,DZA,whea,2437000,9.485866059571238e-4
Algeria,DZA,xfru,4570000,0.011139674378748929
Algeria,DZA,xmil,0,0
Algeria,DZA,xoil,855000,0.005852842809364548
Algeria,DZA,xpul,107000,0
Angola,AGO,bana,3916000,0
Angola,AGO,barl,0,0
Angola,AGO,cass,8327000,0
Angola,AGO,cnut,0,0
Angola,AGO,coco,0,0
Angola,AGO,maiz,2381000,3.5932446999640676e-4
Angola,AGO,ocer,0,0
Angola,AGO,oilp,340000,0.025830258302583026
Angola,AGO,orts,0,0
Angola,AGO,plnt,0,0
Angola,AGO,pota,461000,0
Angola,AGO,rice,9000,0
Angola,AGO,sorg,33000,0
Angola,AGO,soyb,36000,0
Angola,AGO,spis,0,0
Angola,AGO,sugb,0,0
Angola,AGO,sugc,577000,0
Angola,AGO,swpo,1696000,0
Angola,AGO,tnut,2000,0
Angola,AGO,vege,802000,0
Angola,AGO,whea,3000,0.0225752508361204
Angola,AGO,xfru,1073000,0.008108108108108109
Angola,AGO,xmil,70000,0
Angola,AGO,xoil,279000,0.0033333333333333335
Angola,AGO,xpul,322000,0
Angola,AGO,yams,0,0
Antigua and Barbuda,ATG,bana,0,0
Antigua and Barbuda,ATG,barl,0,0
Antigua and Barbuda,ATG,cass,0,0
Antigua and Barbuda,ATG,cnut,0,0
Antigua and Barbuda,ATG,coco,0,0
Antigua and Barbuda,ATG,maiz,0,0
Antigua and Barbuda,ATG,ocer,0,0
Antigua and Barbuda,ATG,oilp,0,0
Antigua and Barbuda,ATG,orts,0,0
Antigua and Barbuda,ATG,plnt,0,0
Antigua and Barbuda,ATG,pota,0,0
Antigua and Barbuda,ATG,rice,0,0
Antigua and Barbuda,ATG,sorg,0,0
Antigua and Barbuda,ATG,soyb,0,0
Antigua and Barbuda,ATG,spis,0,0
Antigua and Barbuda,ATG,sugc,0,0
Antigua and Barbuda,ATG,swpo,0,0
Antigua and Barbuda,ATG,tnut,0,0
Antigua and Barbuda,ATG,vege,4000,0
Antigua and Barbuda,ATG,whea,0,0
Antigua and Barbuda,ATG,xfru,8000,0
Antigua and Barbuda,ATG,xmil,0,0
Antigua and Barbuda,ATG,xoil,0,0
Antigua and Barbuda,ATG,xpul,0,0
Antigua and Barbuda,ATG,yams,0,0
Argentina,ARG,bana,175000,0
Argentina,ARG,barl,3741000,0.8707610146862483
Argentina,ARG,cass,193000,0
Argentina,ARG,cnut,0,0
Argentina,ARG,coco,0,0
Argentina,ARG,maiz,49521000,0.48067023316846674
Argentina,ARG,ocer,1025000,0.05063291139240506
Argentina,ARG,oilp,0,0
Argentina,ARG,orts,0,0
Argentina,ARG,plnt,0,0
Argentina,ARG,pota,2492000,0.15027537372147914
Argentina,ARG,rice,1328000,0.43815201192250375
Argentina,ARG,sorg,2527000,0.18401266323703996
Argentina,ARG,soyb,63038000,0.19055685598127386
Argentina,ARG,spis,8000,0.23076923076923078
Argentina,ARG,sugb,0,0
Argentina,ARG,sugc,19077000,0
Argentina,ARG,swpo,338000,0
Argentina,ARG,tnut,19000,0.16666666666666666
Argentina,ARG,vege,3530000,0.04091158704008786
Argentina,ARG,whea,18416000,0.7605947148515926
Argentina,ARG,xfru,6450000,0.2864450127877238
Argentina,ARG,xmil,5000,0.2
Argentina,ARG,xoil,7058000,0.30182023423169185
Argentina,ARG,xpul,755000,0.8335535006605019
Australia,AUS,bana,413000,0
Australia,AUS,barl,13506000,0.7197603018421247
Australia,AUS,cass,0,0
Australia,AUS,cnut,1000,0
Australia,AUS,coco,0,0
Australia,AUS,maiz,437000,0.16033755274261605
Australia,AUS,ocer,2482000,0.08832933653077538
Australia,AUS,oilp,0,0
Australia,AUS,orts,0,0
Australia,AUS,plnt,0,0
Australia,AUS,pota,1105000,0.035742652899126294
Australia,AUS,rice,807000,0.27932960893854747
Australia,AUS,sorg,994000,0.2947686116700201
Australia,AUS,soyb,37000,0.08641975308641975
Australia,AUS,spis,1000,0.17391304347826086
Australia,AUS,sugb,0,0
Australia,AUS,sugc,36561000,0
Australia,AUS,swpo,71000,0.014084507042253521
Australia,AUS,tnut,240000,0.4861111111111111
Australia,AUS,vege,2215000,0.07485604606525911
Australia,AUS,whea,31819000,0.6949717883973939
Australia,AUS,xfru,3118000,0.13532608695652174
Australia,AUS,xmil,36000,0.02702702702702703
Australia,AUS,xoil,6446000,0.5225185185185185
Australia,AUS,xpul,4927000,0.6997774630791017
Australia,AUS,yams,0,0
Austria,AUT,bana,0,0.13178294573643412
Austria,AUT,barl,782000,0.22138836772983114
Austria,AUT,cass,0,0
Austria,AUT,cnut,0,0.07142857142857142
Austria,AUT,coco,0,0.09090909090909091
Austria,AUT,maiz,2076000,0.14245104232469993
Austria,AUT,ocer,558000,0.08966565349544073
Austria,AUT,oilp,0,0
Austria,AUT,orts,0,0
Austria,AUT,plnt,0,0
Austria,AUT,pota,653000,0.1565217391304348
Austria,AUT,rice,0,0.08955223880597014
Austria,AUT,sorg,20000,0.045454545454545456
Austria,AUT,soyb,205000,0.2153846153846154
Austria,AUT,spis,0,0.4444444444444444
Austria,AUT,sugb,2994000,0.024382097528390115
Austria,AUT,sugc,0,0
Austria,AUT,swpo,0,0
Austria,AUT,tnut,3000,0.3548387096774194
Austria,AUT,vege,609000,0.18496621621621623
Austria,AUT,whea,1437000,0.4063786008230453
Austria,AUT,xfru,603000,0.41145281018027574
Austria,AUT,xmil,11000,0.6153846153846154
Austria,AUT,xoil,407000,0.28470031545741326
Austria,AUT,xpul,52000,0.0821917808219178
Austria,AUT,yams,0,0
Bahamas,BHS,bana,10000,0
Bahamas,BHS,barl,0,0
Bahamas,BHS,cass,1000,0
Bahamas,BHS,cnut,3000,0
Bahamas,BHS,coco,0,0
Bahamas,BHS,maiz,1000,0
Bahamas,BHS,ocer,0,0
Bahamas,BHS,oilp,0,0
Bahamas,BHS,orts,0,0
Bahamas,BHS,plnt,0,0
Bahamas,BHS,pota,0,0
Bahamas,BHS,rice,0,0
Bahamas,BHS,sorg,0,0
Bahamas,BHS,soyb,0,0
Bahamas,BHS,spis,0,0
