iso3c,Country,SPAM_super,pressure,pressure_value,tonnes_producing_crop,water_pressure_rate
AFG,Afghanistan,bana,water,408375,495,825
AFG,Afghanistan,barl,water,198999392.3555001,90011.4663454555,2210.82269220856
AFG,Afghanistan,cass,water,0,0,0
AFG,Afghanistan,cnut,water,0,0,0
AFG,Afghanistan,coco,water,0,0,0
AFG,Afghanistan,maiz,water,701552778.443634,175762.236185804,3991.4875553927277
AFG,Afghanistan,ocer,water,31930.001953125,1107.1307176351547,28.840317990027312
AFG,Afghanistan,ofib,water,0,2.787539482116699,0
AFG,Afghanistan,oilp,water,0,0,0
AFG,Afghanistan,orts,water,0,0,0
AFG,Afghanistan,plnt,water,0,0,0
AFG,Afghanistan,pota,water,88866394.41491032,553471.1248102784,160.56193436536077
AFG,Afghanistan,rice,water,718076793.1731567,335203.8731095195,2142.209117430284
AFG,Afghanistan,sorg,water,217.70001125335693,2.3789474442601204,91.5110637599916
AFG,Afghanistan,soyb,water,28353.900390625,0.5409091040492058,52418.97423868407
AFG,Afghanistan,spis,water,159955358.28620338,18848.652510156855,8486.302042016492
AFG,Afghanistan,sugb,water,64328.28073275089,3096.4730839310214,20.77469397895916
AFG,Afghanistan,sugc,water,2160023.037601471,37391.717828691006,57.76741917815997
AFG,Afghanistan,swpo,water,0,37.90928649902344,0
AFG,Afghanistan,tnut,water,284004486.7735405,37794.861744526774,7514.367659108274
AFG,Afghanistan,vege,water,376141067.06845474,623731.3476734459,603.0498041688664
AFG,Afghanistan,whea,water,2115919257.6633787,4091611.5045543313,517.1359146165687
AFG,Afghanistan,xfru,water,2326686856.994171,2614667.123425588,889.8596827675251
AFG,Afghanistan,xmil,water,747800.5491905212,12992.710319280624,57.555393048424804
AFG,Afghanistan,xoil,water,421213976.4558654,98996.81992758064,4254.823304061655
AFG,Afghanistan,xpul,water,134153937.0022583,40007.89913851023,3353.186242991858
AFG,Afghanistan,yams,water,0,0,0
ALA,Åland,bana,water,0,0,0
ALA,Åland,barl,water,205731.79919433594,2910.299997329712,70.69092512218708
ALA,Åland,cass,water,0,0,0
ALA,Åland,cnut,water,0,0,0
ALA,Åland,coco,water,0,0,0
ALA,Åland,maiz,water,0,0,0
ALA,Åland,ocer,water,1527980.3466796875,23905.399940490723,63.917790561270216
ALA,Åland,ofib,water,0,0,0
ALA,Åland,oilp,water,0,0,0
ALA,Åland,orts,water,0,0,0
ALA,Åland,plnt,water,0,0,0
ALA,Åland,pota,water,777958.4869213104,23594.399706721302,32.97216697993357
ALA,Åland,rice,water,0,0,0
ALA,Åland,sorg,water,0,0,0
ALA,Åland,soyb,water,0,0,0
ALA,Åland,spis,water,0,0,0
ALA,Åland,sugb,water,188499.99835205078,7391.4999442100525,25.502266086020548
ALA,Åland,sugc,water,0,0,0
ALA,Åland,swpo,water,0,0,0
ALA,Åland,tnut,water,0,0,0
ALA,Åland,vege,water,328115.099609375,4836.1001052856445,67.84704461571414
ALA,Åland,whea,water,1872484.203125,6144.50001335144,304.7415085126962
ALA,Åland,xfru,water,999108.8150634766,6385.799894690514,156.45789588461543
ALA,Åland,xmil,water,0,0,0
ALA,Åland,xoil,water,47652.79949951172,467.3999984264374,101.95293038070398
ALA,Åland,xpul,water,7418.2333335876465,73.19999957084656,101.34198602566815
ALA,Åland,yams,water,0,0,0
ALB,Albania,bana,water,0,1.3875360488891602,0
ALB,Albania,barl,water,668260.0418319702,8360.506149098277,79.9305723737845
ALB,Albania,cass,water,0,0,0
ALB,Albania,cnut,water,0,0,0
ALB,Albania,coco,water,0,0,0
ALB,Albania,maiz,water,216187892.57946777,351143.3624382019,615.668458256889
ALB,Albania,ocer,water,11005513.31044197,37668.88547027111,292.1645589734185
