iso3c_consuming,iso3c_producing,SPAM_super,tonnes_imported
ARM,AFG,xfru,1.0571817882817272
ARM,DZA,xfru,1.0571817882817272
ARM,ARG,ocer,595.1882845188285
ARM,ARG,soyb,40.69823981328406
ARM,ARG,whea,22.808167132735903
ARM,ARG,xfru,79.28863412112953
ARM,ARG,xpul,186.084142394822
ARM,AUS,tnut,25.897586815773984
ARM,AUS,vege,2.4083489430024083
ARM,AUT,barl,5.6923424440930654
ARM,AUT,coco,3.0041306796845664
ARM,AUT,pota,75.48608463591309
ARM,AUT,vege,1.2041744715012042
ARM,AUT,whea,6.220409218018882
ARM,AUT,xfru,48.63036226095945
ARM,BOL,tnut,1.1771630370806356
ARM,BRA,coco,2.253098009763425
ARM,BRA,soyb,72.06068268015171
ARM,BRA,xfru,80.34581590941127
ARM,BGR,coco,0.4506196019526849
ARM,BGR,vege,184.23869413968424
ARM,BGR,xfru,26.42954470704318
ARM,CAN,whea,42.50612965646236
ARM,CAN,xpul,130.60564031437818
ARM,CAF,xfru,1.0571817882817272
ARM,LKA,cnut,7.429420505200594
ARM,CHL,tnut,1.1771630370806356
ARM,CHL,vege,1.2041744715012042
ARM,CHL,xfru,211.43635765634545
ARM,CHN,coco,6.158467893353361
ARM,CHN,oilp,1.0256410256410255
ARM,CHN,soyb,1.410094330448313
ARM,CHN,tnut,11.771630370806356
ARM,CHN,vege,693.6044955846936
ARM,CHN,whea,269.5510661141516
ARM,CHN,xfru,243.15181130479726
ARM,CHN,xoil,1288.8880057229155
ARM,CHN,xpul,106.333795654184
ARM,COL,bana,20.463847203274216
ARM,COL,xfru,1.0571817882817272
ARM,CRI,xfru,699.8543438425035
ARM,CYP,maiz,59.759442920447356
ARM,CYP,xoil,24.441618313329624
ARM,BEN,vege,6.020872357506021
ARM,DNK,coco,0.4506196019526849
ARM,DNK,pota,28.5932138772398
ARM,BLR,barl,5.059859950304947
ARM,BLR,coco,6.909500563274502
ARM,BLR,pota,34.311856652687766
ARM,BLR,vege,2.4083489430024083
ARM,BLR,xfru,35.944180801578725
ARM,BLR,xoil,0.8147206104443208
ARM,ECU,bana,11795.361527967258
ARM,ECU,coco,30.942546000751033
ARM,ECU,xfru,54.97345299064982
ARM,EGY,pota,1.1437285550895921
ARM,EGY,vege,85.4963874765855
ARM,EGY,xfru,1204.1300568528873
ARM,EGY,xoil,687.6241952150068
ARM,EGY,xpul,1.155802126675913
ARM,FIN,coco,0.1502065339842283
ARM,FIN,ocer,3.1380753138075312
ARM,FIN,whea,1.0367348696698138
ARM,FRA,coco,4.50619601952685
ARM,FRA,ocer,44.97907949790795
ARM,FRA,pota,65.19252764010675
ARM,FRA,rice,1.0351966873706004
ARM,FRA,vege,13.245919186513246
ARM,FRA,whea,12.440818436037764
ARM,FRA,xfru,60.25936193205845
ARM,FRA,xoil,6.517764883554566
ARM,GEO,barl,137.24870115202168
ARM,GEO,cnut,14.858841010401187
ARM,GEO,pota,201.29622569576821
ARM,GEO,soyb,146.74705825148305
ARM,GEO,tnut,1077.1041789287817
ARM,GEO,vege,139.68423869413968
ARM,GEO,whea,3834.8822829086416
ARM,GEO,xfru,6177.113188930131
ARM,GEO,xoil,323.44408234639536
ARM,DEU,barl,128.39394623898804
ARM,DEU,coco,39.654524971836274
ARM,DEU,ocer,1.0460251046025104
ARM,DEU,pota,163.55318337781165
ARM,DEU,tnut,1.1771630370806356
ARM,DEU,vege,4.816697886004817
ARM,DEU,whea,17.624492784386835
ARM,DEU,xfru,6.343090729690363
ARM,DEU,xoil,3.258882441777283
ARM,GHA,coco,37.70184003004131
ARM,GRC,tnut,2.3543260741612713
ARM,GRC,vege,85.4963874765855
ARM,GRC,xfru,120.5187238641169
ARM,GRC,xoil,268.04308083618156
ARM,HUN,coco,0.1502065339842283
ARM,HUN,vege,2007.3588439925074
ARM,HUN,xfru,9.514636094535545
ARM,IND,cnut,22.288261515601782
ARM,IND,coco,6.308674427337589
ARM,IND,rice,661.4906832298137
ARM,IND,tnut,163.62566215420836
ARM,IND,vege,960.9312282579609
ARM,IND,xfru,296.0109007188836
ARM,IND,xoil,325.073523567284
ARM,IND,xpul,67.03652334720296
ARM,IDN,cnut,106.98365527488855
ARM,IDN,coco,1.8024784078107396
ARM,IDN,oilp,2.051282051282051
ARM,IDN,xfru,11.628999671099
ARM,IRN,coco,2.403304543747653
