country,iso3c,SPAM_super,imported
Armenia,ARM,bana,12000
Armenia,ARM,barl,14000
Armenia,ARM,cass,0
Armenia,ARM,cnut,1000
Armenia,ARM,coco,2000
Armenia,ARM,maiz,48000
Armenia,ARM,ocer,8000
Armenia,ARM,oilp,1000
Armenia,ARM,orts,0
Armenia,ARM,plnt,0
Armenia,ARM,pota,3000
Armenia,ARM,rice,10000
Armenia,ARM,sorg,0
Armenia,ARM,soyb,1000
Armenia,ARM,spis,0
Armenia,ARM,sugb,0
Armenia,ARM,swpo,0
Armenia,ARM,tnut,2000
Armenia,ARM,vege,18000
Armenia,ARM,whea,337000
Armenia,ARM,xfru,45000
Armenia,ARM,xmil,0
Armenia,ARM,xoil,41000
Armenia,ARM,xpul,5000
Afghanistan,AFG,bana,133000
Afghanistan,AFG,barl,15000
Afghanistan,AFG,cass,0
Afghanistan,AFG,cnut,1000
Afghanistan,AFG,coco,0
Afghanistan,AFG,maiz,43000
Afghanistan,AFG,ocer,0
Afghanistan,AFG,oilp,175000
Afghanistan,AFG,orts,0
Afghanistan,AFG,plnt,0
Afghanistan,AFG,pota,383000
Afghanistan,AFG,rice,495000
Afghanistan,AFG,sorg,0
Afghanistan,AFG,soyb,11000
Afghanistan,AFG,spis,1000
Afghanistan,AFG,sugb,0
Afghanistan,AFG,sugc,0
Afghanistan,AFG,swpo,0
Afghanistan,AFG,tnut,10000
Afghanistan,AFG,vege,533000
Afghanistan,AFG,whea,3080000
Afghanistan,AFG,xfru,210000
Afghanistan,AFG,xmil,0
Afghanistan,AFG,xoil,164000
Afghanistan,AFG,xpul,121000
Afghanistan,AFG,yams,0
Albania,ALB,bana,13000
Albania,ALB,barl,11000
Albania,ALB,cass,0
Albania,ALB,cnut,0
Albania,ALB,coco,0
Albania,ALB,maiz,60000
Albania,ALB,ocer,0
Albania,ALB,oilp,2000
Albania,ALB,orts,0
Albania,ALB,plnt,0
Albania,ALB,pota,16000
Albania,ALB,rice,33000
Albania,ALB,sorg,0
Albania,ALB,soyb,1000
Albania,ALB,spis,1000
Albania,ALB,sugb,0
Albania,ALB,swpo,0
Albania,ALB,tnut,2000
Albania,ALB,vege,22000
Albania,ALB,whea,293000
Albania,ALB,xfru,51000
Albania,ALB,xmil,0
Albania,ALB,xoil,45000
Albania,ALB,xpul,4000
Algeria,DZA,bana,96000
Algeria,DZA,barl,567000
Algeria,DZA,cass,0
Algeria,DZA,cnut,3000
Algeria,DZA,coco,5000
Algeria,DZA,maiz,4162000
Algeria,DZA,ocer,14000
Algeria,DZA,oilp,95000
Algeria,DZA,orts,0
Algeria,DZA,plnt,0
Algeria,DZA,pota,148000
Algeria,DZA,rice,190000
Algeria,DZA,sorg,1000
Algeria,DZA,soyb,744000
Algeria,DZA,spis,26000
Algeria,DZA,sugb,0
Algeria,DZA,swpo,0
Algeria,DZA,tnut,17000
Algeria,DZA,vege,141000
Algeria,DZA,whea,8105000
Algeria,DZA,xfru,98000
Algeria,DZA,xmil,1000
Algeria,DZA,xoil,341000
Algeria,DZA,xpul,237000
Angola,AGO,bana,0
Angola,AGO,barl,0
Angola,AGO,cass,3000
Angola,AGO,cnut,4000
Angola,AGO,coco,0
Angola,AGO,maiz,402000
