iso3c,Country,SPAM_super,pressure,pressure_value,global_total,rescaled_pressure,tonnes_producing_crop,disturbance_pressure_rate
AFG,Afghanistan,bana,disturbance,0.1979999989271164,17889923.968913734,1.1067682527391917e-8,495,2.2358954600791753e-5
AFG,Afghanistan,barl,disturbance,2235.5289957657224,17889923.968913734,1.2496022898980842e-4,90011.4663454555,0.001388270117833909
AFG,Afghanistan,cass,disturbance,0,17889923.968913734,0,0,0
AFG,Afghanistan,cnut,disturbance,0,17889923.968913734,0,0,0
AFG,Afghanistan,coco,disturbance,0,17889923.968913734,0,0,0
AFG,Afghanistan,maiz,disturbance,1384.1909982970683,17889923.968913734,7.737265964362372e-5,175762.236185804,4.4021208038017083e-4
AFG,Afghanistan,ocer,disturbance,0.1839999994263053,17889923.968913734,1.028511914002716e-8,1107.1307176351547,9.289886890679272e-6
AFG,Afghanistan,ofib,disturbance,0,17889923.968913734,0,2.787539482116699,0
AFG,Afghanistan,oilp,disturbance,0,17889923.968913734,0,0,0
AFG,Afghanistan,orts,disturbance,0,17889923.968913734,0,0,0
AFG,Afghanistan,plnt,disturbance,0,17889923.968913734,0,0,0
AFG,Afghanistan,pota,disturbance,214.13099978177343,17889923.968913734,1.1969363321714292e-5,553471.1248102784,2.162599417596936e-5
AFG,Afghanistan,rice,disturbance,1624.6379959615879,17889923.968913734,9.081301847814588e-5,335203.8731095195,2.7091876247048913e-4
AFG,Afghanistan,sorg,disturbance,0.027000001282431185,17889923.968913734,1.5092295154159122e-9,2.3789474442601204,6.344106167865762e-4
AFG,Afghanistan,soyb,disturbance,0.003000000142492354,17889923.968913734,1.6769216837954578e-10,0.5409091040492058,3.100191272881424e-4
AFG,Afghanistan,spis,disturbance,117.18234785474488,17889923.968913734,6.550187024738939e-6,18848.652510156855,3.4751486989371153e-4
AFG,Afghanistan,sugb,disturbance,13.597000117064454,17889923.968913734,7.60036774929349e-7,3096.4730839310214,2.45452408055319e-4
AFG,Afghanistan,sugc,disturbance,30.502000003587455,17889923.968913734,1.7049820925225272e-6,37391.717828691006,4.5597854057784927e-5
AFG,Afghanistan,swpo,disturbance,0,17889923.968913734,0,37.90928649902344,0
AFG,Afghanistan,tnut,disturbance,235.04865210974822,17889923.968913734,1.3138605424940789e-5,37794.861744526774,3.476294082976357e-4
AFG,Afghanistan,vege,disturbance,665.495000076131,17889923.968913734,3.719943143595928e-5,623731.3476734459,5.96401504826001e-5
AFG,Afghanistan,whea,disturbance,20910.736034913105,17889923.968913734,0.0011688555005179707,4091611.5045543313,2.856711833997264e-4
AFG,Afghanistan,xfru,disturbance,1653.7749937028857,17889923.968913734,9.244170051122369e-5,2614667.123425588,3.535505521257782e-5
AFG,Afghanistan,xmil,disturbance,66.54800001601689,17889923.968913734,3.7198592979854705e-6,12992.710319280624,2.8630356612087003e-4
AFG,Afghanistan,xoil,disturbance,896.5060041098623,17889923.968913734,5.011234288461303e-5,98996.81992758064,5.062015418401502e-4
AFG,Afghanistan,xpul,disturbance,695.8219996514963,17889923.968913734,3.8894631461854455e-5,40007.89913851023,9.721738031581823e-4
