"Taxonkey","TaxonName","CommonName","Gear","GearName","Descript","bycatch","destruction","type"
600089,"Acanthocybium solandri","Wahoo",900,"seine nets","pelagic >=90 cm","high","non-destructive","pelagic"
601348,"Psetta maxima","Turbot",1400,"gillnets","flatfish >=90 cm","high","non-destructive","demersal"
601348,"Psetta maxima","Turbot",900,"seine nets","flatfish >=90 cm","high","non-destructive","demersal"
601350,"Sardina pilchardus","European pilchard",850,"mid-water trawls","pelagic <30 cm","high","non-destructive","pelagic"
601350,"Sardina pilchardus","European pilchard",1020,"purse seines","pelagic <30 cm","low","non-destructive","pelagic"
601357,"Sprattus sprattus","European sprat",900,"seine nets","pelagic <30 cm","high","non-destructive","pelagic"
601357,"Sprattus sprattus","European sprat",850,"mid-water trawls","pelagic <30 cm","high","non-destructive","pelagic"
601370,"Zeus faber","John dory",840,"bottom trawls","benthopelagic >=90 cm","high","destructive","demersal"
690070,"Melicertus kerathurus","Caramote prawn",840,"bottom trawls","shrimp","high","destructive","demersal"
690085,"Sepia officinalis","Common cuttlefish",840,"bottom trawls","cephalopods","high","destructive","pelagic"
600147,"Thunnus thynnus","Atlantic bluefin tuna",440,"pole line tuna","pelagic >=90 cm","low","non-destructive","pelagic"
600147,"Thunnus thynnus","Atlantic bluefin tuna",500,"traps","pelagic >=90 cm","high","non-destructive","pelagic"
600147,"Thunnus thynnus","Atlantic bluefin tuna",1050,"purse seine tuna","pelagic >=90 cm","low","non-destructive","pelagic"
600203,"Boops boops","Bogue",840,"bottom trawls","demersal 30 - 90 cm","high","destructive","demersal"
600226,"Xiphias gladius","Swordfish",1400,"gillnets","pelagic >=90 cm","high","non-destructive","pelagic"
600226,"Xiphias gladius","Swordfish",440,"pole line tuna","pelagic >=90 cm","low","non-destructive","pelagic"
600226,"Xiphias gladius","Swordfish",450,"longline tuna","pelagic >=90 cm","high","non-destructive","pelagic"
600226,"Xiphias gladius","Swordfish",1050,"purse seine tuna","pelagic >=90 cm","low","non-destructive","pelagic"
600226,"Xiphias gladius","Swordfish",225,"harpoons","pelagic >=90 cm","low","non-destructive","pelagic"
600301,"Conger conger","European conger",420,"with gorges or hooks","demersal >=90 cm","low","non-destructive","demersal"
600439,"Dentex dentex","Common dentex",840,"bottom trawls","benthopelagic >=90 cm","high","destructive","demersal"
600525,"Solea solea","Common sole",840,"bottom trawls","flatfish <90 cm","high","destructive","demersal"
600692,"Lichia amia","Leerfish",420,"with gorges or hooks","pelagic >=90 cm","low","non-destructive","pelagic"
601005,"Seriola dumerili","Greater amberjack",420,"with gorges or hooks","reef-associated >=90 cm","low","non-destructive","pelagic"
601164,"Sparus aurata","Gilthead seabream",850,"mid-water trawls","demersal 30 - 90 cm","high","non-destructive","demersal"
601341,"Platichthys flesus","Flounder",840,"bottom trawls","flatfish <90 cm","high","destructive","demersal"
400314,"Carangidae","Jacks and pompanos",1400,"gillnets","pelagic 30 - 90 cm","high","non-destructive","pelagic"
600142,"Thunnus alalunga","Albacore",450,"longline tuna","pelagic >=90 cm","high","non-destructive","pelagic"
600142,"Thunnus alalunga","Albacore",424,"troll lines","pelagic >=90 cm","low","non-destructive","pelagic"
600142,"Thunnus alalunga","Albacore",1050,"purse seine tuna","pelagic >=90 cm","low","non-destructive","pelagic"
600142,"Thunnus alalunga","Albacore",440,"pole line tuna","pelagic >=90 cm","low","non-destructive","pelagic"
690088,"Octopus vulgaris","Common octopus",500,"traps","cephalopods","high","non-destructive","pelagic"
690109,"Parapenaeus longirostris","Deepwater rose shrimp",840,"bottom trawls","shrimp","high","destructive","demersal"
690273,"Nephrops norvegicus","Norway lobster",840,"bottom trawls","lobsters crab","high","destructive","demersal"
690404,"Venus (=Chamelea) gallina","Striped venus",110,"grasping with hand","demersal mollusc","low","non-destructive","demersal"
690404,"Venus (=Chamelea) gallina","Striped venus",120,"by diving","demersal mollusc","low","non-destructive","demersal"
690404,"Venus (=Chamelea) gallina","Striped venus",213,"raking devices","demersal mollusc","high","destructive","demersal"
