lat,lon,iso3c
-34.72813333333333,135.9330361111111,AUS
-34.72672222222222,135.93709444444445,AUS
-34.72380277777778,135.93560555555555,AUS
-34.724719444444446,135.93465,AUS
-34.72813333333333,135.9330361111111,AUS
-34.719097222222224,135.96380277777777,AUS
-34.71587777777778,135.96183333333332,AUS
-34.717911111111114,135.9569611111111,AUS
-34.72112777777778,135.95893055555555,AUS
-34.719097222222224,135.96380277777777,AUS
-34.69196944444444,136.084075,AUS
-34.687219444444445,136.08093888888888,AUS
-34.690275,136.07415833333332,AUS
-34.69461111111111,136.07701944444443,AUS
-34.704211111111114,136.05570277777778,AUS
-34.706183333333335,136.0513277777778,AUS
-34.70184722222223,136.04846388888888,AUS
-34.70303333333334,136.04583333333332,AUS
-34.70778333333334,136.04896944444445,AUS
-34.69196944444444,136.084075,AUS
-33.92740277777778,136.65048611111112,AUS
-33.92740277777778,136.64690833333333,AUS
-33.93014722222222,136.64690833333333,AUS
-33.93014722222222,136.65048611111112,AUS
-33.92740277777778,136.65048611111112,AUS
-34.72380277777778,135.93560555555555,AUS
-34.72672222222222,135.93709444444445,AUS
-34.72635277777778,135.93816111111113,AUS
-34.722994444444446,135.93644722222223,AUS
-34.72380277777778,135.93560555555555,AUS
-34.722994444444446,135.93644722222223,AUS
-34.72635277777778,135.93816111111113,AUS
-34.725950000000005,135.93932222222222,AUS
-34.72211388888889,135.93736666666666,AUS
-34.722994444444446,135.93644722222223,AUS
-34.68718333333333,136.09469722222224,AUS
-34.68243333333333,136.09155833333335,AUS
-34.687219444444445,136.08093888888888,AUS
-34.69196944444444,136.084075,AUS
-34.68718333333333,136.09469722222224,AUS
-34.669716666666666,136.03390277777777,AUS
-34.66399722222222,136.03298055555558,AUS
-34.666441666666664,136.01075833333334,AUS
-34.67216111111111,136.01168055555556,AUS
-34.669716666666666,136.03390277777777,AUS
-34.67216111111111,136.01168055555556,AUS
-34.666441666666664,136.01075833333334,AUS
-34.669241666666665,135.98524166666667,AUS
-34.67496111111111,135.9861611111111,AUS
-34.67216111111111,136.01168055555556,AUS
-34.69461111111111,136.07701944444443,AUS
-34.690275,136.07415833333332,AUS
-34.69987777777777,136.05284166666667,AUS
-34.704211111111114,136.05570277777778,AUS
-34.69461111111111,136.07701944444443,AUS
-34.61548055555556,136.08413611111112,AUS
-34.610794444444444,136.084075,AUS
-34.610997222222224,136.06079722222222,AUS
-34.61568611111111,136.06085833333336,AUS
-34.61548055555556,136.08413611111112,AUS
-34.714844444444445,136.07737777777777,AUS
-34.70919722222222,136.07387777777777,AUS
-34.71549166666667,136.05896944444444,AUS
-34.72114444444445,136.06246944444445,AUS
-34.714844444444445,136.07737777777777,AUS
-34.704211111111114,136.05570277777778,AUS
-34.69987777777777,136.05284166666667,AUS
-34.70184722222223,136.04846388888888,AUS
-34.706183333333335,136.0513277777778,AUS
-34.704211111111114,136.05570277777778,AUS
-34.65774722222222,136.117725,AUS
-34.652722222222224,136.11530833333333,AUS
-34.69705,135.97988333333333,AUS
-34.70208055555556,135.98229166666667,AUS
-34.65774722222222,136.117725,AUS
-34.66003055555555,136.08654444444446,AUS
-34.65895,136.0910638888889,AUS
-34.65524722222222,136.08976944444444,AUS
-34.655702777777776,136.08503055555556,AUS
-34.66551666666667,136.04395,AUS
-34.66984722222222,136.0454611111111,AUS
-34.66003055555555,136.08654444444446,AUS
