SPAM_super,iso3c_producing,animal_feed_prop,other_prop,total_non_human_prop
bana,ABW,0,0,0
bana,AFG,0.002610564490912351,0,0.002610564490912351
bana,AGO,0.006225229859525864,0,0.006225229859525864
bana,AIA,0,0,0
bana,ALA,0,0,0
bana,ALB,0,0,0
bana,AND,0.002610564490912351,0,0.002610564490912351
bana,ARE,0.002610564490912351,0,0.002610564490912351
bana,ARG,0.005640742427688384,0,0.005640742427688384
bana,ARM,0,0,0
bana,ASM,0.002610564490912351,0,0.002610564490912351
bana,ATG,0.002610564490912351,0,0.002610564490912351
bana,AUS,0.008888047469884001,0,0.008888047469884001
bana,AUT,0,0,0
bana,AZE,0,0,0
bana,BDI,0.0026105644909123504,0,0.0026105644909123504
bana,BEL,0,0,0
bana,BEN,0.123913083741704,0,0.123913083741704
bana,BES,0,0,0
bana,BFA,0,0,0
bana,BGD,0.032667637112303,0,0.032667637112303
bana,BGR,0.002610564490912351,0,0.002610564490912351
bana,BHR,0.002610564490912351,0,0.002610564490912351
bana,BHS,0.004190998642626057,0,0.004190998642626057
bana,BIH,0,0,0
bana,BLM,0,0,0
bana,BLR,0,0,0
bana,BLZ,0.0032154046823651317,0,0.0032154046823651317
bana,BMU,0.012039116541815987,0,0.012039116541815987
bana,BOL,0.06040919099368351,0,0.06040919099368351
bana,BRA,0.013395960407790734,0,0.013395960407790734
bana,BRB,0.022486656092181624,0,0.022486656092181624
bana,BRN,0.008216186959647405,0,0.008216186959647405
bana,BTN,0,0,0
bana,BWA,0,0,0
bana,CAF,0.05747147799374759,0,0.05747147799374759
bana,CAN,0,0,0
bana,CCK,0,0,0
bana,CHE,0,0,0
bana,CHL,0,0,0
bana,CHN,0.14259690663468771,0,0.14259690663468771
bana,CIV,0.05982025632037531,0,0.05982025632037531
bana,CMR,0.06901879762676895,0,0.06901879762676895
bana,COD,0.024168185822656625,0,0.024168185822656625
bana,COG,0.010737369406032612,0,0.010737369406032612
bana,COK,0,0,0
bana,COL,0.01456509698557687,0,0.01456509698557687
bana,COM,0,0,0
bana,CPV,0.043467870516925244,0,0.043467870516925244
bana,CRI,0.011613492432003922,0,0.011613492432003922
bana,CUB,0.024901015883717098,0,0.024901015883717098
bana,CUW,0,0,0
bana,CXR,0,0,0
bana,CYM,0.002610564490912351,0,0.002610564490912351
bana,CYP,0.015042822226176556,0,0.015042822226176556
bana,CZE,0,0,0
bana,DEU,0,0,0
bana,DJI,0,0,0
bana,DMA,0.005423523914492111,0,0.005423523914492111
bana,DNK,0,0,0
bana,DOM,0.015666365957920186,0,0.015666365957920186
bana,DZA,0.002610564490912351,0,0.002610564490912351
bana,ECU,0.007087631746403131,0,0.007087631746403131
bana,EGY,0.011312474404253932,0,0.011312474404253932
bana,ERI,0.002610564490912351,0,0.002610564490912351
bana,ESH,0,0,0
bana,ESP,0.01154874580541891,0,0.01154874580541891
bana,EST,0,0,0
bana,ETH,0.01561641566912926,0,0.01561641566912926
bana,FIN,0,0,0
bana,FJI,0.2715597057069838,0,0.2715597057069838
bana,FLK,0,0,0
bana,FRA,0,0,0
bana,FRO,0,0,0
bana,FSM,0.002610564490912351,0,0.002610564490912351
