"system","country","iso3c","tonnes"
"chickens_industrial_meat","Angola","AGO",39.0575198409114
"crustaceans_aquaculture_meat","Angola","AGO",78.5027527667796
"marine-fish-general_aquaculture_meat","Angola","AGO",575.762033267962
"pigs_backyard_meat","Angola","AGO",43.8636439223218
"pigs_industrial_meat","Angola","AGO",4512.49987703632
"pigs_intermediate_meat","Angola","AGO",1064.00876960008
"salmon_aquaculture_meat","Angola","AGO",8415.69189271617
"shrimp_aquaculture_meat","Angola","AGO",554.548549384142
"tuna_aquaculture_meat","Angola","AGO",257.72421945755
"marine-fish-general_aquaculture_meat","Albania","ALB",18.4217736915656
"chickens_industrial_eggs","United Arab Emirates (the)","ARE",6994.98067771603
"chickens_industrial_meat","United Arab Emirates (the)","ARE",2588.18227964588
"marine-fish-general_aquaculture_meat","United Arab Emirates (the)","ARE",11098.1475696988
"pigs_backyard_meat","United Arab Emirates (the)","ARE",69.7587365512426
"pigs_industrial_meat","United Arab Emirates (the)","ARE",205.098347173516
"pigs_intermediate_meat","United Arab Emirates (the)","ARE",987.264130051519
"shrimp_aquaculture_meat","United Arab Emirates (the)","ARE",36004.0906861748
"chickens_industrial_eggs","Argentina","ARG",13.649408175084
"chickens_industrial_meat","Argentina","ARG",2224.60982238194
"crustaceans_aquaculture_meat","Argentina","ARG",1688.5679792719
"marine-fish-general_aquaculture_meat","Argentina","ARG",30455.5809652204
"pigs_backyard_meat","Argentina","ARG",228.483538798265
"pigs_industrial_meat","Argentina","ARG",39609.4398105026
"pigs_intermediate_meat","Argentina","ARG",1435.56644448669
"salmon_aquaculture_meat","Argentina","ARG",21534.1713718511
"shrimp_aquaculture_meat","Argentina","ARG",17700.1048321803
"tuna_aquaculture_meat","Argentina","ARG",372.254574072078
"chickens_industrial_eggs","American Samoa","ASM",2485.74540522457
"chickens_industrial_meat","American Samoa","ASM",2284.25875944323
"marine-fish-general_aquaculture_meat","American Samoa","ASM",3378.77463704889
"pigs_backyard_meat","American Samoa","ASM",21.260573424465
"pigs_industrial_meat","American Samoa","ASM",1363.8916333653
"pigs_intermediate_meat","American Samoa","ASM",318.728548589664
"salmon_aquaculture_meat","American Samoa","ASM",11487.9885557651
"shrimp_aquaculture_meat","American Samoa","ASM",11297.5715995543
"tuna_aquaculture_meat","American Samoa","ASM",5876.36671380304
"chickens_industrial_eggs","Antarctica","ATA",6.66839347013455
"chickens_industrial_meat","Antarctica","ATA",32.7085035953914
"pigs_backyard_meat","Antarctica","ATA",0.112646171326537
"pigs_industrial_meat","Antarctica","ATA",85.9440714225387
"pigs_intermediate_meat","Antarctica","ATA",2.37956528344723
"salmon_aquaculture_meat","Antarctica","ATA",198.23809644798
"chickens_industrial_eggs","Australia","AUS",278.044924556665
"chickens_industrial_meat","Australia","AUS",888.522007228114
