iso3c_producing,SPAM_super,tonnes_producing_crop
ABW,bana,0
ABW,barl,0
ABW,cass,0
ABW,cnut,0
ABW,coco,0
ABW,maiz,0
ABW,ocer,0
ABW,ofib,0
ABW,oilp,0
ABW,orts,0
ABW,othr,0
ABW,plnt,0
ABW,pota,0
ABW,rice,0
ABW,sorg,0
ABW,soyb,0
ABW,spis,0
ABW,sugb,0
ABW,sugc,0
ABW,swpo,0
ABW,teas,0
ABW,tnut,0
ABW,toba,0
ABW,vege,0
ABW,whea,0
ABW,xcof,0
ABW,xfru,0
ABW,xmil,0
ABW,xoil,0
ABW,xpul,0
ABW,yams,0
AFG,bana,495
AFG,barl,89223.49950434268
AFG,cass,0
AFG,cnut,0
AFG,coco,0
AFG,maiz,174405.6559126228
AFG,ocer,20.600000739097595
AFG,ofib,0
AFG,oilp,0
AFG,orts,0
AFG,othr,0
AFG,plnt,0
AFG,pota,547134.0653067231
AFG,rice,333931.45344668627
AFG,sorg,2.0000000670552254
AFG,soyb,0.20000000298023224
AFG,spis,18847.993294386193
AFG,sugb,2474.1646463302895
AFG,sugc,37485.994535148144
AFG,swpo,0
AFG,teas,0
AFG,tnut,37805.99623676017
AFG,toba,0.7000000178813934
AFG,vege,609325.5545635521
AFG,whea,4092846.151596278
AFG,xcof,0
AFG,xfru,2563057.4210582227
AFG,xmil,13021.647285014391
AFG,xoil,92444.44836840034
AFG,xpul,39602.888290688396
AFG,yams,0
AGO,bana,4413958.762603492
AGO,barl,0
AGO,cass,8271136.202451028
AGO,cnut,0
AGO,coco,484.9333431571722
AGO,maiz,2750496.0328606367
AGO,ocer,0
AGO,ofib,1386.9363241791725
AGO,oilp,280448.19191503525
AGO,orts,501.9999876022339
AGO,othr,0
AGO,plnt,54.5
AGO,pota,802756.1244341135
AGO,rice,65380.52197396755
AGO,sorg,79829.8673248291
AGO,soyb,15075.83331477642
AGO,spis,0
AGO,sugb,0
AGO,sugc,567045.8270800114
AGO,swpo,1319752.43290174
AGO,teas,0.6000000089406967
AGO,tnut,2343.9931594356894
AGO,toba,2966.1707796156406
AGO,vege,813913.196296975
AGO,whea,2824.03163780272
AGO,xcof,16257.232582509518
AGO,xfru,942841.8627352118
AGO,xmil,74637.50211149454
AGO,xoil,201328.56118105352
AGO,xpul,320769.37366625667
AGO,yams,49.700000286102295
AIA,bana,0
AIA,barl,0
AIA,cass,0
AIA,cnut,0
AIA,coco,0
AIA,maiz,0
AIA,ocer,0
AIA,ofib,0
AIA,oilp,0
AIA,orts,0
AIA,othr,0
AIA,plnt,0
AIA,pota,0
AIA,rice,0
AIA,sorg,0
AIA,soyb,0
AIA,spis,0
AIA,sugb,0
AIA,sugc,0
AIA,swpo,0
AIA,teas,0
AIA,tnut,0
AIA,toba,0
AIA,vege,0
AIA,whea,0
AIA,xcof,0
AIA,xfru,0
AIA,xmil,0
AIA,xoil,0
AIA,xpul,0
AIA,yams,0
ALA,bana,0
ALA,barl,2604.199998855591
ALA,cass,0
ALA,cnut,0
ALA,coco,0
ALA,maiz,0
ALA,ocer,20859.79995727539
ALA,ofib,0
ALA,oilp,0
ALA,orts,0
ALA,othr,0
ALA,plnt,0
ALA,pota,23574.499706864357
ALA,rice,0
ALA,sorg,0
ALA,soyb,0
ALA,spis,0
ALA,sugb,7249.999943256378
ALA,sugc,0
ALA,swpo,0
ALA,teas,0
ALA,tnut,0
ALA,toba,0
ALA,vege,4307.000099182129
ALA,whea,5475.100006103516
ALA,xcof,0
ALA,xfru,4312.699939727783
ALA,xmil,0
ALA,xoil,410.7999975681305
ALA,xpul,64.5999996215105
ALA,yams,0
ALB,bana,0
ALB,barl,8458.987869292498
ALB,cass,0
ALB,cnut,0
ALB,coco,0
ALB,maiz,347235.2759361267
ALB,ocer,37660.1584559083
ALB,ofib,0
ALB,oilp,0
ALB,orts,0
ALB,othr,2036.6096038371325
ALB,plnt,0
ALB,pota,255155.69141872227
ALB,rice,0
ALB,sorg,0
ALB,soyb,533.3999839574099
ALB,spis,359.2849278789945
ALB,sugb,31521.74040490389
ALB,sugc,0
ALB,swpo,0
ALB,teas,4
ALB,tnut,13841.402236521244
ALB,toba,1377.0119930505753
ALB,vege,841226.7423079014
ALB,whea,285912.62757892907
ALB,xcof,0
ALB,xfru,748417.0767285228
ALB,xmil,0.30000001192092896
ALB,xoil,110598.98827840388
ALB,xpul,24280.857895746827
ALB,yams,0
AND,bana,9
AND,barl,0
AND,cass,0
AND,cnut,0
AND,coco,0
AND,maiz,0
AND,ocer,0.4000000059604645
AND,ofib,0
AND,oilp,0
AND,orts,0
AND,othr,0
AND,plnt,0
AND,pota,2.0999999046325684
AND,rice,0.30000001192092896
AND,sorg,0
AND,soyb,0
AND,spis,0
AND,sugb,0
AND,sugc,0
AND,swpo,0
AND,teas,0
AND,tnut,0
AND,toba,0
AND,vege,7.199999809265137
AND,whea,0
AND,xcof,0
AND,xfru,95.80000305175781
AND,xmil,0
AND,xoil,0
AND,xpul,0
AND,yams,0
ARE,bana,1307.1545317173004
ARE,barl,138.5890909433365
ARE,cass,0
ARE,cnut,0
ARE,coco,0
ARE,maiz,12925.86015510559
ARE,ocer,66.39999961853027
ARE,ofib,0
ARE,oilp,0
ARE,orts,0
ARE,othr,0
ARE,plnt,0
ARE,pota,561.3509217631072
ARE,rice,0
ARE,sorg,101760.20155715942
ARE,soyb,0
ARE,spis,0
ARE,sugb,0
ARE,sugc,55.69999933242798
ARE,swpo,0
ARE,teas,0
ARE,tnut,670.388044655323
ARE,toba,246.2491329908371
ARE,vege,282316.46873664856
ARE,whea,82.59999984502792
ARE,xcof,0
ARE,xfru,293498.2961193025
ARE,xmil,0
ARE,xoil,0
ARE,xpul,0
ARE,yams,0
ARG,bana,174473.91067779064
ARG,barl,3536643.379055321
ARG,cass,194066.57092176378
ARG,cnut,0
ARG,coco,0
ARG,maiz,43383973.11934459
ARG,ocer,621515.372776553
ARG,ofib,4065.434224821627
ARG,oilp,0
ARG,orts,2.099999964237213
ARG,othr,4739.461330403457
ARG,plnt,0
ARG,pota,2229750.746977508
ARG,rice,1527933.3889190704
ARG,sorg,2215360.105453536
ARG,soyb,46281361.502102286
ARG,spis,147012.913062118
ARG,sugb,700.5999751091003
ARG,sugc,21955420.397987485
ARG,swpo,335660.90274070203
ARG,teas,75019.7740503028
ARG,tnut,191062.02412172407
ARG,toba,117616.9027646184
ARG,vege,3335608.255773604
ARG,whea,22855084.704630375
ARG,xcof,0.10000000149011612
ARG,xfru,7473027.298729017
ARG,xmil,4470.493044197559
ARG,xoil,6434490.084865399
ARG,xpul,568221.6092812642
ARG,yams,28.699999809265137
ARM,bana,0
ARM,barl,120361.8032824099
ARM,cass,0
ARM,cnut,0
ARM,coco,0
ARM,maiz,12756.762052066624
ARM,ocer,27606.401667803526
ARM,ofib,0
ARM,oilp,0
ARM,orts,0
ARM,othr,0
ARM,plnt,0
ARM,pota,612030.8820859343
ARM,rice,0
ARM,sorg,0
ARM,soyb,0
ARM,spis,0
ARM,sugb,67424.32792168856
ARM,sugc,0
ARM,swpo,0
ARM,teas,0
ARM,tnut,6868.756851553917
ARM,toba,1205.100652307272
ARM,vege,853295.2604423836
ARM,whea,201566.37329755723
ARM,xcof,0
ARM,xfru,924836.460213691
ARM,xmil,1.399999976158142
ARM,xoil,170.27317237854004
ARM,xpul,5062.164586640894
ARM,yams,0
ASM,bana,860.0999755859375
ASM,barl,0
ASM,cass,99.60000228881836
ASM,cnut,6683.5
ASM,coco,0.9000000357627869
ASM,maiz,0
ASM,ocer,0
ASM,ofib,0
ASM,oilp,0
ASM,orts,9780.5
ASM,othr,0
ASM,plnt,0
ASM,pota,0
ASM,rice,0
ASM,sorg,0
ASM,soyb,0
ASM,spis,0
ASM,sugb,0
ASM,sugc,29.09999942779541
ASM,swpo,0
ASM,teas,0
ASM,tnut,0
ASM,toba,0
ASM,vege,1270.8999938964844
ASM,whea,0
ASM,xcof,0
ASM,xfru,54.60000228881836
ASM,xmil,0
ASM,xoil,0
ASM,xpul,0
ASM,yams,908.0999755859375
ATG,bana,269.0146732330322
ATG,barl,0
ATG,cass,131.8771448135376
ATG,cnut,0
ATG,coco,0
ATG,maiz,77.32540027797222
ATG,ocer,0
ATG,ofib,0
ATG,oilp,0
ATG,orts,40.34878143668175
ATG,othr,0
ATG,plnt,0
