iso3c_producing,animal_system,SPAM_super,consumed_tonnes
ABW,buffaloes_grassland_meat,soyb,0
ABW,buffaloes_grassland_milk,soyb,0
ABW,buffaloes_mixed_meat,soyb,0
ABW,buffaloes_mixed_milk,soyb,0
ABW,chickens_backyard_eggs&meat,barl,0
ABW,chickens_backyard_eggs&meat,rice,0
ABW,chickens_backyard_eggs&meat,soyb,0
ABW,chickens_backyard_eggs&meat,whea,0
ABW,chickens_backyard_eggs&meat,xoil,0
ABW,chickens_industrial_eggs,barl,0
ABW,chickens_industrial_eggs,rice,0
ABW,chickens_industrial_eggs,soyb,0
ABW,chickens_industrial_eggs,whea,0
ABW,chickens_industrial_eggs,xoil,0
ABW,chickens_industrial_meat,barl,0
ABW,chickens_industrial_meat,rice,0
ABW,chickens_industrial_meat,soyb,0
ABW,chickens_industrial_meat,whea,0
ABW,chickens_industrial_meat,xoil,0
ABW,cows_feedlot_meat,soyb,0
ABW,cows_grassland_meat,soyb,0
ABW,cows_grassland_milk,soyb,0
ABW,cows_mixed_meat,soyb,0
ABW,cows_mixed_milk,soyb,0
ABW,goats_grassland_meat,soyb,0
ABW,goats_grassland_milk,soyb,0
ABW,goats_mixed_meat,soyb,0
ABW,goats_mixed_milk,soyb,0
ABW,marine-fish-general_aquaculture_meat,xoil,0
ABW,pigs_backyard_meat,barl,0
ABW,pigs_backyard_meat,rice,0
ABW,pigs_backyard_meat,soyb,0
ABW,pigs_backyard_meat,whea,0
ABW,pigs_backyard_meat,xoil,0
ABW,pigs_industrial_meat,barl,0
ABW,pigs_industrial_meat,rice,0
ABW,pigs_industrial_meat,soyb,0
ABW,pigs_industrial_meat,whea,0
ABW,pigs_industrial_meat,xoil,0
ABW,pigs_intermediate_meat,barl,0
ABW,pigs_intermediate_meat,rice,0
ABW,pigs_intermediate_meat,soyb,0
ABW,pigs_intermediate_meat,whea,0
ABW,pigs_intermediate_meat,xoil,0
ABW,salmon_aquaculture_meat,whea,0
ABW,salmon_aquaculture_meat,xoil,0
ABW,sheep_grassland_meat,soyb,0
ABW,sheep_grassland_milk,soyb,0
ABW,sheep_mixed_meat,soyb,0
ABW,sheep_mixed_milk,soyb,0
ABW,shrimp_aquaculture_meat,xoil,0
AFG,buffaloes_grassland_meat,maiz,0
AFG,buffaloes_grassland_meat,ocer,0
AFG,buffaloes_grassland_meat,oilp,0
AFG,buffaloes_grassland_meat,soyb,2.889038209110069e-7
AFG,buffaloes_grassland_meat,sugb,21.045241378856087
AFG,buffaloes_grassland_milk,maiz,4.628373264240976e-9
AFG,buffaloes_grassland_milk,ocer,4.813207323263835e-10
AFG,buffaloes_grassland_milk,oilp,0
AFG,buffaloes_grassland_milk,soyb,4.2269354542073405e-8
AFG,buffaloes_grassland_milk,sugb,21.123491916704435
AFG,buffaloes_mixed_meat,maiz,0
AFG,buffaloes_mixed_meat,ocer,0
AFG,buffaloes_mixed_meat,oilp,0
AFG,buffaloes_mixed_meat,soyb,2.9052093628459094e-5
AFG,buffaloes_mixed_meat,sugb,128.47195509639744
AFG,buffaloes_mixed_milk,maiz,2.086123871841165e-6
AFG,buffaloes_mixed_milk,ocer,2.1694332163652868e-7
AFG,buffaloes_mixed_milk,oilp,0
AFG,buffaloes_mixed_milk,soyb,1.5464545565827701e-6
AFG,buffaloes_mixed_milk,sugb,622.0870351380022
AFG,chickens_backyard_eggs&meat,bana,0.41212458986405565
AFG,chickens_backyard_eggs&meat,barl,8995.012537687016
AFG,chickens_backyard_eggs&meat,maiz,9716.41166451447
AFG,chickens_backyard_eggs&meat,oilp,0
AFG,chickens_backyard_eggs&meat,rice,8214.419632253685
AFG,chickens_backyard_eggs&meat,sorg,0.001646951628406207
