animal,included_source,tonnes_by_category,tonnes_total,proportion
buffaloes,byproduct_other,2932989.994458116,516298628.33170956,0.005680801446123037
buffaloes,fao_hay,244721836.36611617,516298628.33170956,0.4739928075286077
buffaloes,grazed,27534098.721440673,516298628.33170956,0.053329792508669364
buffaloes,mapspam,39643558.04187128,516298628.33170956,0.07678416301428025
buffaloes,residues,201466145.20782334,516298628.33170956,0.39021243550231965
chickens,byproduct_other,86916742.22958001,796343475.721206,0.1091447910097639
chickens,fofm,148405.6,796343475.721206,1.863587817626018e-4
chickens,grazed,11371647.20956881,796343475.721206,0.014279827180438834
chickens,mapspam,684392269.338171,796343475.721206,0.8594184421720205
chickens,residues,13514411.343886176,796343475.721206,0.016970580856014286
cows,byproduct_other,43502499.42667487,3482978433.0896907,0.012490028365775596
cows,fao_hay,1426593204.649849,3482978433.0896907,0.40959001959261127
cows,grazed,974391480.9270996,3482978433.0896907,0.27975811497136766
cows,mapspam,310620113.43748575,3482978433.0896907,0.08918232466973387
cows,residues,727871134.6485816,3482978433.0896907,0.20897951240051163
crustaceans,fofm,69626.76000000001,567356.71251,0.12272131176869225
crustaceans,mapspam,497729.95251,567356.71251,0.8772786882313077
goats,byproduct_other,1073289.8355997254,201473918.72163117,0.005327189952971774
goats,fao_hay,79850513.39886717,201473918.72163117,0.3963317629672632
goats,grazed,52363732.58459359,201473918.72163117,0.2599032813619045
goats,mapspam,8082345.406918544,201473918.72163117,0.040116087770574474
goats,residues,60104037.49565214,201473918.72163117,0.29832167794728603
marine,byproduct_other,193745.92074380166,5369342.24512,0.03608373463619129
marine,fofm,535738,5369342.24512,0.09977721209463092
marine,mapspam,4639858.324376198,5369342.24512,0.8641390532691778
pigs,byproduct_other,73010973.6955105,565470306.2884741,0.12911548649605667
pigs,fofm,1108746.24,565470306.2884741,0.0019607505958666098
pigs,mapspam,456054342.76590323,565470306.2884741,0.8065044931523736
pigs,residues,35296243.58706037,565470306.2884741,0.06241926975570319
salmon,byproduct_other,336508.52495,3666111.6117000002,0.09178894714390835
salmon,fofm,787889.7600000001,3666111.6117000002,0.2149115584712519
salmon,mapspam,2541713.32675,3666111.6117000002,0.6932994943848397
sheep,byproduct_other,3812269.3511078237,294768157.90622,0.01293311115483746
sheep,fao_hay,103737021.69186516,294768157.90622,0.3519275027150962
sheep,grazed,111479899.77145444,294768157.90622,0.3781951909708021
sheep,mapspam,11615477.321541507,294768157.90622,0.03940546836553815
sheep,residues,64123489.770251095,294768157.90622,0.21753872679372604
shrimp,fofm,584183.04,7216744.310159999,0.08094828012370697
shrimp,mapspam,6632561.270159999,7216744.310159999,0.919051719876293
tuna,byproduct_other,11853.461965494062,223953.85600000003,0.0529281441150719
tuna,fofm,34883.8,223953.85600000003,0.15576333724747296
tuna,mapspam,177216.59403450595,223953.85600000003,0.7913085186374551
