animal,feedstuff,tonnes_fofm,true_tonnes_fish,true_tonnes_fofm,correction
chickens,FISHMEAL,8860243.747751424,530020,148405.6,0.016749606921103357
pigs,FISHMEAL,13649468.3915552,3959808,1108746.24,0.08122999432607728
