crop_number,SPAM_short_name,SPAM_super,SPAM_full_name,FAONAMES,FAO_item_code_NFB,FAO_item_code,GROUP,product_description_FAOSTAT,non_food
8,ocer,ocer,other cereals,other cereals ++,2520,111,cereals,"Flour, ceraals",
8,ocer,ocer,other cereals,other cereals ++,2520,112,cereals,"Bran, cereals, nes",
8,ocer,ocer,other cereals,other cereals ++,2520,113,cereals,"Cereal preparations, nes",
9,pota,pota,potato,potato,2531,116,roots&tubers or starchy roots,Potatoes,
9,pota,pota,potato,potato,2531,117,roots&tubers or starchy roots,"Flour, potatoes",
9,pota,pota,potato,potato,2531,118,roots&tubers or starchy roots,"Potatoes, frozen",
9,pota,pota,potato,potato,2531,119,roots&tubers or starchy roots,"Starch, potatoes",
9,pota,pota,potato,potato,2531,121,roots&tubers or starchy roots,"Tapioca, potatoes",
10,swpo,swpo,sweet potato,sweet potato,2533,122,roots&tubers or starchy roots,Sweet potatoes,
11,yams,yams,yams,yam,2535,137,roots&tubers or starchy roots,Yams,
12,cass,cass,cassava,cassava,2532,129,roots&tubers or starchy roots,"Starch, cassava",
12,cass,cass,cassava,cassava,2532,128,roots&tubers or starchy roots,"Cassava, dried",
12,cass,cass,cassava,cassava,2532,127,roots&tubers or starchy roots,"Tapioca, cassava",
12,cass,cass,cassava,cassava,2532,126,roots&tubers or starchy roots,"Flour, cassava",
12,cass,cass,cassava,cassava,2532,125,roots&tubers or starchy roots,Cassava,
13,orts,orts,other roots,yautia ++,2534,135,roots&tubers or starchy roots,Yautia (Cocoyam),
13,orts,orts,other roots,yautia ++,2534,136,roots&tubers or starchy roots,Taro (Cocoyam),
13,orts,orts,other roots,yautia ++,2534,149,roots&tubers or starchy roots,Roots and tubers nes,
13,orts,orts,other roots,yautia ++,2534,150,roots&tubers or starchy roots,"Flour, roots and tubers nes",
13,orts,orts,other roots,yautia ++,2534,151,roots&tubers or starchy roots,Roots and tubers dried,
14,bean,xpul,bean,"beans, dry",2546,176,pulses,"Beans, dry",
15,chic,xpul,chickpea,chickpea,2549,191,pulses,"Chick-peas, dry",
16,cowp,xpul,cowpea,cowpea,2549,195,pulses,"Cow peas, dry",
17,pige,xpul,pigeonpea,pigeon pea,2549,197,pulses,Pigeon peas,
18,lent,xpul,lentil,lentils,2549,201,pulses,"Lentils, dry",
19,opul,xpul,other pulses,broad beans ++,2549,181,pulses,"Broad beans, dry",
19,opul,xpul,other pulses,broad beans ++,2547,187,pulses,"Peas, dry",
19,opul,xpul,other pulses,broad beans ++,2549,203,pulses,Bambara beans,
19,opul,xpul,other pulses,broad beans ++,2549,205,pulses,Vetches,
19,opul,xpul,other pulses,broad beans ++,2549,210,pulses,Lupins,
19,opul,xpul,other pulses,broad beans ++,2549,211,pulses,Pulses nes,
19,opul,xpul,other pulses,broad beans ++,2549,212,pulses,"Flour, pulses",
19,opul,xpul,other pulses,broad beans ++,2549,213,pulses,"Bran, pulses",
20,soyb,soyb,soybean,soybean,2571,237,oilcrops,Soybeans oil,
20,soyb,soyb,soybean,soybean,2571,238,oilcrops,Soybeans cake,
20,soyb,soyb,soybean,soybean,2555,236,oilcrops,Soybeans,
20,soyb,soyb,soybean,soybean,2555,239,oilcrops,Soya sauce,
20,soyb,soyb,soybean,soybean,2555,240,oilcrops,Soya paste,
20,soyb,soyb,soybean,soybean,2555,241,oilcrops,Soya curd,
21,grou,xoil,groundnut,"groundnut, with shell",2572,244,oilcrops,"Oil, groundnut",
21,grou,xoil,groundnut,"groundnut, with shell",2572,245,oilcrops,Cake groundnuts,
21,grou,xoil,groundnut,"groundnut, with shell",2552,242,oilcrops,"Groundnuts, in shell",
21,grou,xoil,groundnut,"groundnut, with shell",2552,243,oilcrops,"Groundnuts, shelled",
21,grou,xoil,groundnut,"groundnut, with shell",2552,246,oilcrops,"Groundnuts, prepared",
21,grou,xoil,groundnut,"groundnut, with shell",2552,247,oilcrops,Peanut butter,
22,cnut,cnut,coconut,coconut,2578,252,oilcrops,Coconut oil,
22,cnut,cnut,coconut,coconut,2560,249,oilcrops,Coconuts,
22,cnut,cnut,coconut,coconut,2560,250,oilcrops,"Coconuts, desiccated",
22,cnut,cnut,coconut,coconut,2560,251,oilcrops,Copra,
22,cnut,cnut,coconut,coconut,2560,253,oilcrops,Cake copra,
23,oilp,oilp,oilpalm,palmoil,2562,254,oilcrops,[Oil palm fruit],
23,oilp,oilp,oilpalm,palmoil,2562,256,oilcrops,Palm kernals,
23,oilp,oilp,oilpalm,palmoil,2577,257,oilcrops,"Oil, palm",
23,oilp,oilp,oilpalm,palmoil,2576,258,oilcrops,"Oil, palm kernal",
23,oilp,oilp,oilpalm,palmoil,2576,259,oilcrops,Cake palm kernal,
23,oilp,oilp,oilpalm,palmoil,2577,1276,oilcrops,Fatty acids,
23,oilp,oilp,oilpalm,palmoil,2577,1277,oilcrops,Fatty substance residues,
24,sunf,xoil,sunflower,sunflower seed,2557,267,oilcrops,Sunflower seed,
25,rape,xoil,rapeseed,rapeseed,2558,270,oilcrops,Rapeseed or colza seed,
25,rape,xoil,rapeseed,rapeseed,2558,292,oilcrops,Mustard seed,
25,rape,xoil,rapeseed,rapeseed,2558,295,oilcrops,"Flour, mustard",
26,sesa,xoil,sesameseed,sesame seed,2561,289,oilcrops,Sesame seed,
28,sugc,sugc,sugarcane,sugar cane,2536,156,sugar crops,Sugar cane,
28,sugc,sugc,sugarcane,sugar cane,2542,158,sugar crops,"Sugar, cane, raw, centrifugal",nonfood
28,sugc,sugc,sugarcane,sugar cane,2542,161,sugar crops,Sugar crops nes,nonfood
28,sugc,sugc,sugarcane,sugar cane,2542,162,sugar crops,Sugar Raw Centrifugal,nonfood
28,sugc,sugc,sugarcane,sugar cane,2541,163,sugar crops,Sugar non-centrugal,nonfood
28,sugc,sugc,sugarcane,sugar cane,2542,164,sugar crops,Sugar refined,nonfood
28,sugc,sugc,sugarcane,sugar cane,2542,168,sugar crops,Sugar confectionary,nonfood
28,sugc,sugc,sugarcane,sugar cane,2542,171,sugar crops,Sugar flavored,nonfood
28,sugc,sugc,sugarcane,sugar cane,2542,165,sugar crops,Molasses,nonfood
29,sugb,sugb,sugarbeet,sugarbeet,2537,157,sugar crops,Sugar beet,
29,sugb,sugb,sugarbeet,sugarbeet,2537,169,sugar crops,Beet pulp,
30,cott,xoil,cotton,seed cotton,,328,fibres,[Seed Cotton],
32,acof,xcof,arabica coffee,coffee,2630,659,stimulant,"Coffee, extracts",nonfood
33,rcof,xcof,robusta coffee,coffee,2630,659,stimulant,"Coffee, extracts",nonfood
32,acof,xcof,arabica coffee,coffee,2630,657,stimulant,Coffee roasted,nonfood
33,rcof,xcof,robusta coffee,coffee,2630,657,stimulant,Coffee roasted,nonfood
32,acof,xcof,arabica coffee,coffee,2630,656,stimulant,Coffee green,nonfood
33,rcof,xcof,robusta coffee,coffee,2630,656,stimulant,Coffee green,nonfood
34,coco,coco,cocoa,cocoa,2633,661,stimulant,Cocoa beans,
34,coco,coco,cocoa,cocoa,2633,662,stimulant,"Cocoa, paste",
34,coco,coco,cocoa,cocoa,2633,664,stimulant,Cocoa butter,
34,coco,coco,cocoa,cocoa,2633,665,stimulant,"Cocoa , powder & cacke",
34,coco,coco,cocoa,cocoa,2633,666,stimulant,Chocolate products nes,
35,teas,teas,tea,tea,2635,667,stimulant,Tea,nonfood
36,toba,toba,tobacco,tobacco leaves,,826,stimulant,Tobacco leaves,nonfood
37,bana,bana,banana,banana,2615,486,fruits,Bananas,
38,plnt,plnt,plantain,plantain,2616,489,fruits,Plantains,
40,temf,xfru,temperate fruit,apples ++,2625,592,fruits,Kiwi fruit,
40,temf,xfru,temperate fruit,apples ++,2625,619,fruits,"Fruit, fresh nes",
40,temf,xfru,temperate fruit,apples ++,2625,620,fruits,"Fruit, dried nes",
40,temf,xfru,temperate fruit,apples ++,2625,622,fruits,"Juice, fruit nes",
40,temf,xfru,temperate fruit,apples ++,2625,623,fruits,"Fruit, prepared nes",
40,temf,xfru,temperate fruit,apples ++,2625,624,fruits,"Flour, fruit",
40,temf,xfru,temperate fruit,apples ++,2625,625,fruits,"Fruits, nuts, peel, sugar preserved",
40,temf,xfru,temperate fruit,apples ++,2625,626,fruits,"Fruit, cooked, homogenized preparations",
27,ooil,xoil,other oil crops,olives ++,2563,260,oilcrops,Olives,
27,ooil,xoil,other oil crops,olives ++,2580,261,oilcrops,"Oil of Olives, Virgin",
27,ooil,xoil,other oil crops,olives ++,2563,262,oilcrops,"Olives, Preserved",
27,ooil,xoil,other oil crops,olives ++,2570,263,oilcrops,Karite Nuts (Sheanuts),
27,ooil,xoil,other oil crops,olives ++,2586,264,oilcrops,Butter of Karite Nuts,
27,ooil,xoil,other oil crops,olives ++,2570,265,oilcrops,Castor Beans,
27,ooil,xoil,other oil crops,olives ++,2586,266,oilcrops,Oil of Castor Beans,
27,ooil,xoil,other oil crops,olives ++,2573,268,oilcrops,Oil of Sunflower Seed,
27,ooil,xoil,other oil crops,olives ++,2573,269,oilcrops,Cake of Sunflower Seed,
27,ooil,xoil,other oil crops,olives ++,2574,271,oilcrops,Oil of Rapeseed or Canola oil,
27,ooil,xoil,other oil crops,olives ++,2574,272,oilcrops,Cake of Rapeseed,
27,ooil,xoil,other oil crops,olives ++,2580,273,oilcrops,Olive Residues,
27,ooil,xoil,other oil crops,olives ++,2580,274,oilcrops,Oil of Olive Residues,
27,ooil,xoil,other oil crops,olives ++,2570,275,oilcrops,Tung Nuts,
27,ooil,xoil,other oil crops,olives ++,2586,276,oilcrops,Oil of Tung Nuts,
27,ooil,xoil,other oil crops,olives ++,2570,277,oilcrops,Jojoba Seeds,
27,ooil,xoil,other oil crops,olives ++,2586,278,oilcrops,Jojoba Oil,
27,ooil,xoil,other oil crops,olives ++,,279,oilcrops,NA,
