iso3c,tonnes_fodder
ABW,302.17667589983347
AFG,4387176.007418149
AGO,1940258.3998396692
AIA,0
ALA,14235.421991552683
ALB,1135437.7448328203
AND,2124.7063388071197
ARE,650117.7652702755
ARG,41741069.47428556
ARM,772832.2706117908
ASM,251.31740649937254
ATG,10944.907874797575
AUS,41768163.71040249
AUT,3572399.2740628184
AZE,3779188.2818529257
BDI,1106451.3757346454
BEL,4439307.107259944
BEN,2462281.587536343
BES,4215.392108564635
BFA,6530919.373079213
BGD,41187738.91189529
BGR,1212599.5850969949
BHR,19320.017664385316
BHS,3382.0788508651854
BIH,901096.7556279782
BLM,0
BLR,7284088.123992944
BLZ,151593.62917179952
BMU,0
BOL,8299335.83359158
BRA,178390887.91762456
BRB,22631.853208644887
BRN,8099.401427798799
BTN,331701.34146658937
BWA,642786.0649113922
CAF,5836530.34301826
CAN,27771983.8222861
CCK,0
CHE,2311978.821410494
CHL,2706073.493968691
CHN,109280533.47631007
CIV,853475.8822273611
CMR,6781105.584214461
COD,1463025.7509539006
COG,192193.10980919626
COK,0
COL,12256988.45085227
COM,99520.75818333439
CPV,60215.14434085081
CRI,1571329.2361355661
CUB,3906905.7362980223
CUW,2172.737018894325
CXR,1152.890022069568
CYM,0
CYP,269443.9395308178
CZE,2780464.229385685
DEU,22505383.339566752
DJI,86345.65619269555
DMA,17567.867588223107
DNK,2776634.323307589
DOM,2806263.5740813785
DZA,3358608.3083285303
ECU,3649367.015619079
EGY,8275216.189587461
ERI,586704.2913785437
ESH,36239.045153702245
ESP,12877941.936404988
EST,436067.3175529376
ETH,38428718.527712725
FIN,1895371.8003113193
FJI,89134.59674694817
FLK,167453.05933866586
FRA,29583280.62788636
FRO,5702.471065348794
FSM,0
GAB,62357.156785402694
GBR,12272209.412682878
GEO,1411689.3845461989
GGY,0
GHA,1624763.220811672
GIB,0
GIN,3190170.5319487825
GLP,59272.605173401535
GMB,470776.3590221925
GNB,413847.4348009091
GNQ,16113.887565479683
GRC,2111203.0486317244
GRD,10940.61483571913
GRL,6653.129213248407
GTM,4364618.954400599
GUF,32332.051637717937
GUM,0
GUY,150591.91160862643
HKG,3252.0736690665753
HND,3195441.9460121808
HRV,954777.2515635816
HTI,1585633.2662347574
HUN,1734383.9341400154
IDN,26769406.345451508
IMN,15526.24569292831
IND,371059904.22706485
IOT,0
IRL,6019628.6423173575
IRN,7212427.816693989
IRQ,2563635.9157991675
ISL,222848.55730537485
ISR,1275796.1250604382
ITA,11826791.75227474
JAM,224869.1673754935
JEY,2131.7830077928156
JOR,324014.7844137296
JPN,9216953.58066256
KAZ,3715599.099077311
KEN,12026968.099622102
KGZ,1812876.8792863465
KHM,4441821.396599465
KIR,0
KNA,5019.022170141345
KOR,6518187.665634434
KWT,152510.1092728639
LAO,3822374.300488755
LBN,170225.48589961522
LBR,94069.74308917846
LBY,1406785.6677679333
LCA,21438.64544355241
LIE,8885.389485382138
LKA,1718178.7271675924
LSO,319606.16430466075
LTU,1274127.9590766376
LUX,323947.0885137554
LVA,707516.9944788034
MAC,190.83142534672837
MAF,1141.4777752859256
MAR,3443788.549973273
MCO,0
MDA,469813.0759383421
MDG,3391028.9242509757
MDV,0
MEX,24473894.173312217
MHL,0
MKD,345884.47873452224
MLI,6221198.351631024
MLT,21092.244528329993
MMR,24393975.10622217
MNE,179622.5652620312
MNG,3181619.375840612
MNP,0
MOZ,840192.4979758622
MRT,704567.2285292178
MSR,18429.09961195764
MTQ,18996.47974920546
MUS,2832.1171063929573
MWI,1724917.929471179
MYS,1203441.0032844846
MYT,17665.11033208034
"NAM",988692.5137994313
NCL,109996.22174096784
NER,10555437.220257754
NFK,0
NGA,19574354.212396573
NIC,4238698.8243151745
NIU,0
NLD,6091727.714697377
NOR,2227770.987470555
NPL,15022677.048674973
NRU,0
NZL,12836811.224384468
OMN,625965.0940754939
PAK,100255207.00879313
PAN,1314479.7442944606
PCN,0
PER,4912057.381123841
PHL,7407197.0315606035
PLW,0
PNG,117541.69892634123
POL,10688522.885375572
PRI,520994.86701798113
PRK,1151400.3198047027
PRT,3270791.9002086325
PRY,7906566.51220947
PSE,187381.5567479666
PYF,0
QAT,269945.20894911623
REU,53259.14316544739
ROU,4704883.169076554
RUS,31450742.100533504
RWA,1271794.8690579208
SAU,713313.2191822459
SDN,29661117.026147183
SEN,2526389.3965408457
SGP,310.14247634690065
SHN,0
SJM,6649.871040600245
SLB,26756.45695915431
SLE,602244.8732558421
SLV,908932.0092825711
SMR,388.5637473235649
SOM,1550714.7543594316
SPM,225.35507019536777
SRB,1912943.9425485611
SSD,9587797.251435598
STP,4187.335942067318
SUR,60020.04394839614
SVK,908548.5454198758
SVN,828262.4774362975
SWE,2765721.2555434415
SWZ,210045.29116645688
SXM,0
SYC,0
SYR,2510787.877115297
TCA,2144.7317658381585
TCD,9535606.285867285
TGO,803470.4120358082
THA,6912878.434323095
TJK,2860451.5322999186
TKL,0
TKM,2011067.037836489
TLS,447755.71566375624
TON,24518.146139178978
TTO,68960.84976642221
TUN,1770786.6625847106
TUR,17596610.40455353
TUV,0
TWN,240374.06681072817
TZA,16540295.949646616
UGA,11687152.115542179
UKR,7052158.9948280975
URY,5418036.925793256
USA,178836120.09955752
UZB,11559763.406056177
VCT,9572.176401146744
VEN,13871965.24386559
VGB,0
VIR,15299.420704955377
VNM,10934038.916213471
VUT,320056.260869249
WLF,0
WSM,108665.9822722757
XKO,91228.83350985081
XMI,13062.364729013872
YEM,1615071.1432014839
ZAF,8620064.237308402
ZMB,2309208.2495234306
ZWE,2986516.020112223
