iso3c,animal,system,product,feedstuff,tonnes_feedstuff
BGD,crustaceans,aquaculture,meat,cassava meal,324.329718005073
BGD,crustaceans,aquaculture,meat,maize meal,2396.330848950576
BGD,crustaceans,aquaculture,meat,soybean cake,5437.352134042287
BGD,crustaceans,aquaculture,meat,soybean oil,1827.244019773912
BGD,crustaceans,aquaculture,meat,sunflower oilcake,1767.8490310392772
BGD,crustaceans,aquaculture,meat,wheat,88.45355929937665
BGD,crustaceans,aquaculture,meat,wheat bran,265.3606787591693
BGD,crustaceans,aquaculture,meat,wheat meal,5760.699010130327
BGD,crustaceans,aquaculture,meat,fofm,2499.4767013935034
CHN,crustaceans,aquaculture,meat,cassava meal,6432.865513536442
CHN,crustaceans,aquaculture,meat,maize meal,47529.63796242856
CHN,crustaceans,aquaculture,meat,soybean cake,107846.2844637854
CHN,crustaceans,aquaculture,meat,soybean oil,36242.176979401695
CHN,crustaceans,aquaculture,meat,sunflower oilcake,35064.11664913636
CHN,crustaceans,aquaculture,meat,wheat,1754.417864223008
CHN,crustaceans,aquaculture,meat,wheat bran,5263.253609747171
CHN,crustaceans,aquaculture,meat,wheat meal,114259.65595774133
CHN,crustaceans,aquaculture,meat,fofm,49575.467746777984
IDN,crustaceans,aquaculture,meat,cassava meal,296.62191600921625
IDN,crustaceans,aquaculture,meat,maize meal,2191.6099831363395
IDN,crustaceans,aquaculture,meat,soybean cake,4972.833873925783
IDN,crustaceans,aquaculture,meat,soybean oil,1671.1407930655382
IDN,crustaceans,aquaculture,meat,sunflower oilcake,1616.8199757559828
IDN,crustaceans,aquaculture,meat,wheat,80.89688604115378
IDN,crustaceans,aquaculture,meat,wheat bran,242.69065891094127
IDN,crustaceans,aquaculture,meat,wheat meal,5268.556913155044
IDN,crustaceans,aquaculture,meat,fofm,2285.9439854849816
MMR,crustaceans,aquaculture,meat,cassava meal,68.3165994940538
MMR,crustaceans,aquaculture,meat,maize meal,504.76156138254896
MMR,crustaceans,aquaculture,meat,soybean cake,1145.320294218908
MMR,crustaceans,aquaculture,meat,soybean oil,384.88948420954364
MMR,crustaceans,aquaculture,meat,sunflower oilcake,372.37856266249497
MMR,crustaceans,aquaculture,meat,wheat,18.631799829038588
MMR,crustaceans,aquaculture,meat,wheat bran,55.895399668484536
MMR,crustaceans,aquaculture,meat,wheat meal,1213.4298685349274
MMR,crustaceans,aquaculture,meat,fofm,526.4881362217563
PHL,crustaceans,aquaculture,meat,cassava meal,407.01456706170234
PHL,crustaceans,aquaculture,meat,maize meal,3007.2531404814545
PHL,crustaceans,aquaculture,meat,soybean cake,6823.554555566901
PHL,crustaceans,aquaculture,meat,soybean oil,2293.0829101905815
PHL,crustaceans,aquaculture,meat,sunflower oilcake,2218.5457207706345
