iso3c,Country,system,feed_item,tonnes
AFG,Afghanistan,pigs_intermediate_meat,forage fish,0.18092126436293357
AFG,Afghanistan,pigs_backyard_meat,forage fish,0.0017150777583986052
AFG,Afghanistan,chickens_industrial_meat,forage fish,4.644839447651324
AFG,Afghanistan,chickens_industrial_eggs,forage fish,102.1633684453589
CYP,Cyprus,pigs_intermediate_meat,forage fish,8.077043119793794
CYP,Cyprus,pigs_industrial_meat,forage fish,2508.604728380141
CYP,Cyprus,pigs_backyard_meat,forage fish,0.08622122191731244
CYP,Cyprus,chickens_industrial_meat,forage fish,96.02475463260465
CYP,Cyprus,marine-fish-general_aquaculture_meat,forage fish,3532.7105273853617
ALA,Åland,pigs_intermediate_meat,forage fish,0.033875108579262535
ALA,Åland,pigs_backyard_meat,forage fish,5.194357792103231e-5
ALA,Åland,chickens_industrial_eggs,forage fish,0.005394596031063535
ALB,Albania,marine-fish-general_aquaculture_meat,forage fish,1667.5296117048777
DZA,Algeria,pigs_intermediate_meat,forage fish,1.2830270882486317
DZA,Algeria,pigs_industrial_meat,forage fish,9.981028392877395
DZA,Algeria,pigs_backyard_meat,forage fish,0.06002087059161947
ASM,American Samoa,pigs_intermediate_meat,forage fish,7.608537203840426
ASM,American Samoa,pigs_industrial_meat,forage fish,28.420532414885
ASM,American Samoa,chickens_industrial_meat,forage fish,3.5156433916198346
ASM,American Samoa,chickens_industrial_eggs,forage fish,1.0387571351070821
AGO,Angola,pigs_intermediate_meat,forage fish,1442.1756581666136
AGO,Angola,pigs_industrial_meat,forage fish,5462.693392878085
AGO,Angola,pigs_backyard_meat,forage fish,59.36933940068695
ATG,Antigua and Barbuda,pigs_industrial_meat,forage fish,36.387536369299575
ATG,Antigua and Barbuda,pigs_backyard_meat,forage fish,0.022780600641021997
ARG,Argentina,pigs_intermediate_meat,forage fish,0.6139812172826146
ARG,Argentina,pigs_industrial_meat,forage fish,48935.887765035484
ARG,Argentina,pigs_backyard_meat,forage fish,45.94528609924657
ARM,Armenia,pigs_intermediate_meat,forage fish,95.40994905649349
ARM,Armenia,pigs_industrial_meat,forage fish,530.6904294471758
ARM,Armenia,pigs_backyard_meat,forage fish,3.94729178104908
ARM,Armenia,chickens_industrial_meat,forage fish,41.19375290591193
AUS,Australia,chickens_industrial_meat,forage fish,8832.242509449503
AUS,Australia,chickens_industrial_eggs,forage fish,1942.2344356999806
AUS,Australia,marine-fish-general_aquaculture_meat,forage fish,3121.3554946720587
AUS,Australia,salmon_aquaculture_meat,forage fish,32237.10574654637
AUS,Australia,salmon_aquaculture_meat,forage fish,21491.403831030915
AUS,Australia,shrimp_aquaculture_meat,forage fish,1746.4172311729242
AUS,Australia,tuna_aquaculture_meat,forage fish,27220.63164777399
AUT,Austria,pigs_intermediate_meat,forage fish,75.38966717582896
AUT,Austria,pigs_industrial_meat,forage fish,27384.230116338174
AUT,Austria,pigs_backyard_meat,forage fish,3.733957279792725
AZE,Azerbaijan,pigs_intermediate_meat,forage fish,1.3941073124003174
AZE,Azerbaijan,pigs_industrial_meat,forage fish,21.524421711321995
AZE,Azerbaijan,pigs_backyard_meat,forage fish,0.07366014965385347
AZE,Azerbaijan,chickens_industrial_meat,forage fish,527.6630503665166
BHS,Bahamas,pigs_industrial_meat,forage fish,49.54736052869159
BHS,Bahamas,pigs_backyard_meat,forage fish,0.011673488707880571
BHR,Bahrain,chickens_industrial_meat,forage fish,11.186871929977258
BGD,Bangladesh,pigs_intermediate_meat,forage fish,5.79461747137296
BGD,Bangladesh,pigs_backyard_meat,forage fish,0.4602059589755735
BGD,Bangladesh,chickens_industrial_meat,forage fish,606.755193669272
BGD,Bangladesh,chickens_industrial_eggs,forage fish,9035.193810208368
BGD,Bangladesh,crustaceans_aquaculture_meat,forage fish,8926.702504976798
BGD,Bangladesh,marine-fish-general_aquaculture_meat,forage fish,56946.13623972156
BGD,Bangladesh,shrimp_aquaculture_meat,forage fish,33470.30064161575
BRB,Barbados,pigs_industrial_meat,forage fish,145.7637756523478
BRB,Barbados,pigs_backyard_meat,forage fish,0.06668537960135482
