iso3c,animal,product,system,feedstuff,feeditem_kg_per_head
DZA,pigs,meat,backyard,Beans from soy,0
DZA,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",8.1868
DZA,pigs,meat,backyard,By-products from cottonseed,0
DZA,pigs,meat,backyard,By-products from soy,0.0931
DZA,pigs,meat,backyard,Crop residue from leguminous plants cultivation,25.2745
DZA,pigs,meat,backyard,Crop residues from sugarcane,102.0717
DZA,pigs,meat,backyard,Dry by-product from grain industries,18.7034
DZA,pigs,meat,backyard,FISHMEAL,0.0745
DZA,pigs,meat,backyard,Fruit from banana trees,0
DZA,pigs,meat,backyard,Grains from barley (Hordeum vulgare),18.3367
DZA,pigs,meat,backyard,Grains from maize (Zea mays),12.2563
DZA,pigs,meat,backyard,Grains from millet,0.3723
DZA,pigs,meat,backyard,Grains from rice,80.9341
DZA,pigs,meat,backyard,Grains from sorghum,0.2792
DZA,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,18.9221
DZA,pigs,meat,backyard,Household food waste and other organic material used as feed,74.4552
DZA,pigs,meat,backyard,Leguminous beans,11.9066
DZA,pigs,meat,backyard,Molasses,0.0931
DZA,pigs,meat,backyard,Oil palm kernel expeller,0
DZA,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0.2792
DZA,pigs,meat,backyard,Residual plant material such as stems from banana,0
DZA,pigs,meat,backyard,SYNTHETIC,0.0372
DZA,pigs,meat,backyard,Wet by-product from grain industries,0
EGY,pigs,meat,backyard,Beans from soy,0
EGY,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",16.4939
EGY,pigs,meat,backyard,By-products from cottonseed,11.7796
EGY,pigs,meat,backyard,By-products from soy,0.0879
EGY,pigs,meat,backyard,Crop residue from leguminous plants cultivation,18.9334
EGY,pigs,meat,backyard,Crop residues from sugarcane,49.5629
EGY,pigs,meat,backyard,Dry by-product from grain industries,29.6149
EGY,pigs,meat,backyard,FISHMEAL,0.0704
EGY,pigs,meat,backyard,Fruit from banana trees,6.5453
EGY,pigs,meat,backyard,Grains from barley (Hordeum vulgare),6.6402
EGY,pigs,meat,backyard,Grains from maize (Zea mays),31.8744
EGY,pigs,meat,backyard,Grains from millet,0.3518
EGY,pigs,meat,backyard,Grains from rice,40.6784
EGY,pigs,meat,backyard,Grains from sorghum,22.6375
EGY,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,26.0284
EGY,pigs,meat,backyard,Household food waste and other organic material used as feed,70.3539
EGY,pigs,meat,backyard,Leguminous beans,13.1841
EGY,pigs,meat,backyard,Molasses,0.0879
EGY,pigs,meat,backyard,Oil palm kernel expeller,0
EGY,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0.2638
EGY,pigs,meat,backyard,Residual plant material such as stems from banana,6.5453
EGY,pigs,meat,backyard,SYNTHETIC,0.0352
EGY,pigs,meat,backyard,Wet by-product from grain industries,0
LBY,pigs,meat,backyard,Beans from soy,0
LBY,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",10.9384
LBY,pigs,meat,backyard,By-products from cottonseed,0
LBY,pigs,meat,backyard,By-products from soy,1.4469
LBY,pigs,meat,backyard,Crop residue from leguminous plants cultivation,113.9542
LBY,pigs,meat,backyard,Crop residues from sugarcane,0
LBY,pigs,meat,backyard,Dry by-product from grain industries,26.4688
LBY,pigs,meat,backyard,FISHMEAL,0
LBY,pigs,meat,backyard,Fruit from banana trees,0
LBY,pigs,meat,backyard,Grains from barley (Hordeum vulgare),20.7905
LBY,pigs,meat,backyard,Grains from maize (Zea mays),1.7363
LBY,pigs,meat,backyard,Grains from millet,45.3206
LBY,pigs,meat,backyard,Grains from rice,0
LBY,pigs,meat,backyard,Grains from sorghum,0
LBY,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,35.3589
LBY,pigs,meat,backyard,Household food waste and other organic material used as feed,36.1727
LBY,pigs,meat,backyard,Leguminous beans,69.0333
LBY,pigs,meat,backyard,Molasses,0.3617
LBY,pigs,meat,backyard,Oil palm kernel expeller,0
LBY,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0
LBY,pigs,meat,backyard,Residual plant material such as stems from banana,0
LBY,pigs,meat,backyard,SYNTHETIC,0.1447
LBY,pigs,meat,backyard,Wet by-product from grain industries,0
MAR,pigs,meat,backyard,Beans from soy,0
MAR,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",12.7147
MAR,pigs,meat,backyard,By-products from cottonseed,0
MAR,pigs,meat,backyard,By-products from soy,0
MAR,pigs,meat,backyard,Crop residue from leguminous plants cultivation,20.6842
MAR,pigs,meat,backyard,Crop residues from sugarcane,70.6533
MAR,pigs,meat,backyard,Dry by-product from grain industries,19.2534
MAR,pigs,meat,backyard,FISHMEAL,0
MAR,pigs,meat,backyard,Fruit from banana trees,16.2372
MAR,pigs,meat,backyard,Grains from barley (Hordeum vulgare),16.0875
MAR,pigs,meat,backyard,Grains from maize (Zea mays),12.3269
MAR,pigs,meat,backyard,Grains from millet,0
MAR,pigs,meat,backyard,Grains from rice,76.4561
MAR,pigs,meat,backyard,Grains from sorghum,0
MAR,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,21.7646
MAR,pigs,meat,backyard,Household food waste and other organic material used as feed,72.7918
