iso3c,animal,system,product,feedstuff,feeditem_kg_per_head
DZA,chickens,backyard,eggs&meat,Beans from soy,0
DZA,chickens,backyard,eggs&meat,"By-product from oil production other than soy, cottonse",0.40050830173286395
DZA,chickens,backyard,eggs&meat,By-products from cottonseed,0
DZA,chickens,backyard,eggs&meat,By-products from rape (canola),0
DZA,chickens,backyard,eggs&meat,By-products from soy,0
DZA,chickens,backyard,eggs&meat,Crop residue from leguminous plants cultivation,1.2364540313417771
DZA,chickens,backyard,eggs&meat,Crop residues from sugarcane,4.993447062775463
DZA,chickens,backyard,eggs&meat,Dry by-product from grain industries,0.914988077150008
DZA,chickens,backyard,eggs&meat,FISHMEAL,0
DZA,chickens,backyard,eggs&meat,Fresh grass,1.3029679020614662
DZA,chickens,backyard,eggs&meat,Fruit from banana trees,0
DZA,chickens,backyard,eggs&meat,Grains from barley (Hordeum vulgare),0.897050460972031
DZA,chickens,backyard,eggs&meat,Grains from maize (Zea mays),0.5777355372523281
DZA,chickens,backyard,eggs&meat,Grains from millet,0
DZA,chickens,backyard,eggs&meat,Grains from rice,3.95026830097029
DZA,chickens,backyard,eggs&meat,Grains from sorghum,0
DZA,chickens,backyard,eggs&meat,Grains from wheat (Triticum aestivum).,0.9256861527663379
DZA,chickens,backyard,eggs&meat,Household food waste and other organic material used as feed,10.521058801986586
DZA,chickens,backyard,eggs&meat,Leguminous beans,0.5824842171426046
DZA,chickens,backyard,eggs&meat,Limestone,0
DZA,chickens,backyard,eggs&meat,Molasses,0
DZA,chickens,backyard,eggs&meat,Oil palm kernel expeller,0
DZA,chickens,backyard,eggs&meat,Pellets from cassava (Manihot esculenta) roots,0
DZA,chickens,backyard,eggs&meat,RAPESEED,0
DZA,chickens,backyard,eggs&meat,Residual plant material such as stems from banana,0
DZA,chickens,backyard,eggs&meat,SOY OIL,0
DZA,chickens,backyard,eggs&meat,SYNTHETIC,0
DZA,chickens,backyard,eggs&meat,Wet by-product from grain industries,0
EGY,chickens,backyard,eggs&meat,Beans from soy,0
EGY,chickens,backyard,eggs&meat,"By-product from oil production other than soy, cottonse",0.7739904127924817
EGY,chickens,backyard,eggs&meat,By-products from cottonseed,0.5527676476969176
EGY,chickens,backyard,eggs&meat,By-products from rape (canola),0
