iso3c,animal_system,tonnes_product
ABW,buffaloes_mixed_meat,0
ABW,buffaloes_mixed_milk,0
ABW,cows_feedlot_meat,0
ABW,cows_mixed_meat,108.28335281421991
ABW,cows_mixed_milk,118.56126908443578
ABW,goats_mixed_meat,43.10584758256592
ABW,goats_mixed_milk,7.619649220103566
ABW,sheep_mixed_meat,24.606557198508312
ABW,sheep_mixed_milk,0
AFG,buffaloes_mixed_meat,0
AFG,buffaloes_mixed_milk,0
AFG,cows_feedlot_meat,0
AFG,cows_mixed_meat,893589.3169835892
AFG,cows_mixed_milk,2142474.995933946
AFG,goats_mixed_meat,288543.72534629755
AFG,goats_mixed_milk,143005.88475903994
AFG,sheep_mixed_meat,469642.5497981614
AFG,sheep_mixed_milk,449919.5345971145
AGO,buffaloes_mixed_meat,0
AGO,buffaloes_mixed_milk,0
AGO,cows_feedlot_meat,0
AGO,cows_mixed_meat,1487326.8230295049
AGO,cows_mixed_milk,189917.20767324604
AGO,goats_mixed_meat,199938.93718718822
AGO,goats_mixed_milk,0
AGO,sheep_mixed_meat,63075.431949730104
AGO,sheep_mixed_milk,0
AIA,buffaloes_mixed_meat,0
AIA,buffaloes_mixed_milk,0
AIA,cows_feedlot_meat,0
AIA,cows_mixed_meat,0
AIA,cows_mixed_milk,0
AIA,goats_mixed_meat,0
AIA,goats_mixed_milk,0
AIA,sheep_mixed_meat,0
AIA,sheep_mixed_milk,0
ALA,buffaloes_mixed_meat,0
ALA,buffaloes_mixed_milk,0
ALA,cows_feedlot_meat,0
ALA,cows_mixed_meat,5329.786824781708
ALA,cows_mixed_milk,6121.187978563558
ALA,goats_mixed_meat,0.03499934424348292
ALA,goats_mixed_milk,0.04597580340392158
ALA,sheep_mixed_meat,2392.7243928296475
ALA,sheep_mixed_milk,391.64182023012245
ALB,buffaloes_mixed_meat,112.85662128587859
ALB,buffaloes_mixed_milk,52.79655935267708
ALB,cows_feedlot_meat,0
ALB,cows_mixed_meat,198592.8912776656
ALB,cows_mixed_milk,627434.2242210982
ALB,goats_mixed_meat,26414.26326241223
ALB,goats_mixed_milk,76674.5031120865
ALB,sheep_mixed_meat,65408.945938148594
ALB,sheep_mixed_milk,140747.26384077044
AND,buffaloes_mixed_meat,0
AND,buffaloes_mixed_milk,0
AND,cows_feedlot_meat,0
AND,cows_mixed_meat,774.4333861412464
AND,cows_mixed_milk,812.4962578827549
AND,goats_mixed_meat,17.75992558750154
AND,goats_mixed_milk,18.77405331615096
AND,sheep_mixed_meat,448.4026954368203
AND,sheep_mixed_milk,52.84002044264558
ARE,buffaloes_mixed_meat,0
ARE,buffaloes_mixed_milk,0
ARE,cows_feedlot_meat,0
ARE,cows_mixed_meat,62774.54973955659
ARE,cows_mixed_milk,50686.06413677987
ARE,goats_mixed_meat,156257.15880931576
ARE,goats_mixed_milk,97827.30022378826
ARE,sheep_mixed_meat,197833.899868154
ARE,sheep_mixed_milk,84738.79249268102
ARG,buffaloes_mixed_meat,0
ARG,buffaloes_mixed_milk,0
ARG,cows_feedlot_meat,421588.1039756056
ARG,cows_mixed_meat,37205878.06833808
ARG,cows_mixed_milk,2264829.647717437
ARG,goats_mixed_meat,319777.1545116505
ARG,goats_mixed_milk,0
ARG,sheep_mixed_meat,1528996.4997427831
ARG,sheep_mixed_milk,0
ARM,buffaloes_mixed_meat,788.0486045344829
ARM,buffaloes_mixed_milk,0
ARM,cows_feedlot_meat,0
ARM,cows_mixed_meat,301620.47919252253
ARM,cows_mixed_milk,384637.1964099488
ARM,goats_mixed_meat,711.1885521983904
ARM,goats_mixed_milk,2044.5807430955847
ARM,sheep_mixed_meat,23416.518275150047
ARM,sheep_mixed_milk,59614.25883434096
ASM,buffaloes_mixed_meat,0
ASM,buffaloes_mixed_milk,0
ASM,cows_feedlot_meat,0
ASM,cows_mixed_meat,188.91089781840435
ASM,cows_mixed_milk,62.40650868096818
ASM,goats_mixed_meat,0
ASM,goats_mixed_milk,0
ASM,sheep_mixed_meat,0
ASM,sheep_mixed_milk,0
ATG,buffaloes_mixed_meat,0
ATG,buffaloes_mixed_milk,0
ATG,cows_feedlot_meat,0
ATG,cows_mixed_meat,1870.7712789919638
ATG,cows_mixed_milk,4117.528698294124
ATG,goats_mixed_meat,2761.0586119320915
ATG,goats_mixed_milk,0
ATG,sheep_mixed_meat,2195.5492855793946
ATG,sheep_mixed_milk,0
AUS,buffaloes_mixed_meat,0
AUS,buffaloes_mixed_milk,0
AUS,cows_feedlot_meat,455401.03982731
AUS,cows_mixed_meat,25790518.221489526
AUS,cows_mixed_milk,1953297.6108381362
AUS,goats_mixed_meat,489637.1295262254
AUS,goats_mixed_milk,0
AUS,sheep_mixed_meat,13079309.708721291
AUS,sheep_mixed_milk,0
AUT,buffaloes_mixed_meat,0
AUT,buffaloes_mixed_milk,0
AUT,cows_feedlot_meat,0
AUT,cows_mixed_meat,2505547.977496408
AUT,cows_mixed_milk,990916.0726601687
AUT,goats_mixed_meat,5770.710238664509
AUT,goats_mixed_milk,6730.015308254054
AUT,sheep_mixed_meat,58388.15664540132
AUT,sheep_mixed_milk,5046.341713921693
AZE,buffaloes_mixed_meat,186440.88790744377
AZE,buffaloes_mixed_milk,0
AZE,cows_feedlot_meat,0
AZE,cows_mixed_meat,1037671.5387598176
AZE,cows_mixed_milk,1645153.771563818
AZE,goats_mixed_meat,55479.37886591676
AZE,goats_mixed_milk,11363.467895014608
AZE,sheep_mixed_meat,804756.7597669695
AZE,sheep_mixed_milk,38322.477093945265
BDI,buffaloes_mixed_meat,0
BDI,buffaloes_mixed_milk,0
BDI,cows_feedlot_meat,0
BDI,cows_mixed_meat,650568.4547916896
BDI,cows_mixed_milk,102682.5253466323
BDI,goats_mixed_meat,238520.92169439892
BDI,goats_mixed_milk,61413.423582907715
