source,source_feedname,product,included_source,notes
gleam,By-products from cottonseed,cake of cottonseed,mapspam,
gleam,By-products from rape (canola),cake of rapeseed,mapspam,
gleam,By-products from soy,cake of soya beans,mapspam,
gleam,By-products from sugar beet,sugar beets,mapspam,
gleam,Crop residues from maize,,residues,
gleam,Crop residues from millet,,residues,
gleam,Crop residues from other grains,,residues,
gleam,Crop residues from rice,,residues,
gleam,Crop residues from sorghum,,residues,
gleam,Crop residues from sugarcane,,residues,
gleam,Crop residues from wheat,,residues,
gleam,Dry by-product from grain industries,,byproduct_other,
gleam,Fodder beet,,fao_hay,
gleam,Fresh grass,,grazed,
gleam,Fresh mixture of grass and legumes,,fao_hay,
gleam,Grains,mixed grain,mapspam,
gleam,Hay from adjacent areas,,fao_hay,
gleam,Hay or silage from alfalfa,,fao_hay,
gleam,Hay or silage from cultivated grass,,fao_hay,
gleam,Hay or silage from grass and legumes,,fao_hay,
gleam,Leaves from natural vegetation,,byproduct_other,
gleam,Maize,maize,mapspam,
gleam,Maize gluten feed,maize gluten,mapspam,
gleam,Maize gluten meal,maize gluten,mapspam,
gleam,Molasses,molasses,mapspam,
gleam,Oil palm kernel expeller,oil of palm kernels,mapspam,
gleam,Silage from whole grain plants.,,fao_hay,
gleam,Silage from whole maize plant,,fao_hay,
gleam,Wet by-product from grain industries,,byproduct_other,
gleam,Beans from soy,soybean,mapspam,
gleam,"By-product from oil production other than soy, cottonse",cake,mapspam,unclear what this is
gleam,Crop residue from leguminous plants cultivation,,residues,
gleam,FISHMEAL,fishmeal oil,fofm,accounted for in fisheries
gleam,Fruit from banana trees,banana,mapspam,
gleam,Grains from barley (Hordeum vulgare),barley,mapspam,
gleam,Grains from maize (Zea mays),maize,mapspam,
gleam,Grains from millet,millet,mapspam,
gleam,Grains from rice,paddy rice,mapspam,
gleam,Grains from sorghum,sorghum,mapspam,
gleam,Grains from wheat (Triticum aestivum).,wheat,mapspam,
gleam,Household food waste and other organic material used as feed,,byproduct_other,
gleam,Leguminous beans,pulses,mapspam,potentially need to consolidate beans
gleam,Limestone,,byproduct_other,
gleam,Pellets from cassava (Manihot esculenta) roots,cassava,mapspam,
gleam,RAPESEED,rapeseed,mapspam,
gleam,Residual plant material such as stems from banana,,residues,
gleam,SOY OIL,oil of soya bean,mapspam,
gleam,SYNTHETIC,,byproduct_other,
salmon,soya protein concentrate,soy protein concentrate,mapspam,
salmon,wheat gluten,wheat gluten,mapspam,
salmon,corn gluten,maize gluten,mapspam,
salmon,faba beans,faba bean,mapspam,
salmon,sunflower meal,cake of sunflower seed,mapspam,
salmon,pea protein concentrate,pea protein,mapspam,
salmon,sunflower protein,cake of sunflower seed,mapspam,
salmon,other vegetable protein,cake,mapspam,
salmon,rapeseed and camelina oil,oil of rapeseed,mapspam,
salmon,linseed oil,oil of linseed,mapspam,
salmon,wheat,wheat,mapspam,
salmon,pea starch,pea other,mapspam,
salmon,undefined plant carbohydrate source,pulses,mapspam,this is a guess that these are primarily pulses
salmon,"marine protein sources, forage fish",fishmeal oil,fofm,
salmon,"marine protein sources, trimmings",,byproduct_other,
salmon,"marine oil, forage fish",fishmeal oil,fofm,
salmon,"marine oil, trimmings",,byproduct_other,
salmon,micro ingredients,,byproduct_other,
shrimp,maize meal,maize,mapspam,
Halley,soybean oil,oil of soya bean,mapspam,
Halley,sunflower oilcake,cake of sunflower seed,mapspam,
Halley,wheat meal,wheat,mapspam,
Halley,cassava meal,cassava,mapspam,
Halley,soybean cake,cake of soya beans,mapspam,
Halley,wheat bran,bran of wheat,mapspam,
Halley,fofm,fishmeal oil,fofm,
Halley,soybean meal,soybean,mapspam,
Halley,corn meal,maize,mapspam,
Halley,rapeseed meal,rapeseed,mapspam,
Halley,rapeseed oil,oil of rapeseed,mapspam,
Halley,other animal byproducts,,byproduct_other,
Halley,pea protein,pea protein,mapspam,
Halley,palm oil,oil of palm kernels,mapspam,
Halley,cassava,cassava,mapspam,
Halley,corn,maize,mapspam,
Halley ,sunflower oil,oil of sunflower seed,mapspam,
Halley,groundnut meal,groundnut,mapspam,
Halley,rice bran ,rice bran,mapspam,
