SPAM_super,iso3c_producing,human_feed_prop
bana,ABW,1
bana,AFG,0.9973894355090877
bana,AGO,0.9937747701404741
bana,AIA,1
bana,ALA,1
bana,ALB,1
bana,AND,0.9973894355090877
bana,ARE,0.9973894355090877
bana,ARG,0.9943592575723116
bana,ARM,1
bana,ASM,0.9973894355090877
bana,ATG,0.9973894355090877
bana,AUS,0.991111952530116
bana,AUT,1
bana,AZE,1
bana,BDI,0.9973894355090877
bana,BEL,1
bana,BEN,0.876086916258296
bana,BES,1
bana,BFA,1
bana,BGD,0.967332362887697
bana,BGR,0.9973894355090877
bana,BHR,0.9973894355090877
bana,BHS,0.9958090013573739
bana,BIH,1
bana,BLM,1
bana,BLR,1
bana,BLZ,0.9967845953176349
bana,BMU,0.987960883458184
bana,BOL,0.9395908090063165
bana,BRA,0.9866040395922093
bana,BRB,0.9775133439078184
bana,BRN,0.9917838130403526
bana,BTN,1
bana,BWA,1
bana,CAF,0.9425285220062524
bana,CAN,1
bana,CCK,1
bana,CHE,1
bana,CHL,1
bana,CHN,0.8574030933653123
bana,CIV,0.9401797436796246
bana,CMR,0.930981202373231
bana,COD,0.9758318141773433
bana,COG,0.9892626305939674
bana,COK,1
bana,COL,0.9854349030144232
bana,COM,1
bana,CPV,0.9565321294830748
bana,CRI,0.9883865075679961
bana,CUB,0.9750989841162829
bana,CUW,1
bana,CXR,1
bana,CYM,0.9973894355090877
bana,CYP,0.9849571777738234
bana,CZE,1
bana,DEU,1
bana,DJI,1
bana,DMA,0.9945764760855079
bana,DNK,1
bana,DOM,0.9843336340420799
bana,DZA,0.9973894355090877
bana,ECU,0.9929123682535969
bana,EGY,0.988687525595746
bana,ERI,0.9973894355090877
bana,ESH,1
bana,ESP,0.9884512541945811
bana,EST,1
bana,ETH,0.9843835843308707
bana,FIN,1
bana,FJI,0.7284402942930162
bana,FLK,1
bana,FRA,1
bana,FRO,1
bana,FSM,0.9973894355090877
bana,GAB,0.9780639576951274
bana,GBR,1
bana,GEO,1
bana,GGY,1
bana,GHA,0.9974486919189661
bana,GIB,1
bana,GIN,0.9887828508616814
bana,GLP,0.9973894355090877
bana,GMB,0.9973968862091096
bana,GNB,0.6114845870621632
bana,GNQ,0.9973894355090877
bana,GRC,0.9850216705272977
bana,GRD,0.9940805356900925
bana,GRL,1
bana,GTM,0.9850405062690336
bana,GUF,0.9973894355090877
bana,GUM,0.9973894355090877
bana,GUY,0.9851598604721851
bana,HKG,1
bana,HND,0.9887966488642526
bana,HRV,1
bana,HTI,0.9814243959222422
bana,HUN,1
bana,IDN,0.9411316108479559
bana,IMN,1
bana,IND,0.989595099986456
bana,IOT,1
bana,IRL,1
bana,IRN,0.9973894355090877
bana,IRQ,0.9973894355090877
bana,ISL,1
bana,ISR,0.9950470516678657
bana,ITA,0.9368631173095074
bana,JAM,0.9777894190270181
bana,JEY,1
bana,JOR,0.9925986988105253
bana,JPN,0.9946793586727198
bana,KAZ,1
bana,KEN,0.988542372740659
bana,KGZ,1
bana,KHM,0.9642599395006877
bana,KIR,0.9300171278364169
bana,KNA,1
bana,KOR,1
bana,KWT,1
bana,LAO,0.9783122283204672
bana,LBN,0.9701308879353295
bana,LBR,0.9594061293728122
bana,LBY,1
bana,LCA,0.9624237959569655
bana,LIE,1
bana,LKA,1
bana,LSO,0.9973894355090877
bana,LTU,1
bana,LUX,1
bana,LVA,1
bana,MAC,1
bana,MAF,1
bana,MAR,0.896659279181007
bana,MCO,1
bana,MDA,1
bana,MDG,0.9779238113495828
bana,MDV,0.9973894355090877
bana,MEX,0.9641903696174678
bana,MHL,1
bana,MKD,1
bana,MLI,0.7976752793028772
bana,MLT,1
bana,MMR,0
bana,MNE,1
bana,MNG,1
bana,MNP,1
bana,MOZ,0.9787573606004165
bana,MRT,1
bana,MSR,0.9973894355090877
bana,MTQ,0.9973894355090877
bana,MUS,0.9746445411661377
bana,MWI,0.9365483683426599
bana,MYS,0.9804683708747626
bana,MYT,1
bana,"NAM",1
bana,NCL,0.9382897199275875
bana,NER,1
bana,NFK,1
bana,NGA,0.9970641631940738
bana,NIC,0.9924086340246698
bana,NIU,0.9973894355090877
bana,NLD,1
bana,NOR,1
bana,NPL,0.9535898063184872
bana,NRU,1
bana,NZL,1
bana,OMN,0.9973894355090877
bana,PAK,0.9455138617883029
bana,PAN,0.9888225520722779
bana,PCN,1
bana,PER,0.8996458148448343
bana,PHL,0.9517448181136818
bana,PLW,1
bana,PNG,0.98951693508848515
bana,POL,1
bana,PRI,0.9973894355090877
bana,PRK,1
bana,PRT,0.988639151039807
bana,PRY,0.9402230860632166
bana,PSE,1
bana,PYF,0.9973950085807739
bana,QAT,1
bana,REU,1
bana,ROU,1
bana,RUS,1
bana,RWA,0.9951195621354627
bana,SAU,1
bana,SDN,0.9893924255102265
bana,SEN,0.561526023791466
bana,SGP,1
bana,SHN,1
bana,SJM,1
bana,SLB,0.9973947861731265
bana,SLE,0.9973894355090877
bana,SLV,1
bana,SMR,1
bana,SOM,0.9973894355090877
bana,SPM,1
bana,SRB,1
bana,SSD,1
bana,STP,0.9785870709036222
bana,SUR,0.9776522544929876
bana,SVK,1
bana,SVN,1
bana,SWE,1
bana,SWZ,0.9419561970045558
bana,SXM,1
bana,SYC,0.9704737577805489
bana,SYR,0.9748988484549912
bana,TCA,1
bana,TCD,1
bana,TGO,0.7524933657638833
bana,THA,0.9738726422809887
bana,TJK,1
bana,TKL,0.9973894355090877
bana,TKM,0.9973894355090877
bana,TLS,0
bana,TON,0.9973894355090877
bana,TTO,0.9973894355090877
bana,TUN,1
bana,TUR,0.9973863370515595
bana,TUV,1
bana,TWN,0.9702856569800037
bana,TZA,0.9958124485007367
bana,UGA,0.9872288467498924
bana,UKR,1
bana,URY,1
bana,USA,0.988222534274526
bana,UZB,1
bana,VCT,0.9957567811025166
bana,VEN,0.9841339183539873
bana,VGB,0.9973894355090877
bana,VIR,1
bana,VNM,0.9172032289210154
bana,VUT,0.5255646374907199
bana,WLF,0.9973894355090877
bana,WSM,1
bana,XKO,1
bana,XMI,1
bana,YEM,0.9359645284970272
bana,ZAF,0.9521783503824408
bana,ZMB,0.3283311775889185
bana,ZWE,0.976238724653388
barl,ABW,1
barl,AFG,0.8876523899259785
barl,AGO,1
barl,AIA,1
barl,ALA,0.9863337395989156
barl,ALB,0
barl,AND,1
barl,ARE,0
barl,ARG,0.8339819171276395
barl,ARM,0.947215110755266
barl,ASM,1
barl,ATG,1
barl,AUS,0.6317717103102936
barl,AUT,0.9467486065491947
barl,AZE,0.9592582429499827
barl,BDI,1
barl,BEL,0
barl,BEN,1
barl,BES,1
barl,BFA,1
barl,BGD,0.9863337395989156
barl,BGR,0.8734762553579632
barl,BHR,1
barl,BHS,1
barl,BIH,0.8516352463423535
barl,BLM,1
barl,BLR,0.6993676338104977
barl,BLZ,1
barl,BMU,1
barl,BOL,0
barl,BRA,0.616614399512062
barl,BRB,1
barl,BRN,1
barl,BTN,0.951592909620478
barl,BWA,1
barl,CAF,1
barl,CAN,0.8623526477594623
barl,CCK,1
barl,CHE,0.24984703525493535
barl,CHL,0.5467574035216848
barl,CHN,0.4943419800271066
barl,CIV,1
barl,CMR,1
barl,COD,0.9085426541534206
barl,COG,1
barl,COK,1
barl,COL,0.5465974058717511
barl,COM,1
barl,CPV,1
barl,CRI,1
barl,CUB,1
barl,CUW,1
barl,CXR,1
barl,CYM,1
barl,CYP,0.18741280368571311
barl,CZE,0.8685983720980579
barl,DEU,0.6891313841583746
barl,DJI,1
barl,DMA,1
barl,DNK,0.841509403072741
barl,DOM,1
barl,DZA,0.9760046473744753
barl,ECU,0.5693481923970058
barl,EGY,0.7703036752926881
barl,ERI,0.9863057905483551
barl,ESH,0.9863337395989156
barl,ESP,0.9671742411289004
barl,EST,0.9685875699464712
barl,ETH,0.9681158355702686
barl,FIN,0.9734441574664091
barl,FJI,1
barl,FLK,1
barl,FRA,0.7994898663274727
barl,FRO,1
barl,FSM,1
barl,GAB,1
barl,GBR,0.9632719009854472
barl,GEO,0.721210266987163
barl,GGY,1
barl,GHA,1
barl,GIB,1
barl,GIN,1
barl,GLP,1
barl,GMB,1
barl,GNB,1
barl,GNQ,1
barl,GRC,0.9616344977053455
barl,GRD,1
barl,GRL,1
barl,GTM,0.8816713757383945
barl,GUF,1
barl,GUM,1
barl,GUY,1
barl,HKG,1
barl,HND,1
barl,HRV,0.9084990651317889
barl,HTI,1
barl,HUN,0.8428185422995464
barl,IDN,1
barl,IMN,1
barl,IND,0.6384628654410482
barl,IOT,1
barl,IRL,0.9624850638014748
barl,IRN,0.6952156487540091
barl,IRQ,0.6647640105993955
barl,ISL,1
barl,ISR,0.8994512073122931
barl,ITA,0.9670936880975016
barl,JAM,1
barl,JEY,1
barl,JOR,0.946739526358222
barl,JPN,0.2940175270771651
barl,KAZ,0.9556338301563636
barl,KEN,0
barl,KGZ,0.976586250186289
barl,KHM,1
barl,KIR,1
barl,KNA,1
barl,KOR,0
barl,KWT,0.8776022711251245
barl,LAO,0
barl,LBN,0.3163703125682966
barl,LBR,1
barl,LBY,0.9848343009496957
barl,LCA,1
barl,LIE,1
barl,LKA,1
barl,LSO,0.9654757732992305
barl,LTU,0.9444471552379756
barl,LUX,0.7525664767206295
barl,LVA,0.928156334959774
barl,MAC,1
barl,MAF,1
barl,MAR,0.976902339344205
barl,MCO,1
barl,MDA,0.6231493935327317
barl,MDG,1
barl,MDV,1
barl,MEX,0.1780657615714346
barl,MHL,1
barl,MKD,0.9469044698633913
barl,MLI,1
barl,MLT,0.5634829788117074
barl,MMR,0
barl,MNE,0.7433790156925424
barl,MNG,0.7216998216765611
barl,MNP,1
barl,MOZ,0
barl,MRT,0
barl,MSR,1
barl,MTQ,1
barl,MUS,1
barl,MWI,1
barl,MYS,1
barl,MYT,1
barl,"NAM",1
barl,NCL,1
barl,NER,1
barl,NFK,1
barl,NGA,1
barl,NIC,1
barl,NIU,1
barl,NLD,0
barl,NOR,0.9696290199390344
barl,NPL,0
barl,NRU,1
barl,NZL,0.8327638913385416
barl,OMN,0.4910740447518849
barl,PAK,0
barl,PAN,1
barl,PCN,1
barl,PER,0.7203241165050105
barl,PHL,1
barl,PLW,1
barl,PNG,1
barl,POL,0.8189654274193804
barl,PRI,1
barl,PRK,0
barl,PRT,0.420860773770833
barl,PRY,1
barl,PSE,1
barl,PYF,1
barl,QAT,0.9205430955606597
barl,REU,1
barl,ROU,0.8851845802324918
barl,RUS,0.9157331470985055
barl,RWA,0
barl,SAU,0.9562925143542291
barl,SDN,1
barl,SEN,0.9863337395989156
barl,SGP,1
barl,SHN,1
barl,SJM,1
barl,SLB,1
barl,SLE,1
barl,SLV,1
barl,SMR,1
barl,SOM,1
barl,SPM,1
barl,SRB,0.31080447008138024
barl,SSD,1
barl,STP,1
barl,SUR,1
barl,SVK,0.8427109149842954
barl,SVN,0.9428249209994712
barl,SWE,0.9272796972285934
barl,SWZ,1
barl,SXM,1
barl,SYC,1
barl,SYR,0.9771077256630907
barl,TCA,1
barl,TCD,1
barl,TGO,1
barl,THA,0.8806907294813432
barl,TJK,0.9420594615687748
barl,TKL,1
barl,TKM,0.4454419357847731
barl,TLS,1
barl,TON,1
barl,TTO,1
barl,TUN,0.9734343167782008
barl,TUR,0.93375260865953
barl,TUV,1
barl,TWN,1
barl,TZA,0
barl,UGA,1
barl,UKR,0.880323468840204
barl,URY,0.7639405119947069
barl,USA,0.8534281825120238
barl,UZB,0.4798679088353378
barl,VCT,1
barl,VEN,1
barl,VGB,1
barl,VIR,1
barl,VNM,1
barl,VUT,1
barl,WLF,1
barl,WSM,1
barl,XKO,0.9863337395989156
barl,XMI,1
barl,YEM,0
barl,ZAF,0.8953590779104914
barl,ZMB,0.1548119952432968
barl,ZWE,0
coco,ABW,1
coco,AFG,1
coco,AGO,1
coco,AIA,1
coco,ALA,1
coco,ALB,1
coco,AND,1
coco,ARE,1
coco,ARG,1
coco,ARM,1
coco,ASM,1
coco,ATG,1
coco,AUS,1
coco,AUT,1
coco,AZE,1
coco,BDI,1
coco,BEL,1
coco,BEN,1
coco,BES,1
coco,BFA,1
coco,BGD,1
coco,BGR,1
coco,BHR,1
coco,BHS,1
coco,BIH,1
coco,BLM,1
coco,BLR,1
coco,BLZ,1
coco,BMU,1
coco,BOL,1
coco,BRA,1
coco,BRB,1
coco,BRN,1
coco,BTN,1
coco,BWA,1
coco,CAF,1
coco,CAN,1
coco,CCK,1
coco,CHE,1
coco,CHL,1
coco,CHN,1
coco,CIV,1
coco,CMR,1
coco,COD,1
coco,COG,1
coco,COK,1
coco,COL,1
coco,COM,1
coco,CPV,1
coco,CRI,1
coco,CUB,1
coco,CUW,1
coco,CXR,1
coco,CYM,1
coco,CYP,1
coco,CZE,1
coco,DEU,1
coco,DJI,1
coco,DMA,1
coco,DNK,1
coco,DOM,1
coco,DZA,1
coco,ECU,1
coco,EGY,1
coco,ERI,1
coco,ESH,1
coco,ESP,1
coco,EST,1
coco,ETH,1
coco,FIN,1
coco,FJI,1
coco,FLK,1
coco,FRA,1
coco,FRO,1
coco,FSM,1
coco,GAB,1
coco,GBR,1
coco,GEO,1
coco,GGY,1
coco,GHA,1
coco,GIB,1
coco,GIN,1
coco,GLP,1
coco,GMB,1
coco,GNB,1
coco,GNQ,1
coco,GRC,1
coco,GRD,1
coco,GRL,1
coco,GTM,1
coco,GUF,1
coco,GUM,1
coco,GUY,1
coco,HKG,1
coco,HND,1
coco,HRV,1
coco,HTI,1
coco,HUN,1
coco,IDN,1
coco,IMN,1
coco,IND,1
coco,IOT,1
coco,IRL,1
coco,IRN,1
coco,IRQ,1
coco,ISL,1
coco,ISR,1
coco,ITA,1
coco,JAM,1
coco,JEY,1
coco,JOR,1
coco,JPN,1
coco,KAZ,1
coco,KEN,1
coco,KGZ,1
coco,KHM,1
coco,KIR,1
coco,KNA,1
coco,KOR,1
coco,KWT,1
coco,LAO,1
coco,LBN,1
coco,LBR,1
coco,LBY,1
coco,LCA,1
coco,LIE,1
coco,LKA,1
coco,LSO,1
coco,LTU,1
coco,LUX,1
coco,LVA,1
coco,MAC,1
coco,MAF,1
coco,MAR,1
coco,MCO,1
coco,MDA,1
coco,MDG,1
coco,MDV,1
coco,MEX,1
coco,MHL,1
coco,MKD,1
coco,MLI,1
coco,MLT,1
coco,MMR,1
coco,MNE,1
coco,MNG,1
coco,MNP,1
coco,MOZ,1
coco,MRT,1
coco,MSR,1
coco,MTQ,1
coco,MUS,1
coco,MWI,1
coco,MYS,1
coco,MYT,1
coco,"NAM",1
coco,NCL,1
coco,NER,1
coco,NFK,1
coco,NGA,1
coco,NIC,1
coco,NIU,1
coco,NLD,1
coco,NOR,1
coco,NPL,1
coco,NRU,1
coco,NZL,1
coco,OMN,1
coco,PAK,1
coco,PAN,1
coco,PCN,1
coco,PER,1
coco,PHL,1
coco,PLW,1
coco,PNG,1
coco,POL,1
coco,PRI,1
coco,PRK,1
coco,PRT,1
coco,PRY,1
coco,PSE,1
coco,PYF,1
coco,QAT,1
coco,REU,1
coco,ROU,1
coco,RUS,1
coco,RWA,1
coco,SAU,1
coco,SDN,1
coco,SEN,1
coco,SGP,1
coco,SHN,1
coco,SJM,1
coco,SLB,1
coco,SLE,1
coco,SLV,1
coco,SMR,1
coco,SOM,1
coco,SPM,1
coco,SRB,1
coco,SSD,1
coco,STP,1
coco,SUR,1
coco,SVK,1
coco,SVN,1
coco,SWE,1
coco,SWZ,1
coco,SXM,1
coco,SYC,1
coco,SYR,1
coco,TCA,1
coco,TCD,1
coco,TGO,1
coco,THA,1
coco,TJK,1
coco,TKL,1
coco,TKM,1
coco,TLS,1
coco,TON,1
coco,TTO,1
coco,TUN,1
coco,TUR,1
coco,TUV,1
coco,TWN,1
coco,TZA,1
coco,UGA,1
coco,UKR,1
coco,URY,1
coco,USA,1
coco,UZB,1
coco,VCT,1
coco,VEN,1
coco,VGB,1
coco,VIR,1
coco,VNM,1
coco,VUT,1
coco,WLF,1
coco,WSM,1
coco,XKO,1
coco,XMI,1
coco,YEM,1
coco,ZAF,1
coco,ZMB,1
coco,ZWE,1
ocer,ABW,1
ocer,AFG,0.11012538959194706
ocer,AGO,1
ocer,AIA,1
ocer,ALA,0.11012538959194706
ocer,ALB,0
ocer,AND,0.11012538959194718
ocer,ARE,0
ocer,ARG,0
ocer,ARM,0.10949649556088659
ocer,ASM,1
ocer,ATG,1
ocer,AUS,0
ocer,AUT,0.08681660829370541
ocer,AZE,0.11012263481747164
ocer,BDI,0
ocer,BEL,0
ocer,BEN,0
ocer,BES,1
ocer,BFA,0
ocer,BGD,1
ocer,BGR,0
ocer,BHR,1
ocer,BHS,1
ocer,BIH,0.07839027710719437
ocer,BLM,1
ocer,BLR,0.08834092244954483
ocer,BLZ,1
ocer,BMU,1
ocer,BOL,0
ocer,BRA,0
ocer,BRB,1
ocer,BRN,1
ocer,BTN,0.11012538959194718
ocer,BWA,0
ocer,CAF,0.11012538959194706
ocer,CAN,0
ocer,CCK,1
ocer,CHE,0
ocer,CHL,0
ocer,CHN,0.026582840501283567
ocer,CIV,0.04804045219705955
ocer,CMR,0.10193936451881969
ocer,COD,1
ocer,COG,0.11012538959194706
ocer,COK,1
ocer,COL,0
ocer,COM,1
ocer,CPV,1
ocer,CRI,1
ocer,CUB,1
ocer,CUW,1
ocer,CXR,1
ocer,CYM,1
ocer,CYP,0.10577960260548402
ocer,CZE,0.07359054767949502
ocer,DEU,0.06975844978552359
ocer,DJI,1
ocer,DMA,1
ocer,DNK,0.07916055005316724
ocer,DOM,1
ocer,DZA,0
ocer,ECU,0
ocer,EGY,0.07986753747752962
ocer,ERI,0.11012538959194706
ocer,ESH,1
ocer,ESP,0.0806360420641864
ocer,EST,0.08133541128761845
ocer,ETH,0.07108839299957759
ocer,FIN,0.08269686155823763
ocer,FJI,1
ocer,FLK,1
ocer,FRA,0.03998286116633465
ocer,FRO,1
ocer,FSM,1
ocer,GAB,0.11012538959194706
ocer,GBR,0
ocer,GEO,0.11012538959194706
ocer,GGY,1
ocer,GHA,0
ocer,GIB,1
ocer,GIN,0.08878812443575024
ocer,GLP,1
ocer,GMB,0.11006827331933045
ocer,GNB,0
ocer,GNQ,1
ocer,GRC,0.06717574471695675
ocer,GRD,1
ocer,GRL,1
ocer,GTM,1
ocer,GUF,1
ocer,GUM,1
ocer,GUY,1
ocer,HKG,1
ocer,HND,1
ocer,HRV,0.04624367157090037
ocer,HTI,1
ocer,HUN,0.07300013666096117
ocer,IDN,1
ocer,IMN,1
ocer,IND,0
ocer,IOT,1
ocer,IRL,0
ocer,IRN,0.10580034747804123
ocer,IRQ,0.10412465520384129
ocer,ISL,1
ocer,ISR,0
ocer,ITA,0
ocer,JAM,1
ocer,JEY,1
ocer,JOR,1
ocer,JPN,0
ocer,KAZ,0.10570956962232769
ocer,KEN,0
ocer,KGZ,0
ocer,KHM,1
ocer,KIR,1
ocer,KNA,1
ocer,KOR,0.010289341852646405
ocer,KWT,1
ocer,LAO,0
ocer,LBN,0
ocer,LBR,0.1101266447615884
