iso3c,SPAM_super,percent
AFG,barl,0.1153184165232358
AFG,cnut,0.0017211703958691911
AFG,maiz,0.19104991394148021
AFG,ocer,0.43717728055077454
AFG,sugb,0.0189328743545611
AFG,sugc,0.01549053356282272
AFG,whea,0.13080895008605853
AFG,xoil,0.0068846815834767644
AFG,xpul,0.08261617900172118
ALB,barl,0.00831255195344971
ALB,maiz,0.314214463840399
ALB,ocer,0.38985868661679135
ALB,orts,0.06151288445552785
ALB,pota,0.06151288445552785
ALB,sugb,0.0016625103906899418
ALB,vege,0.142975893599335
ALB,whea,0.01662510390689942
ALB,xpul,0.0033250207813798837
DZA,barl,0.08389674247080517
DZA,maiz,0.30895308338455235
DZA,ocer,0.5045072730997746
DZA,rice,2.048760499897562e-4
DZA,whea,0.09803318992009834
DZA,xmil,1.024380249948781e-4
DZA,xoil,6.146281499692685e-4
DZA,xpul,0.0036877688998156115
AGO,cass,0.37525864617203664
AGO,maiz,0.05387230268992019
AGO,ocer,0.059266922849541825
AGO,orts,0.43378657995861664
AGO,pota,0.005764114691102572
AGO,rice,4.433934377771209e-4
AGO,sorg,0.004212237658882649
AGO,soyb,1.4779781259237365e-4
AGO,sugb,4.433934377771209e-4
AGO,sugc,4.433934377771209e-4
AGO,swpo,0.052763819095477386
AGO,whea,7.389890629618682e-5
AGO,xmil,5.911912503694946e-4
AGO,xoil,2.2169671888856046e-4
AGO,xpul,0.012710611882944133
ARG,barl,6.870409855484483e-4
ARG,cass,0.00222696043591566
ARG,maiz,0.32741056621653636
ARG,ocer,0.3960672826344468
ARG,orts,0.00222696043591566
ARG,rice,0.0017768301350390902
ARG,sorg,0.04695569770196636
ARG,soyb,0.09872068230277185
ARG,xmil,4.738213693437574e-5
ARG,xoil,0.123833214877991
ARG,xpul,4.738213693437574e-5
ARM,barl,0.09000989119683482
ARM,maiz,0.03165182987141444
ARM,ocer,0.23936696340257171
ARM,orts,0.21266073194856577
ARM,pota,0.21266073194856577
ARM,sugb,0.0019782393669634025
ARM,vege,0.10484668644906034
ARM,whea,0.10385756676557864
ARM,xoil,0.002967359050445104
AUS,barl,0.11169570883815225
AUS,maiz,0.010860645846406333
AUS,ocer,0.5321716464739104
AUS,orts,0.0014480861128541777
AUS,pota,0.0012067384273784815
AUS,sorg,0.02799633151518077
AUS,soyb,6.275039822368104e-4
AUS,sugc,2.8961722257083556e-4
AUS,swpo,1.9307814838055704e-4
AUS,whea,0.20456629820920016
AUS,xmil,0.0016411642612347347
AUS,xoil,8.205821306173673e-4
AUS,xpul,0.1064825988318772
AUT,barl,0.10629394040843655
AUT,maiz,0.21141613659189823
AUT,ocer,0.5490458654168061
AUT,orts,8.369601606963508e-4
AUT,pota,8.369601606963508e-4
AUT,sorg,0.0035152326749246735
AUT,soyb,0.013223970539002344
AUT,sugc,5.021760964178105e-4
