ext_rate,product,crop,processing,source,crop_loss,
100,soybean,soybean,0,NA,0,
33,soy protein concentrate,soybean,1,"FAO (http://www.fao.org/3/t0532e/t0532e06.htm, http://www.fao.org/3/t0532e/t0532e07.htm)",12,
55,soy other,soybean,1,"FAO (http://www.fao.org/3/t0532e/t0532e06.htm, http://www.fao.org/3/t0532e/t0532e07.htm)",12,
25,pea protein,pea,1,FAO and https://www.sciencedirect.com/science/article/pii/B9780128114490000074,12,
63,pea other,pea,1,FAO and https://www.sciencedirect.com/science/article/pii/B9780128114490000074,12,
100,maize,maize,0,NA,0,
11,bran of maize,maize,1,FAO TCF,1,
6,germ of maize,maize,1,FAO TCF,1,
82,flour of maize,maize,1,FAO TCF,1,
10,maize gluten,maize,2,FAO TCF,16,
74,starch of maize,maize,2,FAO TCF,16,
45,oil of maize,maize,3,FAO TCF,4,
51,cake of maize,maize,3,FAO TCF,4,
100,wheat,wheat,0,NA,0,
18,bran of wheat,wheat,1,FAO TCF,1,
79,flour of wheat,wheat,1,FAO TCF,1,
2,germ of wheat,wheat,1,FAO TCF,1,
15,wheat gluten,wheat,2,FAO TCF,1,
84,wheat starch,wheat,2,FAO TCF,1,
79,cake of soya beans,soybean,2,FAO TCF,3,
18,oil of soya bean,soybean,2,FAO TCF,3,
60,cake of rapeseed,rapeseed,1,FAO TCF,2,
38,oil of rapeseed,rapeseed,1,FAO TCF,2,
100,sorghum,sorghum,0,NA,0,
100,barley,barley,0,NA,0,
100,rapeseed,rapeseed,0,NA,0,
100,faba bean,faba bean,0,NA,0,
23,fishmeal,forage fish,1,https://www.iffo.net/system/files/EAS%20FIFO%20September2009%202_0.pdf,72,
5,fish oil,forage fish,1,https://www.iffo.net/system/files/EAS%20FIFO%20September2009%202_0.pdf,72,
8,cake of coconuts,coconut,3,FAO TCF,79,
13,oil of coconuts,coconut,3,FAO TCF,79,
20,dessicated coconut,coconut,1,FAO TCF,80,
21,copra,coconut,2,FAO TCF,79,
70,groundnut,shelled groundnuts,1,FAO TCF,30,
38,cake of groundnuts,shelled groundnuts,2,FAO TCF,32,
30,oil of groundnuts,shelled groundnuts,2,FAO TCF,32,
63,cake of linseed,linseed,1,FAO TCF,2,
35,oil of linseed,linseed,1,FAO TCF,2,
60,cake of mustard,mustard,1,FAO TCF,4,
36,oil of mustard seed,mustard,1,FAO TCF,4,
12,cake of palm kernels,palm kernel,2,FAO TCF,77,
11,oil of palm kernels,palm kernel,2,FAO TCF,77,
19,palm oil,palm kernel,1,FAO TCF,75,
6,palm kernels,palm kernel,1,FAO TCF,75,
63,cake of safflower,safflower,1,FAO TCF,3,
34,oil of safflower,safflower,1,FAO TCF,3,
51,cake of sesame seed,sesame seed,1,FAO TCF,6,
43,oil of sesame seed,sesame seed,1,FAO TCF,6,
47,cake of sunflower seed,sunflower seed,1,FAO TCF,12,
41,oil of sunflower seed,sunflower seed,1,FAO TCF,12,
20,olive oil,olive,1,FAO TCF,40,
40,olive residues,olive,1,FAO TCF,40,
63,cottonseed,cottonseed,1,FAO TFC,0,
35,cotton lint,cottonseed,1,FAO TFC,0,
2,cotton waste,cottonseed,1,FAO TFC,0,
16,oil of cottonseed,cottonseed,2,FAO TFC,23,
51,cake of cottonseed,cottonseed,2,FAO TFC,23,
10,cotton linters,cottonseed,2,FAO TFC,23,
100,sugar beets,sugar beets,0,NA,0,
14,raw centrifugal beet sugar,sugar beets,1,FAO TFC,75,
4,molasses,sugar beets,1,FAO TFC,75,
7,dry beet pulp,sugar beets,1,FAO TFC,75,
100,paddy rice,paddy rice,0,NA,0,
77,husked rice,paddy rice,1,FAO TFC,23,
67,milled paddy rice,paddy rice,1,FAO TFC,25,
8,rice bran,paddy rice,1,FAO TFC,25,
100,millet,millet,0,NA,0,
100,banana,banana,0,NA,0,
100,mixed grain,mixed grain,0,NA,0,
35,cassava,cassava,1,FAO TCF,65,assuming dried cassava
95,pulses,pulses,0,FAO TCF,5,
95,cake,oilcrops,1,estimate,5,general average of other cake products
