species,isscaap,isscaap_num,global_catch,common_name,Genus,Subfamily,Family,Order,Class,SuperClass
Ablennes hians,Mackerels snoeks cutlassfishes,37,52.41565,NA,Ablennes,NA,Belonidae,Beloniformes,Actinopterygii,Osteichthyes
Abudefduf luridus,Misc Finfishes,39,0.01009,NA,NA,NA,NA,NA,NA,NA
Acanthistius brasilianus,Redfishes basses congers,33,1179.07161,NA,Acanthistius,Anthiinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Acanthocybium solandri,Tunas bonitos billfishes,36,13627.2987,NA,Acanthocybium,Scombrinae,Scombridae,Perciformes,Actinopterygii,Osteichthyes
Acanthopagrus berda,Redfishes basses congers,33,174.72235,NA,Acanthopagrus,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Acanthopagrus bifasciatus,Redfishes basses congers,33,9337.5439,NA,Acanthopagrus,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Acanthopagrus latus,Redfishes basses congers,33,935.0586500000001,NA,Acanthopagrus,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Acanthopagrus schlegelii schlegelii,Redfishes basses congers,33,237.8408,NA,NA,NA,NA,NA,NA,NA
Acanthuridae,Redfishes basses congers,33,11591.76533,NA,NA,NA,NA,NA,NA,NA
Acanthurus sohal,Redfishes basses congers,33,42.68797,NA,Acanthurus,Acanthurinae,Acanthuridae,Perciformes,Actinopterygii,Osteichthyes
Acetes japonicus,Shrimps prawns,45,587140.24955,NA,NA,NA,NA,NA,NA,NA
Aequipecten opercularis,Scallops pectens,55,24358.57381,NA,NA,NA,NA,NA,NA,NA
Aethaloperca rogaa,Redfishes basses congers,33,42.687870000000004,NA,Aethaloperca,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Albula vulpes,Herrings sardines anchovies,35,966.07136,Salmon peel,Albula,Albulinae,Albulidae,Albuliformes,Actinopterygii,Osteichthyes
Alectis alexandrinus,Mackerels snoeks cutlassfishes,37,3801.83499,NA,NA,NA,NA,NA,NA,NA
Alepes djedaba,Mackerels snoeks cutlassfishes,37,408.22057,Shrimp caranx,Alepes,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes
Alepocephalus bairdii,Salmons trouts smelts,23,831.94282,NA,Alepocephalus,NA,Alepocephalidae,Osmeriformes,Actinopterygii,Osteichthyes
Alopias,Sharks rays skates etc,38,29683.91099,NA,NA,NA,NA,NA,NA,NA
Alopias superciliosus,Sharks rays skates etc,38,796.37065,NA,Alopias,NA,Alopiidae,Lamniformes,Elasmobranchii,Chondrichthyes
Alopias vulpinus,Sharks rays skates etc,38,343.1359,NA,Alopias,NA,Alopiidae,Lamniformes,Elasmobranchii,Chondrichthyes
Alosa,Shads,24,2184.49602,NA,NA,NA,NA,NA,NA,NA
Alosa aestivalis,Shads,24,1.32783,NA,Alosa,Alosinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Alosa alosa,Shads,24,30.06506,NA,Alosa,Alosinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Alosa fallax,Shads,24,3.57404,NA,Alosa,Alosinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Alosa immaculata,Shads,24,313.21093,NA,Alosa,Alosinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
