Area,Export Quantity,Domestic supply quantity,Residuals,Import Quantity,Feed,Production,Stock Variation,Losses,Tourist consumption,Food,Food supply quantity (kg/capita/yr),Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day),Other uses (non-food),Seed
Antigua and Barbuda,0,0,0,0,NA,0,0,0,0,0,1.33,3,0.06,0,NA,NA
Barbados,NA,0,0,NA,NA,0,0,0,0,0,0.85,2,0.04,0,NA,NA
Belize,NA,0,0,NA,NA,0,0,0,0,0,0.07,0,0,0,NA,0
Germany,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,NA
Grenada,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA
Saint Kitts and Nevis,NA,0,0,NA,NA,0,0,0,0,0,0.33,1,0,0,NA,NA
Trinidad and Tobago,NA,0,0,0,NA,0,0,0,0,0,0.02,0,0,0,NA,NA
Nicaragua,0,1,0,0,NA,1,0,0,NA,1,0.14,0,0.01,0,NA,NA
Saint Lucia,0,1,0,0,NA,1,0,0,0,1,2.89,7,0.14,0.02,0,NA
Guyana,NA,1,0,NA,NA,2,1,0,NA,0,0.47,1,0.02,0,NA,0
New Caledonia,NA,2,0,0,1,2,0,0,0,1,4.29,11,0.2,0.01,NA,NA
Portugal,0,2,0,0,0,2,0,0,NA,2,0.17,0,0.01,0,NA,0
Sao Tome and Principe,NA,2,0,NA,NA,2,0,0,0,2,10.13,28,0.36,0.05,NA,NA
Mauritania,NA,3,0,NA,NA,3,0,0,NA,3,0.64,2,0.03,0,NA,NA
Saint Vincent and the Grenadines,NA,2,0,NA,2,3,0,0,0,1,6.95,19,0.25,0.05,NA,NA
Fiji,0,5,0,0,NA,4,0,0,0,4,4.95,13,0.23,0.01,NA,NA
Comoros,NA,5,0,NA,NA,5,0,0,0,4,4.7,13,0.17,0.03,NA,0
Burundi,NA,8,0,NA,0,6,-2,0,NA,7,0.69,2,0.02,0,NA,NA
Samoa,0,6,0,NA,1,7,1,0,0,4,22.75,58,1.05,0.06,NA,NA
United Republic of Tanzania,0,8,0,NA,NA,8,0,1,NA,7,0.12,0,0.01,0,NA,1
Kenya,0,14,0,NA,2,10,-4,1,0,11,0.21,1,0.01,0,NA,1
Panama,0,11,0,0,NA,11,0,1,NA,10,2.36,6,0.12,0.01,NA,1
Philippines,0,14,0,0,1,14,0,0,NA,13,0.12,0,0.01,0,NA,0
Dominica,0,15,0,0,7,15,0,2,2,4,50.86,141,1.81,0.27,0,1
Congo,NA,16,0,NA,NA,16,-1,1,NA,15,2.99,8,0.11,0.02,NA,NA
Liberia,NA,22,0,0,NA,21,-1,2,NA,20,4.28,12,0.19,0.02,NA,NA
Costa Rica,13,11,0,NA,1,24,0,2,0,7,1.32,4,0.05,0.01,NA,1
Dominican Republic,0,33,0,0,NA,33,0,2,0,30,2.85,7,0.14,0.02,NA,NA
Solomon Islands,NA,48,0,0,1,46,-2,1,0,46,72.84,186,3.39,0.2,NA,NA
Burkina Faso,NA,47,0,0,NA,47,0,4,NA,43,2.25,6,0.1,0.01,NA,NA
Ethiopia,NA,49,0,NA,1,49,0,4,NA,39,0.37,1,0.01,0,NA,5
Rwanda,NA,54,0,0,8,50,-4,4,NA,42,3.52,10,0.15,0.02,NA,NA
Venezuela (Bolivarian Republic of),0,53,0,NA,NA,53,0,5,NA,44,1.5,4,0.07,0.01,NA,4
Senegal,0,72,0,0,0,72,0,4,NA,68,4.39,12,0.16,0.02,NA,NA
Mali,NA,112,0,12,2,79,-22,4,NA,99,5.37,15,0.24,0.03,NA,6
Cuba,NA,83,0,NA,17,83,0,3,3,60,5.29,15,0.19,0.03,NA,NA
Guinea,0,97,0,NA,6,86,-12,13,NA,78,6.5,18,0.28,0.04,NA,NA
Democratic Republic of the Congo,0,107,0,NA,2,107,0,8,NA,87,1.07,3,0.05,0.01,NA,11
Jamaica,15,130,0,NA,15,144,0,12,2,101,34.59,85,1.99,0.19,NA,NA
Japan,5,158,0,1,4,159,-1,10,NA,137,1.07,3,0.05,0,NA,7
Sudan,NA,183,0,NA,NA,181,-2,11,NA,173,4.23,12,0.15,0.02,NA,NA
Gabon,NA,213,0,1,25,224,11,39,NA,131,63.58,174,2.79,0.35,NA,18
Brazil,2,216,0,0,63,251,33,19,NA,121,0.58,2,0.02,0,NA,13
Haiti,NA,286,0,0,36,286,0,57,NA,192,17.52,43,0.86,0.1,NA,NA
Colombia,7,358,0,NA,0,365,0,27,NA,279,5.71,14,0.28,0.03,NA,51
Papua New Guinea,NA,384,0,NA,1,369,-15,28,NA,356,42.16,107,1.96,0.12,NA,NA
Central African Republic,NA,496,0,NA,NA,496,0,37,NA,417,90.72,249,3.98,0.5,NA,41
Chad,NA,521,0,NA,139,521,0,39,NA,343,22.82,63,0.81,0.12,NA,NA
Cameroon,0,640,0,0,8,649,9,130,NA,373,15.17,42,0.66,0.08,NA,130
Togo,0,798,0,NA,118,827,29,17,NA,608,78.92,216,3.46,0.43,NA,55
Benin,0,3244,0,NA,344,3244,0,244,NA,1750,156.6,429,6.86,0.86,200,706
C?te d'Ivoire,11,7129,0,0,344,7148,8,538,NA,4811,196.86,539,8.63,1.08,NA,1436
Ghana,16,7841,0,0,505,7857,0,1284,NA,4591,157.65,432,6.91,0.86,1460,NA
Nigeria,0,54083,20170,0,5408,54083,0,2704,NA,23000,120.5,330,5.28,0.66,2800,NA
Afghanistan,1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,0,1,0,1,NA,NA,0,NA,NA,1,0.02,0,0,0,0,NA
Austria,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,NA,NA
Bahamas,NA,0,0,0,NA,NA,0,NA,0,0,0.02,0,0,0,NA,NA
Bangladesh,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,4,0,0,4,0,NA,0,NA,NA,0,0.01,0,0,0,NA,NA
Botswana,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,NA,NA
Bulgaria,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cabo Verde,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cambodia,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,NA,NA
Canada,0,20,0,20,5,NA,0,NA,NA,15,0.42,1,0.01,0,NA,NA
China,9,-6,-9,3,NA,NA,1,NA,0,2,0,0,0,0,NA,NA
"China, Hong Kong SAR",0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,NA,NA
"China, Macao SAR",NA,0,0,0,NA,NA,0,NA,NA,0,0.41,1,0.01,0,NA,NA
"China, mainland",9,-9,-9,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China, Taiwan Province of",0,2,0,3,NA,NA,1,NA,NA,2,0.09,0,0,0,NA,NA
Czechia,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denmark,NA,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,NA,NA
