Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"GY","Synthetic Fertilizers","2","Afghanistan","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","2017","2017","kg of nutrients","140775853.2","Fb","Data obtained as a balance",""
"GY","Synthetic Fertilizers","2","Afghanistan","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","2017","2017","kg of nutrients","42232755.96","Fc","Calculated data",""
"GY","Synthetic Fertilizers","2","Afghanistan","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","2017","2017","kg of nutrients","14077585.32","Fc","Calculated data",""
"GY","Synthetic Fertilizers","2","Afghanistan","72293","Implied emission factor for N2O (Synthetic fertilizers)","3102","Nutrient nitrogen N (total)","2017","2017","kg N2O-N/kg N","0.0132","Fc","Calculated data",""
"GY","Synthetic Fertilizers","2","Afghanistan","72343","Direct emissions (N2O) (Synthetic fertilizers)","3102","Nutrient nitrogen N (total)","2017","2017","gigagrams","2.2122","Fc","Calculated data",""
"GY","Synthetic Fertilizers","2","Afghanistan","72353","Direct emissions (CO2eq) (Synthetic fertilizers)","3102","Nutrient nitrogen N (total)","2017","2017","gigagrams","685.7795","Fc","Calculated data",""
"GY","Synthetic Fertilizers","2","Afghanistan","723632","Indirect emissions (N2O that leaches) (Synthetic fertilizers)","3102","Nutrient nitrogen N (total)","2017","2017","gigagrams","0.4977","Fc","Calculated data",""
"GY","Synthetic Fertilizers","2","Afghanistan","723631","Indirect emissions (N2O that volatilises) (Synthetic fertilizers)","3102","Nutrient nitrogen N (total)","2017","2017","gigagrams","0.2212","Fc","Calculated data",""
"GY","Synthetic Fertilizers","2","Afghanistan","72363","Indirect emissions (N2O) (Synthetic fertilizers)","3102","Nutrient nitrogen N (total)","2017","2017","gigagrams","0.719","Fc","Calculated data",""
"GY","Synthetic Fertilizers","2","Afghanistan","72373","Indirect emissions (CO2eq) (Synthetic fertilizers)","3102","Nutrient nitrogen N (total)","2017","2017","gigagrams","222.8783","Fc","Calculated data",""
