SPAM_super,Year,Unit,domestic_supply,Feed,Food,Losses,Other,Processing,Seed,feed_prop,food_prop,losses_prop,other_prop,processing_prop,seed_prop
maiz,2017,1000 tonnes,1109935,621386,139196,63660,226705,50874,7982,55.98399906300819,12.540914558059708,5.735470996049318,20.425069936527816,4.583511647078432,0.7191412109718137
sugc,2017,1000 tonnes,1838882,55841,34211,131431,337652,1258962,28626,3.0366820709539817,1.860423887992813,7.147331911454895,18.361808968710335,68.46344681170406,1.556706738115877
cnut,2017,1000 tonnes,56188,3154,18356,4014,6973,23195,144,5.613298213141596,32.66889727343917,7.143874136826368,12.410123157969673,41.28105645333523,0.25628248024489214
cass,2017,1000 tonnes,281449,86612,141061,24097,25658,7669,0,30.773603743484614,50.11955984920892,8.561764298327583,9.116394089160025,2.72482758865727,0
yams,2017,1000 tonnes,77644,7069,38215,5258,4460,0,2488,9.104373808665189,49.21822677863067,6.771933439802175,5.744165679254031,0,3.2043686569470915
orts,2017,1000 tonnes,23433,3382,15209,3710,909,0,280,14.432637733111426,64.90419493876158,15.832373148977938,3.879144795800794,0,1.194896086715316
spis,2017,1000 tonnes,11119,0,10060,745,407,0,0,0,90.47576220883174,6.700242827592409,3.660401115208202,0,0
xoil,2017,1000 tonnes,252004,26567,28355,12078,8789,173048,5268,10.542292979476517,11.251805526896398,4.792781066967191,3.4876430532848683,68.66875128966207,2.090443008841129
whea,2017,1000 tonnes,728339,124951,507902,27378,24918,9997,37875,17.15561023095015,69.73428582020186,3.7589638890681396,3.4212090798378227,1.3725751332827159,5.200188373820432
sorg,2017,1000 tonnes,57524,20668,27019,3547,1902,3843,840,35.929351227313816,46.969960364369655,6.166121966483554,3.306446005145678,6.6806897990404,1.460260065364022
coco,2017,1000 tonnes,4989,0,131,217,164,4594,0,0,2.6257767087592705,4.349569051914211,3.2872319102024457,92.08258167969532,0
rice,2017,1000 tonnes,715064,35240,593453,31272,23139,13129,18131,4.928230200373672,82.9929908371838,4.373314836154526,3.2359341261761183,1.8360594296454584,2.5355772350446952
sugb,2017,1000 tonnes,304420,14401,55,10347,7677,272588,0,4.730635306484462,0.01806714407726168,3.3989225412259376,2.5218448196570526,89.5433939951383,0
ocer,2017,1000 tonnes,68984,42933,16226,2807,1466,770,5151,62.236170706250725,23.521396265800764,4.069059492056129,2.12513046503537,1.1162008581700105,7.466948857706135
pota,2017,1000 tonnes,370355,39898,248438,36041,7555,8366,30081,10.772907075643639,67.08104386332033,9.731473856165032,2.0399346572882773,2.258913744920414,8.12220707159347
barl,2017,1000 tonnes,142402,88342,7633,4595,1510,31252,9533,62.03705004143201,5.3601775255965505,3.226780522745467,1.060378365472395,21.94632097863794,6.694428449038638
plnt,2017,1000 tonnes,37810,502,30265,3572,241,3278,0,1.3276910870140175,80.04496165035705,9.447236180904522,0.6373975138852156,8.669664110023803,0
soyb,2017,1000 tonnes,346286,26571,10985,5199,845,294074,9474,7.6731372333851215,3.172233356243105,1.5013601473926175,0.2440179504802389,84.92228966807784,2.7358888317748913
tnut,2017,1000 tonnes,15278,0,14803,1050,35,0,0,0,96.8909543133918,6.872627307239168,0.22908757690797227,0,0
oilp,2017,1000 tonnes,394870,0,0,23244,871,324270,9,0,0,5.8864942892597565,0.22057892470939805,82.12069795122446,0.002279231139362322
xmil,2017,1000 tonnes,28183,3541,21236,2272,50,431,664,12.564311819181775,75.35038853209382,8.061597416882519,0.17741191498421033,1.529290707163893,2.356030230990313
xfru,2017,1000 tonnes,543149,1213,445167,48478,579,51735,0,0.22332730061180267,81.96038287836302,8.925359339702366,0.10660058289714242,9.525010632441559,0
xpul,2017,1000 tonnes,83747,18150,54507,5053,70,842,5502,21.672418116469842,65.08531648894886,6.033648966530144,0.08358508364478727,1.0054091489844412,6.569787574480281
bana,2017,1000 tonnes,112072,1010,89708,17356,64,4396,0,0.9012063673352845,80.04497109001356,15.48647298165465,0.05710614604896852,3.9224784067385254,0
swpo,2017,1000 tonnes,92307,27661,56428,6367,49,1008,788,29.966308080643937,61.130791814271944,6.897635065596325,0.0530837314613193,1.0920081900614256,0.8536730692146858
vege,2017,1000 tonnes,1209738,53916,1049509,107062,70,1410,43,4.4568328018132854,86.75506597296274,8.850015457892535,0.00578637688491227,0.11655416296751858,0.0035544886578746803
