iso3c,head_count,water_consumption,full_name,gleam_prod_system,gleam_product,gleam_livestock
ABW,0,0,pigs_industrial_meat,industrial,meat,pigs
AFG,0,0,pigs_industrial_meat,industrial,meat,pigs
AIA,0,0,pigs_industrial_meat,industrial,meat,pigs
ALA,0,0,pigs_industrial_meat,industrial,meat,pigs
AND,0,0,pigs_industrial_meat,industrial,meat,pigs
ARE,0,0,pigs_industrial_meat,industrial,meat,pigs
BGD,0,0,pigs_industrial_meat,industrial,meat,pigs
BHR,0,0,pigs_industrial_meat,industrial,meat,pigs
BLM,0,0,pigs_industrial_meat,industrial,meat,pigs
CCK,0,0,pigs_industrial_meat,industrial,meat,pigs
COM,0,0,pigs_industrial_meat,industrial,meat,pigs
CUW,0,0,pigs_industrial_meat,industrial,meat,pigs
CXR,0,0,pigs_industrial_meat,industrial,meat,pigs
DJI,0,0,pigs_industrial_meat,industrial,meat,pigs
ERI,0,0,pigs_industrial_meat,industrial,meat,pigs
ESH,0,0,pigs_industrial_meat,industrial,meat,pigs
FRO,0,0,pigs_industrial_meat,industrial,meat,pigs
FSM,0,0,pigs_industrial_meat,industrial,meat,pigs
GGY,0,0,pigs_industrial_meat,industrial,meat,pigs
GIB,0,0,pigs_industrial_meat,industrial,meat,pigs
GRL,0,0,pigs_industrial_meat,industrial,meat,pigs
IMN,0,0,pigs_industrial_meat,industrial,meat,pigs
IOT,0,0,pigs_industrial_meat,industrial,meat,pigs
IRN,0,0,pigs_industrial_meat,industrial,meat,pigs
IRQ,0,0,pigs_industrial_meat,industrial,meat,pigs
JEY,0,0,pigs_industrial_meat,industrial,meat,pigs
JOR,0,0,pigs_industrial_meat,industrial,meat,pigs
KWT,0,0,pigs_industrial_meat,industrial,meat,pigs
LBY,0,0,pigs_industrial_meat,industrial,meat,pigs
MAC,0,0,pigs_industrial_meat,industrial,meat,pigs
MAF,0,0,pigs_industrial_meat,industrial,meat,pigs
MCO,0,0,pigs_industrial_meat,industrial,meat,pigs
MDV,0,0,pigs_industrial_meat,industrial,meat,pigs
MHL,0,0,pigs_industrial_meat,industrial,meat,pigs
MNP,0,0,pigs_industrial_meat,industrial,meat,pigs
MRT,0,0,pigs_industrial_meat,industrial,meat,pigs
MYT,0,0,pigs_industrial_meat,industrial,meat,pigs
NFK,0,0,pigs_industrial_meat,industrial,meat,pigs
NIU,0,0,pigs_industrial_meat,industrial,meat,pigs
OMN,0,0,pigs_industrial_meat,industrial,meat,pigs
PAK,0,0,pigs_industrial_meat,industrial,meat,pigs
PCN,0,0,pigs_industrial_meat,industrial,meat,pigs
PLW,0,0,pigs_industrial_meat,industrial,meat,pigs
PSE,0,0,pigs_industrial_meat,industrial,meat,pigs
PYF,0,0,pigs_industrial_meat,industrial,meat,pigs
QAT,0,0,pigs_industrial_meat,industrial,meat,pigs
SAU,0,0,pigs_industrial_meat,industrial,meat,pigs
SDN,0,0,pigs_industrial_meat,industrial,meat,pigs
SGP,0,0,pigs_industrial_meat,industrial,meat,pigs
SJM,0,0,pigs_industrial_meat,industrial,meat,pigs
SMR,0,0,pigs_industrial_meat,industrial,meat,pigs
SPM,0,0,pigs_industrial_meat,industrial,meat,pigs
SSD,0,0,pigs_industrial_meat,industrial,meat,pigs
SXM,0,0,pigs_industrial_meat,industrial,meat,pigs
TCA,0,0,pigs_industrial_meat,industrial,meat,pigs
WSM,0,0,pigs_industrial_meat,industrial,meat,pigs
XKO,0,0,pigs_industrial_meat,industrial,meat,pigs
XMI,0,0,pigs_industrial_meat,industrial,meat,pigs
YEM,0,0,pigs_industrial_meat,industrial,meat,pigs
GIN,3.2785779292532924,72.99753759482456,pigs_industrial_meat,industrial,meat,pigs
TJK,9.285324459056294,206.73774908088836,pigs_industrial_meat,industrial,meat,pigs
SYR,10.634005556718343,236.76613372033393,pigs_industrial_meat,industrial,meat,pigs
MLI,13.227026021191822,294.4997343618359,pigs_industrial_meat,industrial,meat,pigs
STP,26.434237201232047,588.5582912854314,pigs_industrial_meat,industrial,meat,pigs
FLK,45.044437330466785,1002.9143971628429,pigs_industrial_meat,industrial,meat,pigs
SHN,77.875,1733.886875,pigs_industrial_meat,industrial,meat,pigs
GMB,132.7590075317808,2955.8793026951,pigs_industrial_meat,industrial,meat,pigs
TKL,187.5,4174.6875,pigs_industrial_meat,industrial,meat,pigs
BWA,297.7351230350647,6629.072514375715,pigs_industrial_meat,industrial,meat,pigs
NER,379.1738120525191,8442.30492534934,pigs_industrial_meat,industrial,meat,pigs
SEN,389.5452376137689,8673.224715470564,pigs_industrial_meat,industrial,meat,pigs
BMU,507.5,11299.4875,pigs_industrial_meat,industrial,meat,pigs
NRU,568.875,12666.001875,pigs_industrial_meat,industrial,meat,pigs
SYC,572,12735.580000000002,pigs_industrial_meat,industrial,meat,pigs
CPV,669.8192953874467,14913.5266118015,pigs_industrial_meat,industrial,meat,pigs
CYM,741.875,16517.846875,pigs_industrial_meat,industrial,meat,pigs
MSR,767.5,17088.387499999997,pigs_industrial_meat,industrial,meat,pigs
VGB,937.5,20873.4375,pigs_industrial_meat,industrial,meat,pigs
SLE,975.9789341007664,21730.170967753562,pigs_industrial_meat,industrial,meat,pigs
TUR,1147.240474859247,25543.30917274113,pigs_industrial_meat,industrial,meat,pigs
GUY,1148.732772337892,25576.535176103163,pigs_industrial_meat,industrial,meat,pigs
ZWE,1217.5359878418542,27108.438769298882,pigs_industrial_meat,industrial,meat,pigs
MAR,1276.0081338679072,28410.32110056895,pigs_industrial_meat,industrial,meat,pigs
BRN,1284.8730392239397,28607.698218321017,pigs_industrial_meat,industrial,meat,pigs
DZA,1555.8835514327852,34641.74727265096,pigs_industrial_meat,industrial,meat,pigs
VIR,1665,37071.225,pigs_industrial_meat,industrial,meat,pigs
LBR,1802.979110296611,40143.329890754045,pigs_industrial_meat,industrial,meat,pigs
BES,1803.75,40160.49375,pigs_industrial_meat,industrial,meat,pigs
LIE,1870.8224672197357,41653.862232647414,pigs_industrial_meat,industrial,meat,pigs
GRD,1973.2423052680629,43934.239926793416,pigs_industrial_meat,industrial,meat,pigs
GUF,2145.947310259392,47779.51686292536,pigs_industrial_meat,industrial,meat,pigs
KIR,2659.5,59213.7675,pigs_industrial_meat,industrial,meat,pigs
TUV,2693.625,59973.560625,pigs_industrial_meat,industrial,meat,pigs
COD,2774.6855966686057,61778.374809826506,pigs_industrial_meat,industrial,meat,pigs
SOM,2873.556165616105,63979.72802744257,pigs_industrial_meat,industrial,meat,pigs
KGZ,3031.0182167116036,67485.62059508385,pigs_industrial_meat,industrial,meat,pigs
AZE,3094.85171888499,68906.8735209743,pigs_industrial_meat,industrial,meat,pigs
TUN,3108.586687231385,69212.68259120679,pigs_industrial_meat,industrial,meat,pigs
