Animal,Total_water_consumption,MekHoek_2012_comparison
Buffaloes,5318370698.991436,4702878616.316437
Chickens,2495036575.123821,2707231281.2242174
Cows,16482607051.664978,14092317553.591202
Dairy cows,7124984441.216685,6232328941.837895
Goats,1508818292.906817,1754270603.5718184
Pigs,15589448976.06265,15589448976.06265
Sheep,3111285858.3592505,3111285858.3592505
Total,51630551894.32564,48189761830.96347
