iso3c,head_count,water_consumption,full_name,gleam_prod_system,gleam_product,gleam_livestock
AIA,0,0,sheep_grassland_meat,grassland,meat,sheep
ASM,0,0,sheep_grassland_meat,grassland,meat,sheep
BES,0,0,sheep_grassland_meat,grassland,meat,sheep
BHR,0,0,sheep_grassland_meat,grassland,meat,sheep
BLM,0,0,sheep_grassland_meat,grassland,meat,sheep
BMU,0,0,sheep_grassland_meat,grassland,meat,sheep
CCK,0,0,sheep_grassland_meat,grassland,meat,sheep
COK,0,0,sheep_grassland_meat,grassland,meat,sheep
CUW,0,0,sheep_grassland_meat,grassland,meat,sheep
CYM,0,0,sheep_grassland_meat,grassland,meat,sheep
EGY,0,0,sheep_grassland_meat,grassland,meat,sheep
FLK,0,0,sheep_grassland_meat,grassland,meat,sheep
FSM,0,0,sheep_grassland_meat,grassland,meat,sheep
GGY,0,0,sheep_grassland_meat,grassland,meat,sheep
GIB,0,0,sheep_grassland_meat,grassland,meat,sheep
GRL,0,0,sheep_grassland_meat,grassland,meat,sheep
GUM,0,0,sheep_grassland_meat,grassland,meat,sheep
IOT,0,0,sheep_grassland_meat,grassland,meat,sheep
KHM,0,0,sheep_grassland_meat,grassland,meat,sheep
KIR,0,0,sheep_grassland_meat,grassland,meat,sheep
LAO,0,0,sheep_grassland_meat,grassland,meat,sheep
MAC,0,0,sheep_grassland_meat,grassland,meat,sheep
MAF,0,0,sheep_grassland_meat,grassland,meat,sheep
MCO,0,0,sheep_grassland_meat,grassland,meat,sheep
MDV,0,0,sheep_grassland_meat,grassland,meat,sheep
MHL,0,0,sheep_grassland_meat,grassland,meat,sheep
MLT,0,0,sheep_grassland_meat,grassland,meat,sheep
MNP,0,0,sheep_grassland_meat,grassland,meat,sheep
MYT,0,0,sheep_grassland_meat,grassland,meat,sheep
NFK,0,0,sheep_grassland_meat,grassland,meat,sheep
NIU,0,0,sheep_grassland_meat,grassland,meat,sheep
NRU,0,0,sheep_grassland_meat,grassland,meat,sheep
PAN,0,0,sheep_grassland_meat,grassland,meat,sheep
PCN,0,0,sheep_grassland_meat,grassland,meat,sheep
PLW,0,0,sheep_grassland_meat,grassland,meat,sheep
PYF,0,0,sheep_grassland_meat,grassland,meat,sheep
SGP,0,0,sheep_grassland_meat,grassland,meat,sheep
SHN,0,0,sheep_grassland_meat,grassland,meat,sheep
SJM,0,0,sheep_grassland_meat,grassland,meat,sheep
SLB,0,0,sheep_grassland_meat,grassland,meat,sheep
SXM,0,0,sheep_grassland_meat,grassland,meat,sheep
SYC,0,0,sheep_grassland_meat,grassland,meat,sheep
TCA,0,0,sheep_grassland_meat,grassland,meat,sheep
TKL,0,0,sheep_grassland_meat,grassland,meat,sheep
TON,0,0,sheep_grassland_meat,grassland,meat,sheep
TUV,0,0,sheep_grassland_meat,grassland,meat,sheep
VGB,0,0,sheep_grassland_meat,grassland,meat,sheep
VNM,0,0,sheep_grassland_meat,grassland,meat,sheep
VUT,0,0,sheep_grassland_meat,grassland,meat,sheep
WLF,0,0,sheep_grassland_meat,grassland,meat,sheep
MUS,1.044859148386599e-14,2.784027200876093e-14,sheep_grassland_meat,grassland,meat,sheep
WSM,0.02931814326713011,0.07811819273526818,sheep_grassland_meat,grassland,meat,sheep
HKG,0.36905814708826057,0.9833554329166703,sheep_grassland_meat,grassland,meat,sheep
SPM,1.7814453334096925,4.746661090870125,sheep_grassland_meat,grassland,meat,sheep
GUF,4.211210855570064,11.220771324666435,sheep_grassland_meat,grassland,meat,sheep
KOR,6.105392404358175,16.267818061412356,sheep_grassland_meat,grassland,meat,sheep
BHS,8.279210284558879,22.059955803207135,sheep_grassland_meat,grassland,meat,sheep
CXR,12.613573974550036,33.60886785518857,sheep_grassland_meat,grassland,meat,sheep
TWN,17.416339012068775,46.40583529765725,sheep_grassland_meat,grassland,meat,sheep
PNG,18.745224992906138,49.94665199359841,sheep_grassland_meat,grassland,meat,sheep
STP,26.400336031289246,70.3436953553702,sheep_grassland_meat,grassland,meat,sheep
NCL,27.23099117484985,72.55697598538744,sheep_grassland_meat,grassland,meat,sheep
REU,27.907743315579594,74.36018206436184,sheep_grassland_meat,grassland,meat,sheep
SUR,44.98024381395203,119.84985964227519,sheep_grassland_meat,grassland,meat,sheep
ALA,56.30266645862077,150.01845477899505,sheep_grassland_meat,grassland,meat,sheep
BRN,56.78893061108318,151.31410561323113,sheep_grassland_meat,grassland,meat,sheep
LCA,65.5651562395162,174.69835880019093,sheep_grassland_meat,grassland,meat,sheep
ABW,72.57980037194284,193.3888780910417,sheep_grassland_meat,grassland,meat,sheep
JPN,74.55537111055335,198.65278632406944,sheep_grassland_meat,grassland,meat,sheep
SMR,85.9727493986893,229.07439077280765,sheep_grassland_meat,grassland,meat,sheep
KNA,87.80075290519744,233.94510611589857,sheep_grassland_meat,grassland,meat,sheep
QAT,121.7007908733424,324.2717572820208,sheep_grassland_meat,grassland,meat,sheep
FIN,131.06790092439255,349.23042201304395,sheep_grassland_meat,grassland,meat,sheep
XMI,136.96967246977323,364.9556922957108,sheep_grassland_meat,grassland,meat,sheep
VCT,148.72017465058482,396.2649053564833,sheep_grassland_meat,grassland,meat,sheep
TTO,160.54657746400773,427.77635565284857,sheep_grassland_meat,grassland,meat,sheep
VIR,174.56060564890504,465.11673375150747,sheep_grassland_meat,grassland,meat,sheep
JAM,187.38818209662384,499.29581119645417,sheep_grassland_meat,grassland,meat,sheep
ESH,196.05379484119578,522.3853363543661,sheep_grassland_meat,grassland,meat,sheep
DMA,203.76609162471158,542.934751134044,sheep_grassland_meat,grassland,meat,sheep
CYP,212.94558389417014,567.3935082860163,sheep_grassland_meat,grassland,meat,sheep
GLP,279.3443475023437,744.3130139199948,sheep_grassland_meat,grassland,meat,sheep
PRK,347.6108673859404,926.2091561498383,sheep_grassland_meat,grassland,meat,sheep
GRD,349.19449318514444,930.4287270918173,sheep_grassland_meat,grassland,meat,sheep
COM,418.9679547886226,1116.340115534285,sheep_grassland_meat,grassland,meat,sheep
CRI,420.21134498802985,1119.6531287206055,sheep_grassland_meat,grassland,meat,sheep
BRB,524.1536754789786,1396.6074683137385,sheep_grassland_meat,grassland,meat,sheep
BLZ,549.6899347521677,1464.6488311471508,sheep_grassland_meat,grassland,meat,sheep
CPV,568.9309698289893,1515.916569109342,sheep_grassland_meat,grassland,meat,sheep
MSR,580.7303922325373,1547.3561301035957,sheep_grassland_meat,grassland,meat,sheep
LKA,604.6437514248408,1611.0732756714883,sheep_grassland_meat,grassland,meat,sheep
THA,664.6257098051094,1770.895203775714,sheep_grassland_meat,grassland,meat,sheep
LIE,806.0709865621398,2147.7761436948213,sheep_grassland_meat,grassland,meat,sheep
