iso3c,head_count,water_consumption,full_name,gleam_prod_system,gleam_product,gleam_livestock
NAM,1177590.4675506493,104615.60301875704,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
ERI,1123182.9640629995,105349.67176308845,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
GMB,1112182.823598262,121391.21248802338,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
JOR,1466100.7245812342,125503.4577213241,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
CAN,1673798.2758443842,130048.32126904016,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
ALB,1611160.4701247246,130140.01276979965,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
KOR,1711886.388699615,139894.92642797684,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
FJI,1441175.2931284164,143581.41897265296,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
SYR,1658430.5999399417,147600.47122772082,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
BIH,1943776.8923111067,152211.4559443092,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
JAM,1559607.3099227727,155117.32130493128,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
URY,1951933.055501793,158490.45036617198,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
LBY,1788648.0616371187,160790.45102010528,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
PAN,1623257.7631786417,168764.81779997566,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
BDI,2070049.3492110642,169085.02327820548,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
GNB,1631566.5423294888,174103.1886855148,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
CRI,2024950.811038406,189588.13136688704,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
GRC,2305470.615110469,189700.2325985861,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
KGZ,2443144.2185102217,196028.66495576166,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
TKM,2225107.4706607047,198080.26556159553,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
PNG,2361717.3388421396,213038.98923529047,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
BLR,2800607.6936679035,216081.69049109548,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
GEO,2809359.978559761,223886.19315669555,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
PSE,2672542.499206394,227014.31233628333,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
KAZ,2875008.258464353,232717.00380439867,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
TJK,3190071.8843745114,271375.40162456234,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
REU,3233985.5259996075,280543.02055042854,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
SLV,3017183.5978073687,293752.88669581217,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
